player_name,sg_putt_pred,sg_putt_rank,sg_arg_pred,sg_arg_rank,sg_app_pred,sg_app_rank,sg_ott_pred,sg_ott_rank,sg_total_pred,sg_total_rank,distance_pred,distance_rank,accuracy_pred,accuracy_rank
"McIlroy, Rory",0.257,57,0.253,20,0.803,6,1.136,2,2.449,2,25.991,1,-0.029,298
"Nienaber, Wilco",-0.294,379,-0.190,332,-0.324,266,0.145,98,-0.664,241,25.803,2,-0.110,425
"DeChambeau, Bryson",0.154,83,-0.074,236,0.194,86,0.709,7,0.983,37,23.109,3,-0.070,393
"Matthews, Brandon",-0.464,417,-0.515,426,-0.389,289,0.038,129,-1.330,346,22.523,4,-0.125,428
"Young, Cameron",-0.017,184,0.050,132,0.561,24,0.799,5,1.393,17,20.129,5,-0.028,296
"Moller, Niklas Norgaard",0.097,103,-0.211,348,-0.387,288,0.288,64,-0.213,167,19.666,6,-0.090,412
"Hagy, Brandon",-0.271,368,-0.239,368,-0.508,332,-0.194,223,-1.212,330,19.173,7,-0.102,419
"Burmester, Dean",-0.128,271,0.140,64,0.106,114,0.540,18,0.659,57,18.870,8,-0.065,382
"Lee, Min Woo",0.460,16,0.266,14,-0.110,182,0.361,48,0.977,38,18.572,9,-0.041,330
"Bramlett, Joseph",-0.198,316,0.110,83,0.414,40,0.361,47,0.688,54,16.689,10,-0.057,368
"Wolff, Matthew",0.256,58,0.051,131,-0.235,240,-0.206,231,-0.135,154,16.421,11,-0.067,386
"Hojgaard, Nicolai",0.152,84,-0.140,293,0.003,145,0.257,70,0.272,101,16.226,12,-0.069,391
"An, Byeong Hun",-0.224,338,0.240,23,0.431,38,0.542,17,0.988,36,16.164,13,-0.056,365
"Clark, Wyndham",0.443,19,0.201,40,0.588,18,0.334,52,1.566,11,16.098,14,-0.035,308
"Gotterup, Chris",-0.020,187,-0.066,229,-0.033,155,-0.002,144,-0.120,151,15.788,15,-0.066,384
"Champ, Cameron",-0.232,342,-0.428,418,-0.093,180,0.447,34,-0.306,178,15.671,16,0.002,185
