player_id,team,opp,pos,name,fpts,proj_own,opto_pct,noto_rtg,ceil,floor,min_exposure,max_exposure,salary,custom,rg_id,partner_id
1210,,,G,Peter Malnati,36.31,0.15,0.93,29.43,64.35,21.5,0,0,6200,,34908,1210
1694,,,G,Ben Taylor,37.83,0.41,1.00,32.18,66,21.5,0,0,6200,,35024,1694
1496,,,G,Scottie Scheffler,89.76,22.5,18.85,95.73,107.5,72,0,0,11300,,35127,1496
1144,,,G,J.B. Holmes,29.17,0.01,1.47,13.98,34.5,19,0,0,6000,,34767,1144
2024,,,G,Max Homa,72.33,9.6,11.26,78.33,94.5,30.5,0,0,8900,,36137,2024
2145,,,G,Chesson Hadley,38.9,0.39,0.97,39.48,68,22,0,0,6400,,34879,2145
2046,,,G,Jason Dufner,34.09,0.02,1.60,18.63,61,21,0,0,6000,,34756,2046
2167,,,G,J.J. Spaun,53.47,2.5,3.20,57.86,81.5,26,0,0,6900,,36093,2167
703406,,,G,Seonghyeon Kim,47.93,1.2,1.47,45.81,76,25,0,0,6900,,2316733,703406
1760,,,G,Tom Hoge,50.12,1.3,1.73,55.51,79,25,0,0,7200,,34888,1760
671066,,,G,Kevin Yu,51.71,1.4,2.63,55.23,79.5,25,0,0,6600,,382261,671066
300102,,,G,Collin Morikawa,76.22,14.4,12.49,79.9,97,32.5,0,0,9500,,36083,300102
1112,,,G,Robert Streb,37.12,0.02,1.47,21.21,65,21.5,0,0,6100,,34814,1112
2168,,,G,Kevin Tway,40.65,0.46,1.00,27.63,70,22.5,0,0,6200,,35139,2168
703957,,,G,Carl Yuan,47.27,1.4,1.57,,76,24,0,0,6500,,1395205,703957
1860,,,G,Corey Conners,68.31,16,15.62,75.94,91.5,29.5,0,0,7700,,37123,1860
2125,,,G,Tony Finau,74.86,10.5,10.09,86.63,96.5,31.5,0,0,9700,,34873,2125
2158,,,G,Lucas Glover,45.92,0.3,1.20,44.41,75,24,0,0,6400,,34876,2158
700009,,,G,Tom Kim,71.55,21.4,16.42,75.34,93.5,30.5,0,0,8100,,2203377,700009
696522,,,G,Michael Thorbjornsen,39.42,0.45,0.57,21.17,68.5,22,0,0,6800,,1071511,696522
696566,,,G,Brandon Wu,53.85,2.4,2.56,54.11,81.5,26,0,0,7100,,1074861,696566
1663,,,G,Chez Reavie,46.9,3.1,1.47,45.33,76,24.5,0,0,6700,,34927,1663
720888,,,G,Sam Stevens,52.05,3.3,3.00,55.64,80,25.5,0,0,6800,,3371777,720888
404847,,,G,Sahith Theegala,62.66,11.7,6.13,66.3,88,28,0,0,8300,,37149,404847
2159,,,G,Brett Stegmaier,29,0.01,0.07,,34.83,18.41,0,0,6000,,34937,2159
2049,,,G,Zach Johnson,35.65,0.21,1.00,30.67,63,21,0,0,6100,,34772,2049
670398,,,G,Greyson Sigg,44.79,0.45,1.73,34.32,74,23.5,0,0,6300,,37979,670398
1961,,,G,Scott Stallings,47.68,0.93,2.00,41.19,77,24,0,0,6400,,34999,1961
1631,,,G,Charley Hoffman,44.25,1.1,0.93,39.98,73.5,24,0,0,6600,,34766,1631
1411,,,G,Nick Hardy,49.46,3.1,1.96,49.34,78.5,24.5,0,0,6700,,35104,1411
1653,,,G,C.T. Pan,60.41,5.8,7.96,62.07,86.5,27.5,0,0,7000,,35389,1653
1554,,,G,Kevin Streelman,48.61,1.5,1.67,48.87,78,24.5,0,0,6800,,34815,1554
1115,,,G,Nick Watney,29.38,0.01,0.70,14.83,35,18.5,0,0,6100,,36095,1115
1005,,,G,Stewart Cink,42.8,0.19,1.03,33.85,72,23,0,0,6500,,34863,1005
2006,,,G,Brian Gay,29.56,0.11,1.30,15.95,35.5,19,0,0,6000,,34875,2006
1654,,,G,Russell Henley,71.9,22.7,20.78,76.42,94.5,30.5,0,0,7800,,34884,1654
1589,,,G,Andrew Svoboda,34.05,0.01,1.47,23.05,60,20.5,0,0,6000,,402529,1589
1237,,,G,Rickie Fowler,71.06,12.9,9.52,79.57,94,30.5,0,0,9100,,34760,1237
510218,,,G,Cameron Champ,42.61,0.26,0.97,36.03,71.5,23.5,0,0,6600,,37122,510218
1017,,,G,Ryan Blaum,31,0.14,1.30,,52.5,17.25,0,0,6100,,36069,1017
670620,,,G,Sungjae Im,70.96,7.4,10.92,78.89,94,30,0,0,8700,,382250,670620
1941,,,G,Matthew NeSmith,48.77,1.5,1.60,48.79,77.5,24.5,0,0,6800,,35080,1941
1600,,,G,Harris English,51.45,13.9,1.73,58.17,79,25,0,0,7700,,34758,1600
1842,,,G,Tyler Duncan,44.42,0.3,1.90,38.25,73.5,24,0,0,6300,,37911,1842
1974,,,G,Andrew Landry,29.91,0.03,1.50,15.96,37,19,0,0,6000,,34979,1974
696569,,,G,Cameron Young,67.11,11.6,9.46,73.92,91.5,29,0,0,8500,,1074862,696569
1622,,,G,Joel Dahmen,43.26,0.67,0.77,38.86,72.5,23,0,0,6600,,36136,1622
1743,,,G,Paul Haley,30.69,0.13,1.23,24.99,39,19.5,0,0,6000,,3803323,1743
1655,,,G,James Hahn,43.41,0.28,1.63,32.92,72.85,23.5,0,0,6300,,34881,1655
1216,,,G,Russell Knox,36.16,0.22,1.93,27.22,64,21.5,0,0,6000,,34778,1216
1018,,,G,Denny McCarthy,62.38,13.1,7.56,71.05,87.5,28,0,0,7600,,35117,1018
670533,,,G,Garrick Higgo,44.05,0.83,1.10,39.8,73,23.5,0,0,6800,,2879219,670533
692005,,,G,Adam Long,41.83,0.27,1.20,30.78,71,23,0,0,6200,,565464,692005
1931,,,G,Hideki Matsuyama,72.06,12.4,13.25,71.94,94.5,30,0,0,8600,,34791,1931
1689,,,G,Beau Hossler,47.62,2.3,1.67,49.89,76.5,24.5,0,0,7100,,36293,1689
121942,,,G,Thomas Detry,53.93,2.6,3.46,59.34,81.5,26,0,0,7100,,36642,121942
2119,,,G,Chad Ramey,32.29,0.35,0.53,22.54,54.5,20,0,0,6200,,3083529,2119
330678,,,G,Cameron Davis,54.22,2.2,3.00,58.62,82.5,26,0,0,7400,,36131,330678
1932,,,G,Michael Kim,48.79,0.94,1.63,55.59,77,25,0,0,6900,,34897,1932
1701,,,G,Justin Thomas,66.44,3.9,7.73,65.19,91.5,28.5,0,0,8800,,34818,1701
1514,,,G,Trey Mullinax,43.85,0.22,1.17,37.39,72,23.5,0,0,6400,,36084,1514
1789,,,G,Robby Shelton,41.84,0.73,0.80,39.46,71,23,0,0,6400,,35082,1789
670403,,,G,Andrew Novak,46.32,0.8,1.20,43.8,75.5,24,0,0,6600,,110450,670403
690049,,,G,Viktor Hovland,81.68,14,17.35,88.32,101,62.5,0,0,9900,,658704,690049
1625,,,G,Davis Riley,48.39,1.6,1.63,42.88,76.5,24.5,0,0,6900,,1000174,1625
1438,,,G,Brendon Todd,48.82,2.1,1.63,58.99,78,24.5,0,0,7100,,34943,1438
165746,,,G,Taylor Moore,53.66,1.2,3.13,59.96,81.5,25.5,0,0,7200,,35323,165746
692426,,,G,Hayden Buckley,48.04,1.9,1.86,57.35,76.85,24.5,0,0,6800,,1696602,692426
1802,,,G,Taylor Pendrith,47.32,0.61,1.80,43.86,76,24.5,0,0,6700,,2216233,1802
1813,,,G,Francesco Molinari,39.99,0.17,1.00,31.94,68.5,22.5,0,0,6400,,34915,1813
1725,,,G,Billy Horschel,43.69,0.69,0.77,41.36,72.5,23.5,0,0,7000,,34768,1725
185304,,,G,Seamus Power,51.27,3.7,2.10,54.34,79.5,25,0,0,7400,,35404,185304
670625,,,G,Doug Ghim,46.98,1.4,1.57,45.16,75.5,24,0,0,6900,,201095,670625
693648,,,G,Min Woo Lee,59.61,13.4,5.76,63.43,86.35,27.5,0,0,7600,,2667551,693648
477949,,,G,Austin Smotherman,44.37,0.55,1.23,30.4,73.5,24,0,0,6500,,3083528,477949
1979,,,G,Kelly Kraft,29.87,0.05,0.77,16.05,36.5,19,0,0,6100,,34901,1979
353925,,,G,Aaron Rai,58.34,9.5,4.90,62.03,85.5,27,0,0,7400,,37143,353925
1639,,,G,Matt Kuchar,56.99,4,4.06,63.11,83.5,27,0,0,7500,,34780,1639
1408,,,G,Patrick Cantlay,87.03,21.3,23.41,94.94,105.5,68.5,0,0,10200,,36297,1408
692605,,,G,Ben Griffin,47.67,0.89,1.40,47.58,76.5,24,0,0,6500,,672518,692605
670627,,,G,Doc Redman,42.39,0.49,0.80,32.13,71,23,0,0,6300,,139893,670627
63191,,,G,Matt Wallace,42.35,0.55,0.80,41.97,71.5,23,0,0,6600,,37151,63191
1409,,,G,Troy Merritt,41.9,0.05,1.70,23.99,71,23,0,0,6100,,34794,1409
690516,,,G,Ludvig Aberg,51.68,6.3,2.26,52.01,80,25,0,0,7400,,3158929,690516
473728,,,G,Nate Lashley,48.16,1.1,1.53,53.83,76.5,24.5,0,0,7000,,37914,473728
430916,,,G,Matthias Schwab,32.71,0.16,0.40,22.06,57.5,20,0,0,6200,,36546,430916
1927,,,G,Martin Laird,40.68,0.15,1.93,26.76,69.35,22.5,0,0,6100,,35040,1927
299906,,,G,Ryan Brehm,29.15,0.02,0.73,16.55,35,18.5,0,0,6100,,36071,299906
692607,,,G,Lee Hodges,53.88,4.3,3.36,53.64,82,26,0,0,6900,,672519,692607
680,,,G,Jon Rahm,86.75,16.7,18.32,93.01,105.85,68.5,0,0,10800,,35126,680
395,,,G,Shane Lowry,68.13,11.3,11.95,74.82,91.5,29,0,0,8200,,34788,395
770,,,G,Zecheng Dou,35.36,0.88,0.73,29.25,62.5,21.5,0,0,6400,,36114,770
463,,,G,Rory McIlroy,88.02,12,19.68,92.94,107,69,0,0,10900,,34793,463
199,,,G,Danny Willett,44.61,0.25,1.03,37.61,74,23.5,0,0,6500,,34824,199
704063,,,G,Eric Cole,56.45,7.9,4.10,61.9,83.5,26.5,0,0,7300,,2781583,704063
871,,,G,Tommy Fleetwood,77.5,15.7,15.98,85.5,98.5,34,0,0,9300,,35276,871
