player_name,sg_putt_pred,sg_putt_rank,sg_arg_pred,sg_arg_rank,sg_app_pred,sg_app_rank,sg_ott_pred,sg_ott_rank,sg_total_pred,sg_total_rank,distance_pred,distance_rank,accuracy_pred,accuracy_rank
"Scheffler, Scottie",0.003,179,0.337,2,1.503,1,1.156,1,2.999,1,13.983,22,0.037,81
"McIlroy, Rory",0.287,45,0.271,12,0.859,6,1.017,2,2.435,2,25.938,1,-0.026,289
"Cantlay, Patrick",0.370,25,0.252,19,0.835,7,0.881,4,2.338,3,9.516,53,0.063,31
"Rahm, Jon",0.450,19,0.178,47,0.996,2,0.693,7,2.318,4,14.609,20,-0.002,200
"Schauffele, Xander",0.579,6,0.160,52,0.941,4,0.492,24,2.172,5,6.195,90,0.018,136
"Hovland, Viktor",0.253,52,0.026,146,0.748,10,0.931,3,1.958,6,9.577,52,0.038,77
"Hatton, Tyrrell",0.563,8,0.179,44,0.520,28,0.488,26,1.750,7,6.469,88,0.011,158
"Fowler, Rickie",0.356,27,0.326,4,0.678,16,0.273,69,1.634,8,7.485,76,0.021,121
"Finau, Tony",0.042,156,0.250,22,0.863,5,0.477,29,1.632,9,7.830,70,0.022,118
"Clark, Wyndham",0.460,17,0.227,28,0.553,24,0.362,49,1.603,10,15.727,16,-0.032,300
"Smith, Cameron",0.693,2,0.264,16,0.526,27,0.069,120,1.553,11,1.770,175,-0.024,284
"Morikawa, Collin",0.027,161,0.018,153,0.958,3,0.522,21,1.526,12,0.790,186,0.087,14
"Koepka, Brooks",0.245,55,0.118,75,0.585,21,0.559,14,1.507,13,11.535,33,-0.001,199
"Fleetwood, Tommy",0.310,39,0.251,20,0.500,30,0.442,33,1.504,14,4.071,126,0.028,106
"Spieth, Jordan",0.206,72,0.222,29,0.609,20,0.424,38,1.461,15,6.463,89,-0.021,277
"Im, Sungjae",0.364,26,0.267,15,0.340,49,0.435,34,1.405,16,0.625,193,0.053,48
"Matsuyama, Hideki",0.005,177,0.294,8,0.820,8,0.245,82,1.364,17,0.140,202,0.031,101
"Henley, Russell",0.086,116,0.271,13,0.697,13,0.264,73,1.318,18,-5.127,310,0.113,2
"Johnson, Dustin",0.050,149,0.123,70,0.564,23,0.565,13,1.302,19,14.373,21,-0.004,208
"Fitzpatrick, Matthew",0.520,10,0.250,21,0.350,48,0.177,91,1.297,20,6.865,82,-0.013,247
"Young, Cameron",-0.048,209,0.057,118,0.572,22,0.699,6,1.280,21,19.407,6,-0.034,307
"Thomas, Justin",-0.007,184,0.338,1,0.700,12,0.249,80,1.280,22,8.017,68,-0.024,285
"Homa, Max",0.456,18,0.133,65,0.476,34,0.202,89,1.267,23,4.891,110,0.018,134
"McCarthy, Denny",0.727,1,0.177,48,0.261,63,0.066,123,1.231,24,-3.637,273,0.039,73
"Burns, Sam",0.517,11,0.095,86,0.277,61,0.339,53,1.228,25,10.937,38,-0.019,273
"Pereira, Mito",-0.143,285,0.001,173,0.729,11,0.635,10,1.222,26,10.010,48,0.028,105
"Conners, Corey",-0.096,248,-0.050,214,0.685,15,0.661,8,1.200,27,1.931,172,0.064,30
"Kim, Si Woo",-0.051,211,0.144,59,0.612,19,0.492,23,1.197,28,-2.096,242,0.092,10
"Day, Jason",0.337,33,0.278,10,0.226,72,0.352,52,1.193,29,5.004,107,0.015,146
"Lee, Min Woo",0.565,7,0.328,3,-0.127,191,0.409,42,1.175,30,19.144,7,-0.048,351
"Zalatoris, Will",-0.042,202,0.032,139,0.619,18,0.533,16,1.142,31,13.388,24,-0.006,215
"Lowry, Shane",-0.019,191,0.107,80,0.627,17,0.427,37,1.142,32,3.002,150,0.031,100
"Bradley, Keegan",0.332,36,0.178,46,0.326,50,0.278,67,1.115,33,4.566,117,0.019,129
"Kim, Tom",0.047,152,0.020,151,0.689,14,0.315,57,1.071,34,-0.894,220,0.081,16
"Rose, Justin",0.353,29,0.210,34,0.498,31,-0.040,158,1.020,35,0.114,203,0.037,79
"An, Byeong Hun",-0.206,327,0.238,26,0.432,37,0.528,18,0.992,36,16.093,13,-0.059,371
"Varner III, Harold",0.067,131,0.243,24,0.422,39,0.256,76,0.987,37,7.078,79,-0.017,263
"Niemann, Joaquin",0.053,147,0.061,114,0.298,55,0.570,12,0.982,38,10.757,39,-0.012,239
"DeChambeau, Bryson",0.152,85,-0.076,236,0.185,89,0.700,5,0.961,39,23.108,3,-0.070,391
"Scott, Adam",0.336,34,0.179,45,0.155,99,0.288,66,0.958,40,10.219,46,-0.039,326
"Woodland, Gary",-0.351,391,-0.112,266,0.752,9,0.603,11,0.893,41,10.749,40,0.018,137
