"","Name","ID","Salary","AvgPointsPerGame","odds_open","odds_close","odds_rank","odds_delta","odds_delta_per","fpts","proj_own","ceil","floor","make_cut","top_20","top_10","top_5","win","odds_per_dollar","one","residuals","own_change","adj_own","total_pts"
"1","Scottie Scheffler",22991915,11300,89.94,0.0662,0.0604,4,-0.00579999999999999,-0.0876,68.29,11.6,86.5,33,0.8066,0.5192,0.3484,0.2169,0.0623,5.35,1,-1.18,6.07,18,0
"2","Justin Thomas",22991916,10900,97.22,0.0692,0.0684,2,-0.000799999999999995,-0.0116,72.08,15.2,90,54,0.8117,0.5305,0.3534,0.2203,0.0598,6.28,1,0.57,8.45,24,0
"3","Jon Rahm",22991917,10800,82.08,0.0665,0.0605,3,-0.00600000000000001,-0.0902,66.22,13.3,85.5,28.5,0.7849,0.4854,0.3125,0.1894,0.0492,5.6,1,0.08,5.98,19,0
"4","Rory McIlroy",22991918,10500,89.39,0.0812,0.0812,1,0,0,70.69,19.3,89,49.15,0.8233,0.5671,0.3922,0.2551,0.0783,7.73,1,2.77,8.94,28,0
"5","Cameron Smith",22991919,10200,86.38,0.0445,0.04,6,-0.0045,-0.1011,59.66,9.6,80,25,0.7167,0.3623,0.2079,0.1136,0.0237,3.92,1,-0.52,4.93,15,0
"6","Collin Morikawa",22991920,10000,77.87,0.0509,0.0292,11,-0.0217,-0.4263,60.66,10.8,81,25.5,0.6753,0.303,0.1647,0.0858,0.0179,2.92,1,-1.19,3.78,15,0
"7","Viktor Hovland",22991921,9700,88.79,0.0331,0.0251,14,-0.008,-0.2417,53.58,8.5,75.5,23.5,0.6753,0.2985,0.1558,0.0786,0.016,2.59,1,-1.07,3.84,12,0
"8","Xander Schauffele",22991922,9600,83.57,0.039,0.0369,7,-0.0021,-0.0538,66.27,18.9,85,28.65,0.729,0.3759,0.2155,0.1178,0.0259,3.84,1,0.33,6.19,25,0
"9","Jordan Spieth",22991923,9500,73.47,0.0398,0.032,9,-0.0078,-0.196,61.79,13.7,81,26.5,0.6885,0.3257,0.1842,0.0989,0.021,3.37,1,0,4.29,18,0
"10","Dustin Johnson",22991924,9400,62.72,0.0508,0.0197,18,-0.0311,-0.6122,58.69,3.8,79,25,0.6575,0.2874,0.1548,0.0803,0.0161,2.1,1,-1.13,2.04,6,0
"11","Will Zalatoris",22991925,9300,70.53,0.0344,0.0321,8,-0.0023,-0.0669,60.76,15,80.5,26,0.7409,0.4016,0.2375,0.1348,0.0307,3.45,1,0.35,4.25,19,0
"12","Patrick Cantlay",22991926,9200,82.15,0.0384,0.0423,5,0.0039,0.1016,67.72,13.7,86,32,0.7567,0.4292,0.2667,0.1555,0.0384,4.6,1,1.63,7.15,21,0
"13","Hideki Matsuyama",22991927,9100,81.91,0.0253,0.0208,17,-0.0045,-0.1779,53.38,9.2,76,23.5,0.697,0.33,0.1866,0.1003,0.022,2.29,1,-0.56,3.72,13,0
"14","Shane Lowry",22991928,9000,73.25,0.0279,0.0282,12,0.000299999999999998,0.0108,64.72,16.5,84,27.65,0.7436,0.4032,0.241,0.1362,0.03,3.13,1,0.38,5.21,22,0
"15","Joaquin Niemann",22991929,8900,76.06,0.023,0.0239,15,0.000900000000000001,0.0391,62.5,15.3,82.5,26,0.7175,0.3521,0.1992,0.1086,0.0223,2.69,1,0.03,4.97,20,0
"16","Cameron Young",22991930,8800,69.97,NA,0.0181,20,NA,NA,58.27,11.7,79,25,0.67,0.2985,0.16,0.0842,0.0163,2.06,1,-0.53,NA,NA,0
"17","Brooks Koepka",22991931,8700,57,0.0455,0.0154,24,-0.0301,-0.6615,53.55,8.9,75.5,23,0.6241,0.2342,0.1167,0.057,0.0105,1.77,1,-0.75,1.09,10,0
"18","Billy Horschel",22991932,8600,75.54,0.0153,0.0159,23,0.000600000000000002,0.0392,52.41,5.7,74.5,23.5,0.6283,0.2421,0.119,0.0568,0.0102,1.85,1,-0.61,3.02,9,0
"19","Daniel Berger",22991934,8400,72.86,0.0209,0.0164,22,-0.0045,-0.2153,59.67,7.8,79,25,0.6296,0.2421,0.1206,0.058,0.0103,1.95,1,-0.39,3.61,11,0
"20","Sam Burns",22991935,8300,80.79,0.0308,0.0318,10,0.001,0.0325,57.98,19.4,78,25,0.7126,0.3597,0.2114,0.1192,0.027,3.83,1,1.54,5.41,25,0
"21","Tony Finau",22991936,8200,68.65,0.025,0.0232,16,-0.0018,-0.072,61.34,18.8,81.5,26,0.7143,0.3448,0.1934,0.103,0.0219,2.83,1,0.6,4.43,23,0
"22","Max Homa",22991937,8100,75.8,0.0178,0.0179,21,9.99999999999994e-05,0.0056,55.59,15.6,76.5,24.5,0.6466,0.2604,0.1353,0.0663,0.0119,2.21,1,0.05,3.8,19,0
"23","Tyrrell Hatton",22991938,8000,71.82,0.0168,0.0102,36,-0.0066,-0.3929,57.66,6.2,78.5,24.5,0.5885,0.2037,0.0988,0.046,0.0077,1.28,1,-0.8,3.06,9,0
"24","Bryson DeChambeau",22991939,7900,46.92,0.0374,0.0083,39,-0.0291,-0.7781,46.89,1.3,70.5,22,0.4673,0.1055,0.0433,0.018,0.0027,1.05,1,-0.95,-0.9,0,0
"25","Corey Conners",22991940,7900,69.97,0.0137,0.0195,19,0.0058,0.4234,58.1,13.3,79,24.5,0.6795,0.3012,0.1587,0.0822,0.0146,2.47,1,0.47,4.33,18,0
"26","Mito Pereira",22991941,7800,71.17,0.0147,0.014,27,-0.000699999999999999,-0.0476,57.48,17,78,24.5,0.6552,0.274,0.141,0.0711,0.0142,1.79,1,-0.1,3.57,21,0
"27","Aaron Wise",22991942,7800,70.91,NA,0.0146,26,NA,NA,54.55,9.7,76.5,24,0.6503,0.2717,0.1431,0.0723,0.0138,1.87,1,-0.02,NA,NA,0
"28","Tommy Fleetwood",22991944,7700,71.8,0.0154,0.0139,28,-0.0015,-0.0974,59.11,13.5,79.5,26,0.6416,0.2488,0.1225,0.0595,0.0105,1.81,1,0.05,3.96,17,0
"29","Louis Oosthuizen",22991945,7600,61.44,0.0187,0.0117,32,-0.007,-0.3743,56.65,5.4,77.5,24,0.6364,0.2519,0.1295,0.0644,0.0116,1.54,1,-0.07,2.45,8,0
"30","Abraham Ancer",22991946,7600,62.94,0.0129,0.0093,38,-0.0036,-0.2791,55.21,7.5,76.35,23.5,0.5595,0.1695,0.0765,0.033,0.0047,1.22,1,-0.39,2.23,10,0
"31","Sungjae Im",22991947,7600,79.82,0.0181,0.0273,13,0.0092,0.5083,62.84,18.4,82.5,26,0.7159,0.3597,0.207,0.1135,0.0244,3.59,1,1.98,6.78,25,0
"32","Seamus Power",22991948,7500,68.71,NA,0.0125,30,NA,NA,53.05,4.4,74.5,23,0.6364,0.2506,0.1238,0.0574,0.0102,1.67,1,0.2,NA,NA,0
"33","Keegan Bradley",22991949,7500,68.41,NA,0.0125,30,NA,NA,58.53,14.8,78,25,0.6377,0.2558,0.1309,0.0631,0.0111,1.67,1,0.2,NA,NA,0
"34","Talor Gooch",22991950,7500,77.72,NA,0.0117,32,NA,NA,53.04,6.9,74,23.5,0.6337,0.2457,0.1232,0.0597,0.0107,1.56,1,0.09,NA,NA,0
"35","Webb Simpson",22991951,7400,65.92,0.0134,0.0116,34,-0.0018,-0.1343,54.36,9.2,76,23.5,0.5614,0.1724,0.0782,0.0347,0.0058,1.57,1,0.24,2.89,12,0
"36","Harris English",22991952,7400,57,0.0084,0.0027,79,-0.0057,-0.6786,40.82,0.72,65.35,20.15,0.4405,0.0876,0.0351,0.0138,0.002,0.36,1,-0.97,-0.98,0,0
