,Name,ID,Salary,ceil,fpts,total_pts,odds_open,odds_close,odds_delta_per,odds_rank,win,residuals,proj_own,own_change,own
31,Sungjae Im,22991947,7600,76.5,57.73,55.85,0.0181,0.0263,0.453,15,0.0226,1.89,26.7,9.26,0.36
4,Rory McIlroy,22991918,10500,85.5,68.45,73.49,0.0812,0.0815,0.0037,1,0.0862,2.72,21.5,12.1,0.34
20,Sam Burns,22991935,8300,76,56.35,54.87,0.0308,0.0339,0.1006,10,0.0235,1.68,18.8,8.86,0.28
22,Max Homa,22991937,8100,73.5,53.21,49.43,0.0178,0.0192,0.0787,21,0.0131,0.15,17.6,6.99,0.253333333
21,Tony Finau,22991936,8200,77.5,58.35,51.98,0.025,0.0276,0.104,13,0.0193,1.06,15.7,7.8,0.24
25,Corey Conners,22991940,7900,75.5,56.24,54.52,0.0137,0.0197,0.438,19,0.0153,0.48,15.6,7.38,0.233333333
14,Shane Lowry,22991928,9000,78,60.6,52.87,0.0279,0.031,0.1111,11,0.0274,0.44,19.2,7.91,0.22
26,Mito Pereira,22991941,7800,75.5,55.21,51.38,0.0147,0.0129,-0.1224,29,0.0111,-0.23,15.2,6.66,0.22
28,Tommy Fleetwood,22991944,7700,75.5,55.34,46.66,0.0154,0.0144,-0.0649,26,0.0092,0.14,13.5,6.97,0.2
16,Cameron Young,22991930,8800,75,55.4,55.25,0.0202,0.019,-0.0594,22,0.0179,-0.65,12.6,6.25,0.193333333
27,Aaron Wise,22991942,7800,72.5,51.96,49.93,0.014,0.0134,-0.0429,27,0.0153,-0.16,11.4,6.11,0.18
33,Keegan Bradley,22991949,7500,74,54.88,43.55,0.0094,0.0124,0.3191,30,0.013,0.24,13.9,6.71,0.18
19,Daniel Berger,22991934,8400,76,57.38,52.15,0.0209,0.0193,-0.0766,20,0.0108,-0.18,10.5,6.96,0.173333333
35,Webb Simpson,22991951,7400,72,50.72,48.87,0.0134,0.0106,-0.209,33,0.0046,0.17,8.6,5.67,0.14
37,Sebastian Munoz,22991953,7400,69.5,48.32,51.87,0.0062,0.0073,0.1774,40,0.0075,-0.27,8.1,5.33,0.133333333
29,Louis Oosthuizen,22991945,7600,74,53.84,50.93,0.0187,0.0121,-0.3529,31,0.0117,0.02,6.8,5.53,0.12
8,Xander Schauffele,22991922,9600,83,65.29,53.16,0.039,0.0424,0.0872,5,0.0277,0.67,25.6,9.93,0.113333333
13,Hideki Matsuyama,22991927,9100,73.5,53.29,50.51,0.0253,0.0222,-0.1225,18,0.0235,-0.67,12.4,6.87,0.113333333
17,Brooks Koepka,22991931,8700,73,52.68,53.38,0.0455,0.0181,-0.6022,23,0.0092,-0.64,6.9,4.38,0.113333333
18,Billy Horschel,22991932,8600,71.5,50.86,48.79,0.0153,0.0147,-0.0392,25,0.011,-0.93,4.7,5.83,0.113333333
32,Seamus Power,22991948,7500,71.5,50.29,40.88,0.0079,0.0113,0.4304,32,0.0099,0.1,4.8,6.21,0.113333333
23,Tyrrell Hatton,22991938,8000,74,53.4,44.44,0.0168,0.0092,-0.4524,38,0.0071,-0.97,3.3,5.72,0.093333333
