date,event_name,player_name,make_cut,first_round_lead,top_30,top_20,top_10,top_5,top_3,win,observed_finish
"Jun 19, 2022","U.S. Open","McIlroy, Rory",0.838175,0.047875,0.68675,0.5827,0.410875,0.27175,0.1945,0.086175,T5
"Jun 19, 2022","U.S. Open","Thomas, Justin",0.79955,0.02375,0.629475,0.515125,0.33855,0.211975,0.1441,0.058175,T37
"Jun 19, 2022","U.S. Open","Scheffler, Scottie",0.792425,0.023425,0.617875,0.50675,0.33295,0.2068,0.1412,0.057125,T2
"Jun 19, 2022","U.S. Open","Rahm, Jon",0.799775,0.0363,0.617825,0.49755,0.32815,0.20075,0.1362,0.054475,T12
"Jun 19, 2022","U.S. Open","Cantlay, Patrick",0.7672,0.028475,0.560475,0.443,0.27505,0.16215,0.106575,0.04125,T14
"Jun 19, 2022","U.S. Open","Zalatoris, Will",0.761725,0.02605,0.5384,0.41585,0.25085,0.1446,0.09395,0.0357,T2
"Jun 19, 2022","U.S. Open","Schauffele, Xander",0.74475,0.023225,0.5151,0.390525,0.230025,0.1261,0.07865,0.027725,T14
"Jun 19, 2022","U.S. Open","Lowry, Shane",0.72915,0.014075,0.505825,0.384275,0.223925,0.123375,0.0788,0.0274,CUT
"Jun 19, 2022","U.S. Open","Fitzpatrick, Matthew",0.728075,0.013325,0.505075,0.383725,0.222025,0.1216,0.07585,0.02685,1
"Jun 19, 2022","U.S. Open","Niemann, Joaquin",0.732775,0.02145,0.49205,0.36515,0.20715,0.112225,0.069575,0.023725,T47
"Jun 19, 2022","U.S. Open","Burns, Sam",0.697575,0.0155,0.465225,0.34700000000000003,0.1963,0.108025,0.0675,0.023475,T27
"Jun 19, 2022","U.S. Open","Matsuyama, Hideki",0.71535,0.02275,0.472575,0.352575,0.202875,0.11045,0.0675,0.02345,4
"Jun 19, 2022","U.S. Open","Smith, Cameron",0.69845,0.013175,0.466075,0.3504,0.199625,0.108775,0.0677,0.022875,CUT
"Jun 19, 2022","U.S. Open","Im, Sungjae",0.69875,0.0138,0.46415,0.344175,0.193925,0.10345,0.063875,0.022575,CUT
"Jun 19, 2022","U.S. Open","Spieth, Jordan",0.7012,0.020975,0.452525,0.335525,0.18905,0.100175,0.062875,0.02135,T37
"Jun 19, 2022","U.S. Open","Finau, Tony",0.694975,0.011775,0.45435,0.3298,0.1824,0.095475,0.05785,0.019325,CUT
"Jun 19, 2022","U.S. Open","Morikawa, Collin",0.694375,0.02,0.436475,0.317575,0.1756,0.0925,0.05645,0.01925,T5
"Jun 19, 2022","U.S. Open","Young, Cameron",0.685875,0.01895,0.428925,0.31155,0.1703,0.08945,0.053425,0.017925,CUT
"Jun 19, 2022","U.S. Open","Wise, Aaron",0.67015,0.0165,0.40185,0.2866,0.150275,0.077925,0.046975,0.0153,T27
"Jun 19, 2022","U.S. Open","Conners, Corey",0.667725,0.009625,0.4125,0.29225,0.15225,0.077875,0.045925,0.0153,CUT
"Jun 19, 2022","U.S. Open","Johnson, Dustin",0.645575,0.009925,0.3897,0.279425,0.1481,0.07475,0.043875,0.014475,T24
"Jun 19, 2022","U.S. Open","Hovland, Viktor",0.658225,0.01005,0.3999,0.283425,0.149075,0.07515,0.044675,0.013925,CUT
"Jun 19, 2022","U.S. Open","Varner III, Harold",0.669825,0.016775,0.398625,0.281375,0.1477,0.0735,0.04405,0.0133,CUT
