player_name,sample_size,baseline,age,age_adj,true_sg_adj,timing_adj,sg_category_adj,course_history_adj,driving_dist_adj,driving_acc_adj,fit_other_adj,course_fit_total_adj,final_prediction,std_dev,event_name,course_name
"Cantlay, Patrick",150,1.999,30,0.008,0.036,-0.027,-0.161,-0.040,-0.029,-0.000,-0.069,-0.099,1.716,2.616,"Rocket Mortgage Classic","Detroit Golf Club"
"Zalatoris, Will",150,1.609,25,0.022,0.000,0.014,0.046,-0.062,-0.054,-0.011,-0.069,-0.134,1.495,2.600,"Rocket Mortgage Classic","Detroit Golf Club"
"Finau, Tony",150,1.668,32,-0.001,-0.013,-0.069,-0.045,-0.042,-0.035,-0.007,-0.065,-0.106,1.394,2.587,"Rocket Mortgage Classic","Detroit Golf Club"
"Young, Cameron",150,1.074,25,0.025,0.062,0.035,0.160,-0.040,-0.075,-0.001,-0.028,-0.104,1.212,2.635,"Rocket Mortgage Classic","Detroit Golf Club"
"Homa, Max",150,1.262,31,0.003,0.027,0.028,-0.093,0.001,-0.031,0.007,-0.046,-0.070,1.158,2.623,"Rocket Mortgage Classic","Detroit Golf Club"
"Bradley, Keegan",150,1.069,36,-0.011,-0.014,0.017,-0.015,0.003,-0.031,0.015,-0.050,-0.066,0.983,2.627,"Rocket Mortgage Classic","Detroit Golf Club"
"Kirk, Chris",150,0.846,37,-0.015,-0.075,0.014,0.090,0.043,0.006,0.023,-0.025,0.003,0.906,2.605,"Rocket Mortgage Classic","Detroit Golf Club"
"Henley, Russell",150,0.979,33,-0.002,0.050,-0.006,-0.105,-0.047,0.012,0.025,-0.055,-0.019,0.851,2.603,"Rocket Mortgage Classic","Detroit Golf Club"
"Tringale, Cameron",150,0.719,34,-0.007,0.033,0.004,0.019,0.093,-0.006,0.006,-0.035,-0.034,0.826,2.612,"Rocket Mortgage Classic","Detroit Golf Club"
"McNealy, Maverick",150,0.792,26,0.020,0.049,0.005,-0.025,0.041,-0.032,-0.002,-0.022,-0.056,0.825,2.608,"Rocket Mortgage Classic","Detroit Golf Club"
"Kim, Si Woo",150,0.735,27,0.018,0.036,-0.006,0.073,-0.032,-0.002,0.021,-0.033,-0.013,0.811,2.609,"Rocket Mortgage Classic","Detroit Golf Club"
"Davis, Cameron",150,0.714,27,0.017,0.063,0.011,0.049,0.031,-0.053,-0.017,-0.035,-0.105,0.780,2.614,"Rocket Mortgage Classic","Detroit Golf Club"
"Hadwin, Adam",150,0.771,34,-0.007,0.016,-0.004,-0.018,-0.013,0.006,0.022,-0.030,-0.002,0.742,2.626,"Rocket Mortgage Classic","Detroit Golf Club"
"McCarthy, Denny",150,1.055,29,0.011,-0.030,-0.053,-0.264,-0.005,0.020,0.022,-0.029,0.013,0.727,2.585,"Rocket Mortgage Classic","Detroit Golf Club"
"Pendrith, Taylor",150,0.653,31,0.005,0.020,0.011,0.177,-0.040,-0.079,-0.017,-0.010,-0.107,0.719,2.592,"Rocket Mortgage Classic","Detroit Golf Club"
"Riley, Davis",150,0.704,25,0.023,0.018,-0.018,0.081,-0.040,-0.031,0.009,-0.031,-0.053,0.715,2.627,"Rocket Mortgage Classic","Detroit Golf Club"
"Steele, Brendan",150,0.560,39,-0.022,-0.018,0.012,0.212,-0.028,-0.028,0.017,-0.024,-0.035,0.682,2.641,"Rocket Mortgage Classic","Detroit Golf Club"
"Woodland, Gary",150,0.624,38,-0.018,0.042,0.027,0.077,-0.051,-0.035,-0.004,-0.028,-0.068,0.634,2.613,"Rocket Mortgage Classic","Detroit Golf Club"
"Simpson, Webb",150,0.739,36,-0.014,0.000,-0.067,0.011,-0.031,0.003,0.020,-0.031,-0.008,0.630,2.604,"Rocket Mortgage Classic","Detroit Golf Club"
"Theegala, Sahith",150,0.536,24,0.026,0.081,-0.036,0.110,-0.035,-0.021,-0.018,-0.024,-0.063,0.619,2.635,"Rocket Mortgage Classic","Detroit Golf Club"
"Hubbard, Mark",150,0.803,33,-0.002,-0.016,-0.071,-0.134,0.009,0.040,0.017,-0.038,0.019,0.608,2.589,"Rocket Mortgage Classic","Detroit Golf Club"
"List, Luke",150,0.394,37,-0.016,0.031,-0.002,0.312,-0.026,-0.061,-0.012,-0.021,-0.094,0.599,2.580,"Rocket Mortgage Classic","Detroit Golf Club"
"Scott, Adam",150,0.939,42,-0.031,-0.036,-0.002,-0.186,-0.040,-0.033,-0.013,-0.036,-0.082,0.561,2.617,"Rocket Mortgage Classic","Detroit Golf Club"
"Stallings, Scott",150,0.655,37,-0.015,0.028,-0.011,-0.135,0.047,-0.018,-0.009,-0.030,-0.057,0.511,2.656,"Rocket Mortgage Classic","Detroit Golf Club"
"Merritt, Troy",150,0.468,36,-0.013,-0.078,0.019,-0.019,0.073,0.030,0.021,-0.013,0.038,0.488,2.620,"Rocket Mortgage Classic","Detroit Golf Club"
"Kisner, Kevin",150,0.609,38,-0.019,-0.040,0.044,-0.233,0.084,0.034,0.019,-0.019,0.034,0.480,2.645,"Rocket Mortgage Classic","Detroit Golf Club"
"Smalley, Alex",150,0.406,25,0.023,-0.001,-0.005,0.119,-0.040,-0.029,0.010,-0.022,-0.041,0.461,2.635,"Rocket Mortgage Classic","Detroit Golf Club"
"Clark, Wyndham",150,0.262,28,0.013,-0.008,0.001,0.277,-0.003,-0.068,-0.032,-0.001,-0.101,0.442,2.617,"Rocket Mortgage Classic","Detroit Golf Club"
"Vegas, Jhonattan",150,0.497,37,-0.017,0.049,0.018,0.036,-0.040,-0.064,-0.018,-0.025,-0.106,0.437,2.574,"Rocket Mortgage Classic","Detroit Golf Club"
"Kim, Joohyung",150,0.393,20,0.041,0.042,0.004,-0.047,-0.040,0.012,0.039,-0.014,0.037,0.429,2.635,"Rocket Mortgage Classic","Detroit Golf Club"
"Kuchar, Matt",150,0.866,44,-0.037,-0.128,0.036,-0.321,-0.040,0.050,0.025,-0.025,0.050,0.425,2.560,"Rocket Mortgage Classic","Detroit Golf Club"
"Pan, C.T.",150,0.453,30,0.007,-0.002,-0.001,-0.010,-0.042,0.009,0.021,-0.021,0.009,0.414,2.604,"Rocket Mortgage Classic","Detroit Golf Club"
"Hardy, Nick",150,0.337,26,0.020,0.039,0.058,0.044,-0.040,-0.036,-0.011,-0.006,-0.054,0.404,2.614,"Rocket Mortgage Classic","Detroit Golf Club"
"Day, Jason",150,0.409,34,-0.007,0.049,-0.041,0.041,-0.014,-0.020,-0.005,-0.010,-0.035,0.402,2.634,"Rocket Mortgage Classic","Detroit Golf Club"
"Ghim, Doug",150,0.241,26,0.021,0.005,-0.008,0.105,-0.005,0.013,0.027,-0.015,0.025,0.383,2.613,"Rocket Mortgage Classic","Detroit Golf Club"
"Spaun, J.J.",150,0.122,31,0.002,0.029,-0.005,0.050,0.105,0.014,0.022,-0.010,0.026,0.329,2.617,"Rocket Mortgage Classic","Detroit Golf Club"
"Dahmen, Joel",150,0.333,34,-0.007,-0.049,0.019,-0.002,-0.013,0.020,0.037,-0.015,0.042,0.323,2.609,"Rocket Mortgage Classic","Detroit Golf Club"
"Streelman, Kevin",150,0.522,43,-0.036,-0.155,-0.013,-0.038,-0.028,0.020,0.037,-0.010,0.047,0.299,2.609,"Rocket Mortgage Classic","Detroit Golf Club"
"Fowler, Rickie",150,0.180,33,-0.003,0.059,-0.010,0.055,0.026,-0.024,-0.001,-0.012,-0.037,0.270,2.627,"Rocket Mortgage Classic","Detroit Golf Club"
"Lipsky, David",150,0.188,34,-0.004,0.023,0.025,0.056,-0.040,0.014,0.026,-0.017,0.023,0.270,2.624,"Rocket Mortgage Classic","Detroit Golf Club"
"Sigg, Greyson",150,0.188,27,0.017,0.054,-0.015,0.021,-0.040,0.016,0.013,-0.013,0.015,0.241,2.635,"Rocket Mortgage Classic","Detroit Golf Club"
"Cink, Stewart",150,0.257,49,-0.054,-0.018,0.015,0.102,-0.038,-0.024,-0.004,-0.004,-0.032,0.231,2.668,"Rocket Mortgage Classic","Detroit Golf Club"
"Rodgers, Patrick",150,0.462,30,0.008,-0.051,-0.019,-0.097,-0.003,-0.042,-0.023,-0.007,-0.072,0.228,2.582,"Rocket Mortgage Classic","Detroit Golf Club"
"Hughes, Mackenzie",150,0.365,31,0.003,0.011,-0.015,-0.158,0.031,-0.000,-0.013,-0.013,-0.026,0.212,2.611,"Rocket Mortgage Classic","Detroit Golf Club"
"Straka, Sepp",150,-0.060,29,0.011,0.056,0.043,0.101,0.070,-0.027,0.002,0.010,-0.016,0.206,2.644,"Rocket Mortgage Classic","Detroit Golf Club"
"Knox, Russell",150,0.147,37,-0.014,-0.054,0.042,0.023,-0.021,0.022,0.035,-0.020,0.038,0.159,2.603,"Rocket Mortgage Classic","Detroit Golf Club"
"Willett, Danny",150,0.179,34,-0.007,0.020,-0.008,-0.025,0.008,-0.002,-0.008,0.002,-0.008,0.159,2.605,"Rocket Mortgage Classic","Detroit Golf Club"
"Tarren, Callum",150,0.255,31,0.003,0.048,-0.016,0.000,-0.040,-0.058,-0.031,-0.011,-0.099,0.152,2.642,"Rocket Mortgage Classic","Detroit Golf Club"
"Palmer, Ryan",150,0.227,45,-0.043,-0.017,0.013,0.018,-0.040,-0.020,-0.001,0.002,-0.019,0.139,2.654,"Rocket Mortgage Classic","Detroit Golf Club"
"Schenk, Adam",150,0.064,30,0.007,-0.007,-0.027,0.066,0.057,-0.014,-0.004,-0.009,-0.027,0.133,2.650,"Rocket Mortgage Classic","Detroit Golf Club"
"Champ, Cameron",150,-0.070,27,0.018,0.041,-0.002,0.198,0.010,-0.078,-0.009,0.013,-0.075,0.120,2.656,"Rocket Mortgage Classic","Detroit Golf Club"
"Hossler, Beau",150,0.046,27,0.017,0.017,0.027,0.044,-0.001,-0.039,-0.022,0.022,-0.038,0.112,2.711,"Rocket Mortgage Classic","Detroit Golf Club"
"Gotterup, Chris",150,-0.098,23,0.032,0.065,0.212,0.088,-0.040,-0.103,-0.028,-0.018,-0.149,0.108,2.635,"Rocket Mortgage Classic","Detroit Golf Club"
"Svensson, Adam",150,0.279,28,0.013,-0.030,-0.018,-0.144,-0.025,0.024,0.018,-0.014,0.028,0.103,2.659,"Rocket Mortgage Classic","Detroit Golf Club"
"Frittelli, Dylan",150,0.156,32,0.002,0.056,0.002,-0.024,-0.022,-0.023,-0.031,-0.013,-0.067,0.103,2.632,"Rocket Mortgage Classic","Detroit Golf Club"
"Smotherman, Austin",150,0.074,28,0.015,0.029,-0.012,0.050,-0.040,-0.024,0.011,-0.001,-0.014,0.101,2.652,"Rocket Mortgage Classic","Detroit Golf Club"
"Lashley, Nate",150,0.070,39,-0.023,-0.032,0.003,-0.023,0.074,0.022,0.010,-0.003,0.030,0.100,2.631,"Rocket Mortgage Classic","Detroit Golf Club"
