"","G","G","G","G","G","G"
"1",22969165,22969166,22969205,22969207,22969209,22969263
"2",22969165,22969166,22969201,22969205,22969209,22969267
"3",22969165,22969166,22969205,22969207,22969209,22969242
"4",22969165,22969166,22969182,22969205,22969267,22969268
"5",22969165,22969166,22969201,22969205,22969209,22969252
"6",22969165,22969166,22969205,22969209,22969218,22969227
"7",22969165,22969166,22969205,22969207,22969209,22969267
"8",22969165,22969166,22969201,22969205,22969209,22969262
"9",22969165,22969166,22969182,22969205,22969263,22969278
"10",22969165,22969166,22969188,22969205,22969218,22969278
"11",22969165,22969166,22969201,22969205,22969207,22969263
"12",22969165,22969166,22969182,22969218,22969262,22969263
"13",22969165,22969166,22969182,22969218,22969252,22969268
"14",22969165,22969166,22969207,22969212,22969218,22969224
"15",22969165,22969166,22969182,22969207,22969262,22969278
"16",22969165,22969166,22969201,22969206,22969207,22969252
"17",22969165,22969166,22969201,22969207,22969212,22969242
"18",22969165,22969166,22969188,22969201,22969242,22969252
"19",22969165,22969166,22969201,22969206,22969212,22969242
"20",22969165,22969166,22969206,22969207,22969212,22969242
"21",22969165,22969178,22969182,22969206,22969207,22969224
"22",22969165,22969166,22969206,22969207,22969224,22969226
"23",22969165,22969166,22969202,22969206,22969212,22969242
"24",22969165,22969166,22969195,22969207,22969224,22969242
"25",22969165,22969166,22969188,22969212,22969224,22969257
"26",22969165,22969166,22969182,22969227,22969242,22969257
"27",22969165,22969166,22969188,22969206,22969227,22969257
"28",22969165,22969166,22969188,22969206,22969227,22969259
"29",22969165,22969166,22969182,22969214,22969257,22969269
"30",22969165,22969166,22969182,22969226,22969255,22969257
"31",22969165,22969166,22969182,22969214,22969259,22969269
"32",22969166,22969178,22969182,22969188,22969214,22969227
"33",22969177,22969178,22969182,22969187,22969188,22969195
"34",22969177,22969178,22969182,22969187,22969188,22969202
"35",22969177,22969178,22969182,22969188,22969193,22969195
"36",22969177,22969178,22969182,22969186,22969188,22969202
"37",22969174,22969178,22969182,22969188,22969193,22969202
"38",22969176,22969177,22969178,22969182,22969193,22969259
"39",22969176,22969177,22969178,22969182,22969214,22969226
"40",22969177,22969178,22969182,22969187,22969193,22969195
"41",22969176,22969177,22969178,22969182,22969193,22969256
"42",22969177,22969178,22969182,22969186,22969187,22969202
"43",22969174,22969177,22969178,22969193,22969195,22969214
"44",22969176,22969177,22969178,22969193,22969195,22969203
"45",22969176,22969177,22969178,22969187,22969195,22969214
"46",22969174,22969176,22969177,22969193,22969203,22969214
"47",22969174,22969176,22969177,22969193,22969195,22969226
"48",22969174,22969176,22969177,22969193,22969195,22969227
"49",22969174,22969176,22969177,22969195,22969203,22969214
"50",22969174,22969176,22969177,22969191,22969193,22969227
"51",22969174,22969176,22969177,22969187,22969203,22969223
"52",22969174,22969176,22969177,22969191,22969195,22969223
"53",22969174,22969176,22969177,22969187,22969203,22969229
"54",22969174,22969176,22969177,22969187,22969195,22969236
"55",22969174,22969175,22969186,22969187,22969191,22969195
"56",22969174,22969175,22969184,22969187,22969195,22969203
"57",22969174,22969175,22969184,22969187,22969191,22969203
"58",22969174,22969175,22969184,22969187,22969195,22969200
"59",22969173,22969174,22969175,22969191,22969217,22969223
"60",22969173,22969174,22969175,22969191,22969216,22969223
"61",22969173,22969174,22969175,22969191,22969200,22969255
"62",22969173,22969174,22969175,22969191,22969217,22969229
"63",22969174,22969175,22969184,22969186,22969191,22969217
"64",22969173,22969174,22969175,22969186,22969217,22969255
"65",22969173,22969174,22969175,22969184,22969229,22969255
"66",22969173,22969174,22969175,22969194,22969215,22969217
"67",22969173,22969175,22969184,22969186,22969194,22969215
"68",22969173,22969175,22969184,22969186,22969200,22969215
"69",22969173,22969175,22969184,22969186,22969194,22969219
"70",22969164,22969175,22969186,22969200,22969216,22969229
"71",22969173,22969175,22969184,22969186,22969200,22969219
"72",22969169,22969173,22969175,22969215,22969216,22969223
"73",22969169,22969173,22969175,22969200,22969215,22969255
"74",22969164,22969175,22969186,22969200,22969216,22969231
"75",22969164,22969173,22969186,22969200,22969229,22969231
"76",22969164,22969173,22969186,22969194,22969216,22969255
"77",22969164,22969173,22969186,22969210,22969216,22969223
"78",22969164,22969173,22969186,22969210,22969211,22969229
"79",22969164,22969173,22969186,22969200,22969219,22969243
"80",22969164,22969173,22969186,22969210,22969211,22969231
"81",22969164,22969173,22969186,22969194,22969210,22969256
"82",22969164,22969169,22969194,22969210,22969211,22969231
"83",22969164,22969169,22969194,22969211,22969219,22969221
"84",22969164,22969173,22969180,22969219,22969221,22969256
"85",22969164,22969173,22969180,22969219,22969221,22969261
"86",22969164,22969169,22969196,22969211,22969219,22969221
"87",22969164,22969169,22969196,22969211,22969219,22969222
"88",22969164,22969169,22969180,22969221,22969248,22969261
"89",22969164,22969169,22969181,22969219,22969248,22969261
"90",22969164,22969169,22969180,22969236,22969243,22969248
"91",22969164,22969169,22969199,22969208,22969219,22969221
"92",22969164,22969169,22969204,22969208,22969219,22969222
"93",22969164,22969169,22969189,22969219,22969221,22969222
"94",22969164,22969169,22969198,22969208,22969219,22969221
"95",22969164,22969169,22969180,22969236,22969243,22969250
"96",22969164,22969169,22969196,22969208,22969221,22969222
"97",22969169,22969179,22969180,22969181,22969221,22969250
"98",22969172,22969179,22969180,22969181,22969221,22969222
"99",22969172,22969179,22969180,22969181,22969208,22969243
"100",22969172,22969179,22969180,22969181,22969204,22969250
