"","G","G","G","G","G","G"
"1",28078696,28078703,28078735,28078736,28078738,28078739
"2",28078696,28078705,28078728,28078736,28078738,28078739
"3",28078696,28078703,28078716,28078726,28078757,28078769
"4",28078696,28078703,28078705,28078757,28078771,28078775
"5",28078696,28078703,28078716,28078742,28078749,28078760
"6",28078696,28078703,28078705,28078766,28078767,28078768
"7",28078696,28078705,28078716,28078737,28078742,28078751
"8",28078696,28078705,28078709,28078742,28078761,28078764
"9",28078696,28078703,28078725,28078730,28078745,28078752
"10",28078697,28078709,28078715,28078724,28078725,28078743
"11",28078697,28078709,28078714,28078715,28078740,28078756
"12",28078697,28078709,28078714,28078717,28078723,28078773
"13",28078697,28078708,28078717,28078719,28078723,28078758
"14",28078697,28078701,28078708,28078734,28078765,28078776
"15",28078701,28078704,28078708,28078718,28078746,28078747
"16",28078701,28078704,28078708,28078718,28078734,28078762
"17",28078701,28078704,28078710,28078711,28078748,28078772
"18",28078701,28078704,28078711,28078722,28078729,28078741
"19",28078704,28078706,28078710,28078711,28078720,28078774
"20",28078698,28078706,28078710,28078722,28078750,28078753
