"","Name","ID","Salary","AvgPointsPerGame","fpts","proj_own","ceil","floor","scoring_points","finish_points","total_points","value","projected_ownership","sg_putt_pred","sg_putt_rank","sg_arg_pred","sg_arg_rank","sg_app_pred","sg_app_rank","sg_ott_pred","sg_ott_rank","sg_total_pred","sg_total_rank","distance_pred","distance_rank","accuracy_pred","accuracy_rank","baseline","age","age_adj","true_sg_adj","timing_adj","sg_category_adj","course_history_adj","driving_dist_adj","driving_acc_adj","fit_other_adj","course_fit_total_adj","final_prediction","make_cut","top_20","top_10","top_5","win","odds_per_dollar","residuals","proj_own_avg","course_fit","own_change","adj_own","one","date","tournament"
"1","Will Zalatoris",23516794,10900,70.24,80.78,0,112.5,35.63,78.2,6.1,84.3,0.37,3.95,0.074,142,0.087,104,0.827,2,0.762,4,1.75,9,12.392,33,-0.018,254,1.593,25,0.022,0.024,0.012,0.099,0.005,-0.12,-0.055,-0.047,-0.222,1.534,0.7727,0.4484,0.2915,0.1773,0.0479,4.39,-0.35,2.37,0.87,3.74,5,1,2022-08-07,"Wyndham Championshio"
"2","Webb Simpson",23516795,10700,61.39,75.01,0,107.5,34.38,70.5,4.2,74.7,-0.18,3.95,0.109,121,0.163,58,0.21,79,0.096,148,0.578,71,-0.488,224,0.044,71,0.62,36,-0.014,-0.013,-0.073,0.058,0.351,0.005,0.128,-0.033,0.101,1.03,0.6933,0.3165,0.1825,0.1,0.0225,2.1,-2.37,2.37,1.27,4.53,5,1,2022-08-07,"Wyndham Championshio"
"3","Shane Lowry",23516796,10600,71.74,82.21,0,113.13,36.25,80.3,6.7,87,0.67,3.95,0.124,110,0.311,3,0.771,6,0.471,30,1.678,11,5.704,107,0.024,114,1.676,35,-0.009,0.058,-0.012,-0.036,0.052,-0.055,0.07,-0.069,-0.054,1.676,0.7921,0.4878,0.3236,0.2024,0.0574,5.42,1.09,2.37,1.95,9.32,10,1,2022-08-07,"Wyndham Championshio"
"4","Sungjae Im",23516797,10500,73.5,81.03,0,111.88,35.63,81.8,7,88.8,0.84,3.95,0.119,116,0.221,33,0.515,26,0.688,9,1.543,14,3.971,139,0.061,43,1.285,24,0.027,0.065,-0.038,0.204,0.088,-0.038,0.177,-0.05,0.088,1.719,0.7942,0.4926,0.3356,0.216,0.0632,6.02,1.82,2.37,2.04,10.09,10,1,2022-08-07,"Wyndham Championshio"
"5","Billy Horschel",23516798,10300,69.85,78.34,0,110.63,35,78.4,6.1,84.5,0.62,3.95,0.268,42,0.183,47,0.298,56,0.414,35,1.164,24,-2.36,255,0.069,32,1.207,35,-0.01,0.036,-0.01,-0.06,0.231,0.024,0.201,-0.053,0.171,1.566,0.7758,0.4525,0.2959,0.1808,0.0481,4.67,0.73,2.37,1.88,8.82,10,1,2022-08-07,"Wyndham Championshio"
"6","Russell Henley",23516799,9800,74.53,80.66,0,112.5,35.63,75.4,5.3,80.6,0.55,3.95,-0.001,200,0.22,34,0.676,11,0.178,110,1.072,29,-1.941,252,0.063,38,1.088,33,-0.002,0.048,0.005,-0.066,0.071,0.02,0.182,-0.047,0.155,1.298,0.734,0.3831,0.2326,0.1346,0.0328,3.35,0.02,2.37,1.94,8.74,10,1,2022-08-07,"Wyndham Championshio"
"7","Corey Conners",23516800,9600,67,81.21,0,112.5,35.63,76.3,5.6,81.9,0.72,3.95,0.12,114,0.025,160,0.496,28,0.622,13,1.262,18,2.47,164,0.077,22,1.298,30,0.007,0.023,-0.014,-0.052,0.005,-0.024,0.225,-0.033,0.169,1.436,0.7596,0.4202,0.2639,0.1577,0.0409,4.26,1.15,2.37,1.72,8.31,10,1,2022-08-07,"Wyndham Championshio"
"8","Tyrrell Hatton",23516801,9400,67.81,76.9,0,109.38,35,66,3.3,69.3,-0.06,3.95,0.331,27,0.255,16,0.231,76,0.139,132,0.957,34,4.898,119,-0.034,312,0.97,30,0.006,0.028,0.003,-0.05,-0.045,-0.047,-0.102,-0.061,-0.211,0.701,0.6283,0.2392,0.1261,0.0661,0.013,1.38,-1.51,2.37,0.67,2.26,5,1,2022-08-07,"Wyndham Championshio"
"9","Adam Scott",23516802,9200,71,75.85,0,108.13,34.38,63.4,2.8,66.2,-0.17,3.95,0.175,80,0.006,174,0.416,38,0.145,128,0.742,55,8.261,61,-0.025,278,0.915,42,-0.031,-0.008,-0.007,-0.128,-0.024,-0.08,-0.074,-0.033,-0.187,0.531,0.5968,0.2066,0.1036,0.0497,0.0089,0.97,-1.72,2.37,0.22,0.13,0,1,2022-08-07,"Wyndham Championshio"
"10","Harold Varner III",23516803,9000,65.92,80.14,0,112.5,35.63,71.7,4.5,76.1,0.55,3.95,0.129,107,0.223,30,0.607,17,0.165,118,1.123,28,5.374,112,-0.018,253,1.095,31,0.002,0.016,0.011,-0.001,0.115,-0.052,-0.055,-0.056,-0.162,1.076,0.7006,0.33,0.1894,0.1071,0.0252,2.8,0.3,2.37,0.94,4.38,5,1,2022-08-07,"Wyndham Championshio"
