"","Name","ID","Salary","ceil","fpts","total_points","fpts_avg","course_fit","final_prediction","win","residuals","proj_own_avg","own_change","own"
"1","Scottie Scheffler",28153645,11300,103,85.84,93.9,89.87,2.77,3.007,0.1292,1.99,25.57,13.46,0.25
"2","Jon Rahm",28153646,11000,104,86.44,86.4,86.42,1.91,2.52,0.0772,-1.09,22.56,8.05,0
"3","Rory McIlroy",28153647,10600,102,84.51,77.1,80.81,1.24,1.98,0.0352,-3.21,13.09,3.98,0
"4","Patrick Cantlay",28153648,10500,102.5,85.05,89,87.03,2.14,2.693,0.0863,2.05,23.7,10.66,0.4
"5","Xander Schauffele",28153649,10200,103.5,84.7,83.1,83.9,1.89,2.346,0.0566,0.38,18.12,8.7,0.25
"6","Collin Morikawa",28153650,9900,93,75.27,74.5,74.88,1.29,1.729,0.0273,-1.53,13.67,5.04,0
"7","Viktor Hovland",28153651,9700,92.35,72.27,76.1,74.18,0.8,1.881,0.0327,-0.4,16.05,3.4,0
"8","Jason Day",28153652,9400,94,76.11,72.7,74.4,1.5,1.633,0.0241,-0.53,10.62,6.49,0.1
"9","Tyrrell Hatton",28153653,9300,94.5,76.06,73.7,74.88,1.57,1.737,0.0265,-0.04,17.3,7.04,0.25
"10","Justin Thomas",28153654,9200,95.5,77.48,70.9,74.19,1.48,1.578,0.0211,-0.41,14.8,6.46,0.2
"11","Sungjae Im",28153655,9100,93.5,76.08,74.2,75.14,1.77,1.772,0.0276,0.5,9.64,8.21,0.2
"12","Matt Fitzpatrick",28153656,9000,93.5,75.64,67.2,71.42,1.1,1.337,0.013,-0.92,10.66,4.49,0.1
"13","Jordan Spieth",28153657,8900,93.5,74.94,71.4,73.17,0.76,1.507,0.0202,0.06,10.61,3.45,0.15
"14","Cameron Young",28153658,8800,89,69.67,70.6,70.13,0.47,1.467,0.0188,0.07,8.55,2.15,0.1
"15","Hideki Matsuyama",28153659,8700,92.5,73.7,69.1,71.4,1.53,1.372,0.0161,-0.1,12.79,6.84,0.2
"16","Sam Burns",28153660,8600,89,68.97,66.3,67.63,0.34,1.225,0.0126,-0.36,8.96,1.35,0.1
"17","Rickie Fowler",28153661,8500,90,70.79,70.7,70.75,1.5,1.558,0.0218,0.84,17.75,7.17,0.25
"18","Sahith Theegala",28153662,8400,87,66.95,64.5,65.72,0.76,1.078,0.0087,-0.59,14.53,3.12,0
"19","Corey Conners",28153663,8300,90,70.79,68,69.4,0.35,1.375,0.0137,0.11,15.81,1.63,0.15
"20","Wyndham Clark",28153664,8200,89.35,69.54,63,66.27,0.45,1.034,0.0084,-0.43,8.54,1.81,0.1
"21","Shane Lowry",28153665,8100,89,68.75,65.2,66.97,0.65,1.19,0.0104,-0.09,15.48,2.88,0.2
"22","Adam Scott",28153666,8000,87,67.31,62,64.66,0.07,0.861,0.0066,-0.46,16.33,0.09,0.15
"23","Si Woo Kim",28153667,8000,87,67.63,69.2,68.41,1.16,1.475,0.0172,0.86,16.33,5.65,0.2
"24","Tom Kim",28153668,7900,89,69.27,67.3,68.28,1.25,1.279,0.0135,0.5,10.65,5.88,0.15
"25","Russell Henley",28153669,7900,88,68.07,70.4,69.24,1.96,1.545,0.0197,1.28,12.26,9.46,0.2
"26","Keegan Bradley",28153670,7800,86,65.24,66.3,65.77,0.8,1.214,0.012,0.41,9.25,3.81,0.15
"27","Emiliano Grillo",28153671,7800,82.5,59.99,59.7,59.84,-0.04,0.749,0.0047,-0.53,7.68,-0.45,0
"28","Gary Woodland",28153672,7700,81,57.49,62.7,60.09,-0.5,0.986,0.0083,0.03,5.29,-2.23,0
"29","Cameron Davis",28153673,7700,84,61.52,59.5,60.51,-0.2,0.773,0.0057,-0.31,4.76,-1.06,0
"30","Keith Mitchell",28153674,7600,83.35,62.07,55.8,58.94,-0.31,0.568,0.0032,-0.55,3.04,-1.67,0
"31","Denny McCarthy",28153675,7600,82.5,59.53,63,61.26,0.72,1.063,0.0069,-0.06,7.01,3.21,0.1
"32","Billy Horschel",28153676,7500,79.5,55.59,54.7,55.15,0.23,0.417,0.0023,-0.57,6.53,0.75,0
"33","Matt Kuchar",28153677,7500,85,64.09,65.7,64.9,1.61,1.241,0.0115,0.65,8.43,7.57,0.4
"34","Harris English",28153678,7500,76,50.85,57.1,53.98,1,0.523,0.0037,-0.39,6.14,4.3,0
"35","Kurt Kitayama",28153679,7400,81.5,57.77,57.3,57.53,-0.04,0.555,0.0052,-0.09,4.72,-0.23,0
