"","Name","ID","Salary","AvgPointsPerGame","fpts","proj_own","ceil","floor","make_cut","first_round_lead","top_30","top_20","top_10","top_5","top_3","win","observed_finish","ownership","total_pts","odds_per_dollar","residuals","own_change","adj_own","date","tournament"
"1","Scottie Scheffler",22969164,11100,90.59,87.45,18.3,106.5,68,0.8814,0.0403,0.751,0.6551,0.4788,0.3266,0.2355,0.1039,18,0.1632,79.5,9.36,-0.65,-0.1,18,2022-06-12,"RBC Canadian Open"
"2","Justin Thomas",22969165,10900,96,91.54,15.9,118.35,71.65,0.8749,0.049,0.7358,0.6342,0.4582,0.3032,0.2128,0.0906,3,0.1504,115.5,8.31,-0.62,-0.09,16,2022-06-12,"RBC Canadian Open"
"3","Rory McIlroy",22969166,10500,86.12,89.91,23.6,110,70.5,0.8728,0.0516,0.7302,0.6309,0.4555,0.3049,0.2158,0.0927,1,0.2134,132,8.83,1.86,0.28,24,2022-06-12,"RBC Canadian Open"
"4","Cameron Smith",22969167,10300,87.88,83.71,14.4,102.5,65.5,0.8593,0.0323,0.6978,0.5876,0.4108,0.2654,0.1836,0.0723,48,0.1921,68.5,7.02,0.93,0.14,15,2022-06-12,"RBC Canadian Open"
"5","Shane Lowry",22969168,10100,71.54,80.96,12.3,99.5,63,0.8324,0.0352,0.6516,0.5347,0.3528,0.2137,0.1431,0.0549,10,0.1441,95.5,5.44,0.16,0.02,12,2022-06-12,"RBC Canadian Open"
"6","Sam Burns",22969169,10000,79.34,76.76,11,97,40.15,0.8074,0.0248,0.6017,0.4845,0.3146,0.1883,0.1242,0.0466,4,0.1421,104,4.66,-0.24,-0.04,11,2022-06-12,"RBC Canadian Open"
"7","Harold Varner III",22969171,9700,66.64,72.33,8.7,93,31,0.7726,0.0189,0.532,0.4116,0.2401,0.1315,0.0804,0.0266,13,0.0825,84.5,2.74,-1.12,-0.17,9,2022-06-12,"RBC Canadian Open"
"8","Corey Conners",22969172,9600,68.38,77.7,19,97,57.5,0.7974,0.0246,0.5751,0.4525,0.276,0.1548,0.0974,0.0339,6,0.1864,97,3.53,-0.01,0,19,2022-06-12,"RBC Canadian Open"
"9","Tyrrell Hatton",22969173,9500,75.92,76.44,14.2,97.5,33.5,0.7736,0.019,0.5368,0.4149,0.2472,0.1382,0.0863,0.0301,100,0.1471,18.5,3.17,-0.08,-0.01,14,2022-06-12,"RBC Canadian Open"
"10","Tony Finau",22969174,9400,65.41,75.25,16.4,95.5,35.5,0.781,0.0227,0.5501,0.4263,0.2522,0.1367,0.0854,0.029,2,0.1313,120.5,3.09,0.12,0.02,16,2022-06-12,"RBC Canadian Open"
"11","Adam Hadwin",22969175,9300,66.36,66.01,12.8,88.5,28.5,0.6978,0.0158,0.4097,0.2929,0.1529,0.0761,0.0436,0.0126,35,0.1091,68.5,1.35,-1.35,-0.2,13,2022-06-12,"RBC Canadian Open"
"12","Sebastian Munoz",22969176,9200,67.92,67.26,10,90,28.5,0.7247,0.015,0.451,0.3318,0.1843,0.0975,0.0574,0.0184,25,0.0797,71,2,-0.46,-0.07,10,2022-06-12,"RBC Canadian Open"
"13","Chris Kirk",22969177,9100,63.92,73.72,13.9,93.5,33,0.7374,0.0183,0.4711,0.3476,0.1962,0.0996,0.0606,0.0189,7,0.0976,93.5,2.08,-0.15,-0.02,14,2022-06-12,"RBC Canadian Open"
