"X","Name","ID","Salary","AvgPointsPerGame","odds_open","odds_close","odds_rank","odds_delta","odds_delta_per","fpts","proj_own","ceil","floor","make_cut","top_20","top_10","top_5","win","odds_per_dollar","one","residuals","own_change","adj_own","total_pts"
1,"Scottie Scheffler",22991915,11300,89.94,0.0662,0.06,4,-0.0062,-0.0937,63.38,8.8,81,27,0.7925,0.5074,0.3333,0.2066,0.0571,5.31,1,-1.02,29.52,40,51.33
2,"Justin Thomas",22991916,10900,97.22,0.0692,0.0668,2,-0.0024,-0.0347,69.03,11.4,85.5,52.5,0.7996,0.5146,0.339,0.2119,0.0582,6.13,1,0.46,41.86,40,62.02
3,"Jon Rahm",22991917,10800,82.08,0.0665,0.0605,3,-0.00600000000000001,-0.0902,63.43,17.7,81.5,27.5,0.7996,0.4975,0.3279,0.2008,0.0545,5.6,1,0.09,30.12,40,47.46
4,"Rory McIlroy",22991918,10500,89.39,0.0812,0.0815,1,0.000300000000000009,0.0037,68.45,21.5,85.5,50,0.8382,0.5833,0.4115,0.2717,0.0862,7.76,1,2.72,45.52,40,62.02
5,"Cameron Smith",22991919,10200,86.38,0.0445,0.0395,7,-0.005,-0.1124,57.89,7.1,77,24.5,0.6988,0.3509,0.1996,0.1088,0.0229,3.87,1,-0.72,24.72,30,51.33
6,"Collin Morikawa",22991920,10000,77.87,0.0509,0.0292,12,-0.0217,-0.4263,53.77,8.5,74,23.5,0.6942,0.3175,0.1757,0.0925,0.0192,2.92,1,-1.38,14.99,25,42.16
7,"Viktor Hovland",22991921,9700,88.79,0.0331,0.026,16,-0.0071,-0.2145,53.82,6.4,74.5,23.5,0.6587,0.2833,0.149,0.0751,0.0139,2.68,1,-1.2,21.32,30,48.98
8,"Xander Schauffele",22991922,9600,83.57,0.039,0.0424,5,0.0034,0.0872,65.29,25.6,83,29.5,0.7449,0.3906,0.2299,0.1261,0.0277,4.42,1,0.67,34.65,40,54.91
9,"Jordan Spieth",22991923,9500,73.47,0.0398,0.0349,9,-0.0049,-0.1231,59.34,10.1,78,25,0.7015,0.3356,0.189,0.1002,0.0213,3.67,1,0.05,22.67,35,49.9
10,"Dustin Johnson",22991924,9400,62.72,0.0508,0.0247,17,-0.0261,-0.5138,55.59,2.6,75.5,23.5,0.6454,0.2793,0.1481,0.0747,0.0145,2.63,1,-0.85,11.55,15,51.33
11,"Will Zalatoris",22991925,9300,70.53,0.0344,0.0368,8,0.0024,0.0698,57.14,18.7,76.5,24,0.7619,0.4167,0.2506,0.1445,0.0357,3.96,1,0.6,22.22,40,51.23
12,"Patrick Cantlay",22991926,9200,82.15,0.0384,0.0421,6,0.0037,0.0964,62.82,13.6,80.5,27,0.7674,0.4425,0.2747,0.1621,0.0413,4.58,1,1.35,33.54,40,48.79
13,"Hideki Matsuyama",22991927,9100,81.91,0.0253,0.0222,18,-0.0031,-0.1225,53.29,12.4,73.5,23,0.7151,0.3521,0.2028,0.1105,0.0235,2.44,1,-0.67,19.34,30,48.98
14,"Shane Lowry",22991928,9000,73.25,0.0279,0.031,11,0.0031,0.1111,60.6,19.2,78,26,0.729,0.3846,0.2237,0.1233,0.0274,3.44,1,0.44,24.57,40,51.23
15,"Joaquin Niemann",22991929,8900,76.06,0.023,0.0267,14,0.0037,0.1609,58.24,13.2,77,24.5,0.7326,0.365,0.207,0.1122,0.0237,3,1,0.1,23.85,35,51.23
16,"Cameron Young",22991930,8800,69.97,0.0202,0.019,22,-0.0012,-0.0594,55.4,12.6,75,23.5,0.6855,0.3115,0.1704,0.0894,0.0179,2.16,1,-0.65,16.23,30,48.98
17,"Brooks Koepka",22991931,8700,57,0.0455,0.0181,23,-0.0274,-0.6022,52.68,6.9,73,23,0.6047,0.2294,0.1135,0.0543,0.0092,2.08,1,-0.64,6.9,15,49.95
18,"Billy Horschel",22991932,8600,75.54,0.0153,0.0147,25,-6e-04,-0.0392,50.86,4.7,71.5,22.5,0.6479,0.2488,0.1264,0.0615,0.011,1.71,1,-0.93,14.13,20,48.98
19,"Daniel Berger",22991934,8400,72.86,0.0209,0.0193,20,-0.0016,-0.0766,57.38,10.5,76,24.5,0.6403,0.2494,0.1233,0.0596,0.0108,2.3,1,-0.18,19.82,30,51.62
20,"Sam Burns",22991935,8300,80.79,0.0308,0.0339,10,0.0031,0.1006,56.35,18.8,76,24,0.6979,0.3472,0.1965,0.108,0.0235,4.08,1,1.68,29.31,40,51.23
21,"Tony Finau",22991936,8200,68.65,0.025,0.0276,13,0.0026,0.104,58.35,15.7,77.5,24.5,0.6951,0.33,0.1825,0.0955,0.0193,3.37,1,1.06,23.98,40,51.23
22,"Max Homa",22991937,8100,75.8,0.0178,0.0192,21,0.0014,0.0787,53.21,17.6,73.5,23,0.6575,0.2695,0.1408,0.0716,0.0131,2.37,1,0.15,19.97,40,50.66
23,"Tyrrell Hatton",22991938,8000,71.82,0.0168,0.0092,38,-0.0076,-0.4524,53.4,3.3,74,23,0.5726,0.1942,0.0925,0.0429,0.0071,1.15,1,-0.97,13.62,15,48.98
24,"Bryson DeChambeau",22991939,7900,46.92,0.0374,0.0078,39,-0.0296,-0.7914,45.56,0.72,68.5,21,0.4444,0.0963,0.0394,0.0163,0.0022,0.99,1,-1.02,-3.76,0,48.23
25,"Corey Conners",22991940,7900,69.97,0.0137,0.0197,19,0.006,0.438,56.24,15.6,75.5,24,0.6678,0.2924,0.1522,0.0779,0.0153,2.49,1,0.48,21.88,35,51.23
26,"Mito Pereira",22991941,7800,71.17,0.0147,0.0129,29,-0.0018,-0.1224,55.21,15.2,75.5,23.5,0.639,0.2584,0.1311,0.0655,0.0111,1.65,1,-0.23,18.28,35,51.62
27,"Aaron Wise",22991942,7800,70.91,0.014,0.0134,27,-6e-04,-0.0429,51.96,11.4,72.5,22.5,0.67,0.2865,0.1504,0.0779,0.0153,1.72,1,-0.16,15.55,25,49.27
28,"Tommy Fleetwood",22991944,7700,71.8,0.0154,0.0144,26,-0.001,-0.0649,55.34,13.5,75.5,23.5,0.6283,0.2415,0.1182,0.0565,0.0092,1.87,1,0.14,19.86,35,49.9
29,"Louis Oosthuizen",22991945,7600,61.44,0.0187,0.0121,31,-0.0066,-0.3529,53.84,6.8,74,23,0.6183,0.2445,0.1245,0.0619,0.0117,1.59,1,0.02,12.63,20,47.55
30,"Abraham Ancer",22991946,7600,62.94,0.0129,0.0093,37,-0.0036,-0.2791,50.47,4.2,71,22.5,0.5349,0.157,0.0698,0.0303,0.0042,1.22,1,-0.35,9.29,15,48.98
31,"Sungjae Im",22991947,7600,79.82,0.0181,0.0263,15,0.0082,0.453,57.73,26.7,76.5,24.5,0.6988,0.3436,0.1938,0.1034,0.0226,3.46,1,1.89,31.29,40,51.23
32,"Seamus Power",22991948,7500,68.71,0.0079,0.0113,32,0.0034,0.4304,50.29,4.8,71.5,22,0.6212,0.2439,0.1214,0.0581,0.0099,1.51,1,0.1,16.03,20,46.12
33,"Keegan Bradley",22991949,7500,68.41,0.0094,0.0124,30,0.003,0.3191,54.88,13.9,74,23.5,0.654,0.2674,0.1393,0.0684,0.013,1.65,1,0.24,18.54,30,46.12
34,"Talor Gooch",22991950,7500,77.72,0.0091,0.0105,34,0.0014,0.1538,50.39,5.8,71,22.5,0.6139,0.2347,0.1172,0.0572,0.0096,1.4,1,-0.01,17.95,25,46.12
35,"Webb Simpson",22991951,7400,65.92,0.0134,0.0106,33,-0.0028,-0.209,50.72,8.6,72,22.5,0.5413,0.1629,0.0729,0.0318,0.0046,1.43,1,0.17,13.37,20,43.01
