datagolf_name,dk_name,sample_size,dk_id,dk_salary,std_dev,tee_time,early_late_wave,scoring_points,finish_points,manual_bump,total_points,value,max_exposure,projected_ownership,lineup_rule
"Scheffler, Scottie","Scottie Scheffler",150,23114140,11200,36.073,1:00 pm,0,82,8.1,0,90.2,0.75,100,15.9585150947113,
"McIlroy, Rory","Rory McIlroy",150,23114141,11000,36.387,7:45 am,1,81.3,7.9,0,89.2,0.78,100,19.4998907013505,
"Burns, Sam","Sam Burns",150,23114143,10400,35.182,12:50 pm,0,70.8,4.7,0,75.6,-0.03,100,14.4393739172229,
"Cantlay, Patrick","Patrick Cantlay",150,23114144,10200,35.940,12:40 pm,0,78.2,7,0,85.2,0.91,100,23.7930184450602,
"Schauffele, Xander","Xander Schauffele",150,23114145,10000,34.586,7:35 am,1,71.7,5.2,0,76.9,0.3,100,13.3678510388146,
"Spieth, Jordan","Jordan Spieth",150,23114146,9900,34.194,1:00 pm,0,66.2,3.8,0,70,-0.11,100,15.8947048716547,
"Im, Sungjae","Sungjae Im",150,23114147,9700,35.415,7:25 am,1,73,5.5,0,78.6,0.62,100,16.046013917227,
"Niemann, Joaquin","Joaquin Niemann",150,23114148,9600,34.109,1:10 pm,0,70.1,4.7,0,74.8,0.34,100,14.4529991311439,
"Finau, Tony","Tony Finau",150,23114149,9500,33.720,7:25 am,1,66.7,4,0,70.7,0.04,100,9.91230738446847,
"Bradley, Keegan","Keegan Bradley",150,23114150,9400,35.047,12:50 pm,0,72.1,5.2,0,77.3,0.68,100,16.9699511290314,
"Fleetwood, Tommy","Tommy Fleetwood",150,23114152,9200,32.784,8:25 am,1,63,3.3,0,66.3,-0.07,100,7.83482213739813,
"Power, Seamus","Seamus Power",150,23114153,9100,34.021,1:10 pm,0,67.8,4.2,0,72,0.39,100,13.6337743361873,
"Varner III, Harold","Harold Varner III",150,23114154,9000,33.920,8:05 am,1,65.2,3.7,0,68.9,0.18,100,7.6656500765895,
"Riley, Davis","Davis Riley",150,23114155,8900,32.807,6:55 am,1,61.2,2.9,0,64.1,-0.08,100,14.5275242166353,
"Wise, Aaron","Aaron Wise",150,23114156,8800,34.622,12:20 pm,0,67.5,4.2,0,71.7,0.55,100,12.7135602714954,
"Pereira, Mito","Mito Pereira",150,23114157,8700,34.164,8:05 am,1,66.9,4,0,71,0.54,100,12.9003756901922,
"Harman, Brian","Brian Harman",150,23114158,8600,33.701,6:45 am,1,67.5,4.2,0,71.7,0.66,100,15.1053280385111,
"Simpson, Webb","Webb Simpson",150,23114159,8500,32.940,7:45 am,1,62.6,3.1,0,65.7,0.19,100,8.32155854936123,
"Leishman, Marc","Marc Leishman",150,23114160,8400,32.503,12:40 pm,0,60.8,2.8,0,63.6,0.07,100,10.5422137347273,
"McCarthy, Denny","Denny McCarthy",150,23114161,8300,32.213,1:20 pm,0,60.8,2.8,0,63.6,0.12,100,11.3876609882133,
"Mitchell, Keith","Keith Mitchell",150,23114162,8200,33.636,1:10 pm,0,63.9,3.4,0,67.3,0.51,100,6.95820404718516,
"Day, Jason","Jason Day",150,23114163,8100,32.558,7:15 am,1,60,2.7,0,62.7,0.16,100,7.95648939819085,
"Kokrak, Jason","Jason Kokrak",150,23114164,8000,32.851,8:05 am,1,60.8,2.8,0,63.5,0.3,100,4.27652576914209,
"Todd, Brendon","Brendon Todd",150,23114165,7900,31.742,7:45 am,1,59.3,2.6,0,62,0.22,100,9.38217413575079,
"Bezuidenhout, Christiaan","Christiaan Bezuidenhout",150,23114166,7800,31.825,6:55 am,1,58.4,2.5,0,60.9,0.18,100,6.84353625424534,
"Dahmen, Joel","Joel Dahmen",150,23114169,7700,32.520,12:50 pm,0,61.9,3,0,64.8,0.59,100,11.2650761391393,
"Steele, Brendan","Brendan Steele",150,23114167,7700,34.064,12:20 pm,0,65.8,3.7,0,69.5,1,100,13.9944580067756,
"McNealy, Maverick","Maverick McNealy",150,23114168,7700,32.087,12:10 pm,0,58.6,2.5,0,61.1,0.26,100,6.83922166558436,
"Lee, Kyounghoon","Kyoung-Hoon Lee",150,23114171,7600,32.865,12:40 pm,0,62.2,3,0,65.2,0.68,100,7.05823086285274,
"English, Harris","Harris English",150,23114172,7600,29.634,12:40 pm,0,51.2,1.5,0,52.7,-0.18,100,7.74793953296584,
"Kim, Si Woo","Si Woo Kim",150,23114170,7600,33.675,7:25 am,1,64.6,3.5,0,68.1,0.94,100,9.4350154576306,
"Kisner, Kevin","Kevin Kisner",150,23114173,7500,31.233,7:45 am,1,54.8,2,0,56.8,0,100,6.3127076633841,
"Vegas, Jhonattan","Jhonattan Vegas",150,23114176,7500,31.264,1:20 pm,0,57.9,2.4,0,60.2,0.3,100,3.48212697730169,
"Davis, Cameron","Cameron Davis",150,23114175,7500,30.781,7:15 am,1,54.3,1.9,0,56.2,-0.02,100,4.77763825998155,
"Tringale, Cameron","Cameron Tringale",150,23114177,7400,32.438,8:25 am,1,60.8,2.9,0,63.7,0.66,100,7.26448303588466,
"Rai, Aaron","Aaron Rai",150,23114179,7400,31.665,12:00 pm,0,58.7,2.5,0,61.2,0.45,100,5.20695101458718,
"Hoge, Tom","Tom Hoge",150,23114180,7400,32.831,7:35 am,1,61.8,2.9,0,64.8,0.76,100,6.36763169607499,
"Hughes, Mackenzie","Mackenzie Hughes",150,23114178,7400,30.910,1:30 pm,0,55.9,2,0,57.9,0.16,100,7.12991877753231,
"Theegala, Sahith","Sahith Theegala",150,23114181,7300,30.308,6:55 am,1,54,1.8,0,55.8,0.03,100,5.27480558707239,
"List, Luke","Luke List",150,23114185,7300,32.300,7:25 am,1,60,2.7,0,62.7,0.64,100,3.8345111651191,
"Palmer, Ryan","Ryan Palmer",150,23114184,7300,29.531,1:00 pm,0,50.5,1.4,0,51.9,-0.13,100,1.97490901375431,
"Lahiri, Anirban","Anirban Lahiri",150,23114183,7300,31.493,8:25 am,1,57.4,2.3,0,59.7,0.37,100,3.86678494406908,
"Pan, C.T.","C.T. Pan",150,23114182,7300,31.948,7:35 am,1,58.8,2.5,0,61.2,0.51,100,4.6466469484235,
"NeSmith, Matthew","Matthew NeSmith",150,23114190,7200,32.204,8:05 am,1,59.2,2.5,0,61.7,0.61,100,4.89645658577025,
"Howell III, Charles","Charles Howell III",150,23114186,7200,32.065,7:15 am,1,58.1,2.4,0,60.5,0.5,100,3.29904508064047,
"Champ, Cameron","Cameron Champ",150,23114188,7200,30.627,12:50 pm,0,53.6,1.8,0,55.4,0.05,100,2.63721130012123,
"Streelman, Kevin","Kevin Streelman",150,23114187,7200,32.170,1:30 pm,0,59.8,2.6,0,62.4,0.67,100,5.51655605851305,
"Reavie, Chez","Chez Reavie",150,23114189,7200,30.846,7:55 am,1,55,1.9,0,56.9,0.18,100,4.85628622206316,
"Merritt, Troy","Troy Merritt",150,23114191,7100,31.756,1:20 pm,0,57.4,2.3,0,59.8,0.5,100,3.93995186317211,
"Grillo, Emiliano","Emiliano Grillo",150,23114195,7100,31.737,8:25 am,1,56.2,2.1,0,58.3,0.37,100,3.76167645031116,
"Straka, Sepp","Sepp Straka",150,23114194,7100,31.663,12:40 pm,0,57.3,2.2,0,59.5,0.47,100,3.5404915971707,
"Griffin, Lanto","Lanto Griffin",150,23114193,7100,31.407,7:45 am,1,56.6,2.2,0,58.8,0.41,100,4.29217950790473,
"Hardy, Nick","Nick Hardy",150,23114196,7100,30.337,1:50 pm,0,53.8,1.8,0,55.6,0.13,100,3.51940487451656,
"Ghim, Doug","Doug Ghim",150,23114192,7100,31.915,7:05 am,1,59.1,2.5,0,61.6,0.66,100,4.12505156618478,
"Smalley, Alex","Alex Smalley",150,23114201,7000,31.445,1:40 pm,0,56.6,2.1,0,58.8,0.47,100,3.08494039139372,
"Cink, Stewart","Stewart Cink",150,23114199,7000,30.001,7:15 am,1,52,1.5,0,53.5,0,100,2.94302241923544,
"Spaun, J.J.","J.J. Spaun",150,23114202,7000,31.727,12:30 pm,0,57.6,2.3,0,59.9,0.57,100,2.63985672194491,
"Frittelli, Dylan","Dylan Frittelli",150,23114200,7000,29.120,12:30 pm,0,50.6,1.4,0,52,-0.05,100,2.06536165445675,
"Fowler, Rickie","Rickie Fowler",150,23114198,7000,30.313,1:10 pm,0,53.1,1.7,0,54.7,0.11,100,4.96896549502967,
"Long, Adam","Adam Long",150,23114197,7000,32.814,1:10 pm,0,61,2.8,0,63.7,0.91,100,6.62429488003677,
"Piercy, Scott","Scott Piercy",150,23114207,6900,28.855,7:05 am,1,49.5,1.3,0,50.8,-0.07,100,0.632614520634396,
"Knox, Russell","Russell Knox",150,23114203,6900,32.087,12:00 pm,0,58.5,2.5,0,61,0.72,100,4.30703756106106,
"Laird, Martin","Martin Laird",150,23114208,6900,30.572,7:55 am,1,54.8,2,0,56.8,0.35,100,1.86493013098841,
"Willett, Danny","Danny Willett",150,23114206,6900,28.283,7:35 am,1,48.7,1.2,0,49.9,-0.11,100,0.853799373774859,
"Hossler, Beau","Beau Hossler",150,23127955,6900,29.642,8:35 am,1,52,1.5,0,53.5,0.06,100,4.32953047290626,
"Stallings, Scott","Scott Stallings",150,23114205,6900,30.134,1:20 pm,0,53.5,1.7,0,55.2,0.21,100,2.89836763139721,
"Svensson, Adam","Adam Svensson",150,23114213,6800,30.382,12:00 pm,0,53.9,1.7,0,55.7,0.31,100,3.51103186844147,
"Jaeger, Stephan","Stephan Jaeger",150,23114212,6800,28.607,6:45 am,1,48.8,1.2,0,50,-0.08,100,1.44271211578582,
