player_name,sample_size,DG_odds,bet365_odds,bet365_ev,whill_odds,whill_ev,fanduel_odds,fanduel_ev,draftkings_odds,draftkings_ev,pinnacle_odds,pinnacle_ev,betcris_odds,betcris_ev,betfair_odds,betfair_ev,betonline_odds,betonline_ev,betmgm_odds,betmgm_ev,betway_odds,betway_ev,bovada_odds,bovada_ev,circa_odds,circa_ev,pointsbet_odds,pointsbet_ev,skybet_odds,skybet_ev,unibet_odds,unibet_ev
"Scheffler, Scottie",150,1132,1100,-0.026,1100,-0.026,1100,-0.026,900,-0.188,1220,0,1000,0,1000,-0.107,1000,-0.107,1000,-0.107,1000,-0.107,1000,-0.107,,0,1000,-0.107,1000,-0.107,1000,-0.107
"McIlroy, Rory",150,1169,900,-0.212,1000,-0.133,1100,-0.054,900,-0.212,1048,0,950,0,1000,-0.133,900,-0.212,900,-0.212,1000,-0.133,1000,-0.133,,0,1000,-0.133,900,-0.212,900,-0.212
"Cantlay, Patrick",150,1472,1600,0.082,1600,0.082,1600,0.082,1400,-0.046,1465,0,1400,0,1400,-0.046,1200,-0.173,1600,0.082,1400,-0.046,1600,0.082,,0,1600,0.082,1400,-0.046,1200,-0.173
"Thomas, Justin",150,1521,1100,-0.26,1200,-0.198,1100,-0.26,1000,-0.322,1452,0,1000,0,1000,-0.322,1100,-0.26,1200,-0.198,1000,-0.322,1200,-0.198,,0,1100,-0.26,1200,-0.198,1100,-0.26
"Im, Sungjae",150,2554,3500,0.356,3500,0.356,3500,0.356,3500,0.356,2624,0,2802,0,2800,0.093,2800,0.093,3300,0.281,2800,0.093,3300,0.281,,0,3000,0.168,3300,0.281,2800,0.093
"Bradley, Keegan",150,2901,3500,0.2,3500,0.2,4100,0.4,2800,-0.034,3143,0,3002,0,3300,0.133,3300,0.133,3500,0.2,3300,0.133,3300,0.133,,0,3300,0.133,3500,0.2,3300,0.133
"Schauffele, Xander",150,3042,1800,-0.395,2000,-0.332,2100,-0.3,2000,-0.332,2309,0,1601,0,1800,-0.395,1600,-0.459,1800,-0.395,1800,-0.395,2000,-0.332,,0,2000,-0.332,1600,-0.459,1400,-0.523
"Burns, Sam",150,3136,1800,-0.413,1800,-0.413,1800,-0.413,1800,-0.413,2309,0,1601,0,1600,-0.475,1800,-0.413,1800,-0.413,1800,-0.413,1800,-0.413,,0,1800,-0.413,1800,-0.413,1800,-0.413
"Niemann, Joaquin",150,4028,3000,-0.249,3000,-0.249,3500,-0.128,3500,-0.128,2973,0,3002,0,2800,-0.297,2200,-0.443,2800,-0.297,2800,-0.297,2800,-0.297,,0,3000,-0.249,2800,-0.297,2500,-0.37
"Wise, Aaron",150,5115,4500,-0.118,4000,-0.214,4800,-0.06,5000,-0.022,4672,0,4500,0,4000,-0.214,3500,-0.31,4000,-0.214,4000,-0.214,4000,-0.214,,0,4000,-0.214,4000,-0.214,5000,-0.022
"Pereira, Mito",150,5129,5500,0.071,5000,-0.025,5500,0.071,3500,-0.311,4544,0,5000,0,5000,-0.025,3500,-0.311,4000,-0.216,5000,-0.025,5000,-0.025,,0,5000,-0.025,4500,-0.12,5000,-0.025
"Power, Seamus",150,5142,5500,0.068,5000,-0.027,4800,-0.065,2800,-0.447,4650,0,4500,0,4000,-0.218,,0,5000,-0.027,4000,-0.218,4000,-0.218,,0,4000,-0.218,5000,-0.027,5000,-0.027
"Harman, Brian",150,5163,5500,0.064,4500,-0.126,5500,0.064,4000,-0.221,5139,0,4500,0,5000,-0.031,5000,-0.031,5000,-0.031,5000,-0.031,5000,-0.031,,0,5000,-0.031,5000,-0.031,4500,-0.126
"Finau, Tony",150,5226,3300,-0.362,2800,-0.456,3200,-0.38,4000,-0.23,3711,0,3502,0,2800,-0.456,2600,-0.493,2800,-0.456,2800,-0.456,3300,-0.362,,0,3000,-0.418,2800,-0.456,3300,-0.362
"Steele, Brendan",150,5518,8000,0.442,6600,0.193,7000,0.264,6500,0.175,5710,0,6000,0,5000,-0.092,6600,0.193,5000,-0.092,6600,0.193,6600,0.193,,0,6000,0.086,6600,0.193,9000,0.62
