tour,year,season,event_name,event_id,site,ownerships_from,player_name,dg_id,salary,ownership,fin_text,streak_pts,bogey_free_pts,hole_in_one_pts,sub_70_pts,hole_score_pts,finish_pts,total_pts
pga,2022,2022,Genesis Scottish Open,541,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Schauffele, Xander",19895,9900,0.1941,1,0,0,0,0,74.0,30,104.0
pga,2022,2022,Genesis Scottish Open,541,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Kitayama, Kurt",21891,6700,0.0051,2,0,0,0,0,78.0,20,98.0
pga,2022,2022,Genesis Scottish Open,541,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Tringale, Cameron",14013,7200,0.0185,T6,3,3,0,0,68.5,12,86.5
pga,2022,2022,Genesis Scottish Open,541,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Kim, Joohyung",24766,6400,0.0153,3,0,3,0,0,61.5,18,82.5
pga,2022,2022,Genesis Scottish Open,541,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Spieth, Jordan",14636,8900,0.1541,T10,3,0,0,0,70.5,7,80.5
pga,2022,2022,Genesis Scottish Open,541,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Hojgaard, Rasmus",23838,6900,0.018,T10,6,0,0,0,65.0,7,78.0
pga,2022,2022,Genesis Scottish Open,541,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Fitzpatrick, Matt",17646,10100,0.1629,T6,0,0,0,0,66.0,12,78.0
pga,2022,2022,Genesis Scottish Open,541,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Fleetwood, Tommy",12294,8400,0.1667,T4,3,0,0,0,58.0,16,77.0
pga,2022,2022,Genesis Scottish Open,541,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Cantlay, Patrick",15466,9600,0.1079,T4,0,0,0,0,61.0,16,77.0
pga,2022,2022,Genesis Scottish Open,541,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Wu, Brandon",25213,6100,0.0048,T6,0,3,0,0,60.0,12,75.0
pga,2022,2022,Genesis Scottish Open,541,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Donaldson, Jamie",7084,6200,0.0019,T6,0,0,0,0,63.0,12,75.0
pga,2022,2022,Genesis Scottish Open,541,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Burmester, Dean",14424,6900,0.0134,T10,0,0,0,0,65.5,7,72.5
pga,2022,2022,Genesis Scottish Open,541,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Detry, Thomas",14181,7100,0.0435,T10,0,0,0,0,64.5,7,71.5
pga,2022,2022,Genesis Scottish Open,541,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Smith, Jordan L",18586,7300,0.1053,T24,0,0,5,0,61.0,4,70.0
pga,2022,2022,Genesis Scottish Open,541,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"McNealy, Maverick",18634,7400,0.0454,T16,0,0,0,0,64.5,5,69.5
pga,2022,2022,Genesis Scottish Open,541,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Smalley, Alex",18474,6600,0.0143,T10,0,0,0,0,61.5,7,68.5
pga,2022,2022,Genesis Scottish Open,541,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Scrivener, Jason",12734,6400,0.0023,T16,3,0,0,0,59.5,5,67.5
pga,2022,2022,Genesis Scottish Open,541,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Woodland, Gary",12577,7300,0.0588,T30,3,3,0,0,58.5,3,67.5
