date,event_name,player_name,make_cut,first_round_lead,top_30,top_20,top_10,top_5,top_3,win,observed_finish
"Jul 17, 2022","The Open Championship","McIlroy, Rory",0.835925,0.036125,0.619175,0.5083,0.34375,0.2196,0.15295,0.0662,3
"Jul 17, 2022","The Open Championship","Lowry, Shane",0.81615,0.029225,0.57465,0.456275,0.288925,0.1756,0.11855,0.047175,T21
"Jul 17, 2022","The Open Championship","Scheffler, Scottie",0.813675,0.02105,0.56885,0.451975,0.28795,0.1744,0.11655,0.046475,T21
"Jul 17, 2022","The Open Championship","Rahm, Jon",0.800375,0.02005,0.5421,0.423875,0.26425,0.156975,0.1062,0.04175,T34
"Jul 17, 2022","The Open Championship","Thomas, Justin",0.797875,0.026,0.534575,0.41495,0.2559,0.1526,0.1008,0.039525,T53
"Jul 17, 2022","The Open Championship","Cantlay, Patrick",0.7758,0.017625,0.50335,0.38915,0.233775,0.1358,0.08905,0.0339,T8
"Jul 17, 2022","The Open Championship","Fitzpatrick, Matthew",0.795175,0.0165,0.524875,0.403775,0.244875,0.141125,0.0908,0.032225,T21
"Jul 17, 2022","The Open Championship","Schauffele, Xander",0.7868,0.021125,0.514175,0.3935,0.23805,0.136375,0.08615,0.031475,T15
"Jul 17, 2022","The Open Championship","Zalatoris, Will",0.769075,0.019875,0.480675,0.360375,0.209925,0.1179,0.07525,0.02705,T28
"Jul 17, 2022","The Open Championship","Smith, Cameron",0.745675,0.020125,0.45165,0.338575,0.1954,0.107875,0.068625,0.024925,1
"Jul 17, 2022","The Open Championship","Johnson, Dustin",0.739675,0.014175,0.437275,0.325575,0.186925,0.103,0.065225,0.02385,T6
"Jul 17, 2022","The Open Championship","Fleetwood, Tommy",0.754025,0.01765,0.450275,0.33295,0.1863,0.102075,0.06405,0.022325,T4
"Jul 17, 2022","The Open Championship","Spieth, Jordan",0.72265,0.0143,0.417125,0.3046,0.167425,0.0906,0.055925,0.019475,T8
"Jul 17, 2022","The Open Championship","Fox, Ryan",0.723325,0.012475,0.407725,0.297525,0.164825,0.0882,0.053925,0.0191,CUT
"Jul 17, 2022","The Open Championship","Hatton, Tyrrell",0.7145,0.01245,0.3988,0.287175,0.1583,0.084375,0.05185,0.018275,T11
"Jul 17, 2022","The Open Championship","Matsuyama, Hideki",0.7174,0.016175,0.399575,0.286675,0.1584,0.082175,0.049825,0.01715,T68
"Jul 17, 2022","The Open Championship","Niemann, Joaquin",0.722925,0.011375,0.401,0.28735,0.15475,0.0803,0.049225,0.0169,T53
"Jul 17, 2022","The Open Championship","Finau, Tony",0.736675,0.0173,0.41965,0.303275,0.166225,0.085775,0.0519,0.016825,T28
"Jul 17, 2022","The Open Championship","Im, Sungjae",0.719375,0.012675,0.399875,0.28745,0.156375,0.081125,0.048225,0.016,T81
"Jul 17, 2022","The Open Championship","Morikawa, Collin",0.70655,0.015775,0.386725,0.2748,0.14915,0.0762,0.0461,0.01575,CUT
"Jul 17, 2022","The Open Championship","Power, Seamus",0.70615,0.014175,0.37935,0.26935,0.141775,0.0701,0.04235,0.01465,CUT
"Jul 17, 2022","The Open Championship","Oosthuizen, Louis",0.68655,0.010475,0.361425,0.25335,0.136575,0.071375,0.043925,0.014325,CUT
"Jul 17, 2022","The Open Championship","Burns, Sam",0.675625,0.010425,0.3437,0.240125,0.125575,0.064825,0.0395,0.012525,T42
"Jul 17, 2022","The Open Championship","Hovland, Viktor",0.6942,0.014675,0.360675,0.251075,0.13015,0.0648,0.03895,0.012475,T4
"Jul 17, 2022","The Open Championship","Homa, Max",0.681525,0.009525,0.347975,0.24295,0.125325,0.063075,0.036525,0.01225,CUT
"Jul 17, 2022","The Open Championship","Koepka, Brooks",0.667875,0.0123,0.328825,0.2254,0.11505,0.0561,0.033425,0.01015,CUT
"Jul 17, 2022","The Open Championship","Wise, Aaron",0.652475,0.008225,0.309975,0.2107,0.10625,0.0514,0.0307,0.00995,T34
"Jul 17, 2022","The Open Championship","Pieters, Thomas",0.66465,0.0097,0.320525,0.21815,0.107725,0.0525,0.029875,0.009475,T28
"Jul 17, 2022","The Open Championship","Young, Cameron",0.653625,0.0111,0.30935,0.2087,0.104575,0.0511,0.02995,0.009325,2
"Jul 17, 2022","The Open Championship","Conners, Corey",0.674875,0.011325,0.3252,0.218825,0.112,0.0531,0.0306,0.009000000000000001,T28
"Jul 17, 2022","The Open Championship","Smith, Jordan",0.664,0.007225,0.32299999999999995,0.2183,0.1079,0.051975,0.0291,0.00825,T47
"Jul 17, 2022","The Open Championship","Mitchell, Keith",0.64915,0.0072,0.2979,0.198525,0.096325,0.044825,0.026475,0.008125,CUT
"Jul 17, 2022","The Open Championship","Burmester, Dean",0.64505,0.011125,0.291875,0.192675,0.09335,0.0447,0.02515,0.00805,T11
"Jul 17, 2022","The Open Championship","Gooch, Talor",0.647825,0.009075,0.3016,0.202925,0.1011,0.048775,0.0282,0.008,T34
"Jul 17, 2022","The Open Championship","Bradley, Keegan",0.64405,0.00775,0.2944,0.1965,0.09745,0.045125,0.026175,0.007975,CUT
"Jul 17, 2022","The Open Championship","Scott, Adam",0.6338,0.00785,0.2884,0.193875,0.095375,0.046625,0.02685,0.007925,T15
