tour,year,season,event_name,event_id,site,ownerships_from,player_name,dg_id,salary,ownership,fin_text,streak_pts,bogey_free_pts,hole_in_one_pts,sub_70_pts,hole_score_pts,finish_pts,total_pts
pga,2022,2022,3M Open,525,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Finau, Tony",11676,10500,0.2307,1,6,6,0,5,83.0,30,130.0
pga,2022,2022,3M Open,525,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Piercy, Scott",7899,6900,0.0044,T4,6,3,0,0,88.0,16,113.0
pga,2022,2022,3M Open,525,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Grillo, Emiliano",12808,7600,0.0938,T2,0,3,0,0,89.5,20,112.5
pga,2022,2022,3M Open,525,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Im, Sungjae",17488,10000,0.2041,T2,0,3,0,0,83.5,20,106.5
pga,2022,2022,3M Open,525,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Hahn, James",11374,7000,0.0113,T4,3,3,0,0,81.5,16,103.5
pga,2022,2022,3M Open,525,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Hoge, Tom",15575,7100,0.0906,T4,3,0,0,0,77.5,16,96.5
pga,2022,2022,3M Open,525,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Champ, Cameron",23542,7800,0.0553,T16,9,0,0,0,78.5,5,92.5
pga,2022,2022,3M Open,525,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Willett, Danny",12920,7100,0.0095,T7,3,3,0,0,72.5,10,88.5
pga,2022,2022,3M Open,525,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Davis, Cam",17786,8900,0.3031,T16,3,0,0,0,80.5,5,88.5
pga,2022,2022,3M Open,525,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Sigg, Greyson",23482,7200,0.0258,T7,3,3,0,0,70.0,10,86.0
pga,2022,2022,3M Open,525,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Percy, Cameron",5874,6500,0.0033,T26,3,0,0,0,80.0,3,86.0
