"","Name","ID","Salary","AvgPointsPerGame","fpts","proj_own","ceil","floor","scoring_points","finish_points","total_points","value","projected_ownership","sg_putt_pred","sg_putt_rank","sg_arg_pred","sg_arg_rank","sg_app_pred","sg_app_rank","sg_ott_pred","sg_ott_rank","sg_total_pred","sg_total_rank","distance_pred","distance_rank","accuracy_pred","accuracy_rank","baseline","age","age_adj","true_sg_adj","timing_adj","sg_category_adj","course_history_adj","driving_dist_adj","driving_acc_adj","fit_other_adj","course_fit_total_adj","final_prediction","make_cut","top_20","top_10","top_5","win","odds_per_dollar","residuals","proj_own_avg","course_fit","own_change","adj_own","one","date","tournament"
"1","Tony Finau",23394628,10500,67.88,76.89,29.2,94.5,60.5,80.3,6.4,86.6,0.65,15.31,0.156,84,0.172,51,0.568,19,0.422,32,1.318,16,8.493,67,-0.025,276,1.435,32,-0.001,-0.024,-0.048,-0.043,0.053,-0.054,-0.05,-0.041,-0.145,1.228,0.7845,0.4566,0.2924,0.1786,0.0473,4.5,-0.67,20.87,1.52,6.51,30,1,2022-07-24,"3M Open"
"2","Hideki Matsuyama",23394629,10300,77.32,72.18,24.6,89.85,54,80.4,6.4,86.8,0.71,15.05,0.025,176,0.211,34,0.759,8,0.279,65,1.274,17,3.589,144,0.01,159,1.35,30,0.008,-0.042,-0.022,-0.018,-0.016,-0.023,0.019,-0.042,-0.046,1.214,0.7925,0.4717,0.3115,0.1946,0.0539,5.23,0.41,18.87,2.12,9.75,30,1,2022-07-24,"3M Open"
"3","Sungjae Im",23394630,10000,71.85,75.02,17.7,93,57.65,83.6,7.3,90.9,1,17.24,0.076,140,0.235,21,0.451,33,0.623,13,1.386,12,3.494,146,0.054,53,1.101,24,0.028,0.072,-0.032,0.218,-0.013,-0.022,0.104,-0.035,0.047,1.421,0.8158,0.5192,0.3534,0.2262,0.0703,7.03,2.69,17.42,2.47,12.46,30,1,2022-07-24,"3M Open"
"4","Sahith Theegala",23394631,9800,68.46,62.69,22.2,82,26,70.6,4,74.6,0.19,15.6,0.084,135,0.172,50,0.232,70,0.255,79,0.743,55,4.348,133,-0.037,311,0.624,24,0.026,0.078,-0.059,0.075,-0.04,-0.028,-0.072,-0.024,-0.124,0.581,0.6979,0.3115,0.1745,0.0948,0.0201,2.05,-1.99,18.24,0.86,2.88,20,1,2022-07-24,"3M Open"
"5","Adam Hadwin",23394632,9600,65.12,65.29,15.6,84,27.5,73.6,4.8,78.3,0.44,15.13,0.216,60,0.298,5,0.188,82,0.001,176,0.703,58,-1.772,249,0.042,79,0.762,34,-0.007,0.027,-0.006,-0.072,0.049,0.012,0.08,-0.039,0.053,0.807,0.7396,0.3704,0.2188,0.1221,0.0292,3.04,-0.73,15.32,2.2,9.54,25,1,2022-07-24,"3M Open"
"6","Maverick McNealy",23394633,9300,73.21,64.71,23.4,83,28,74.4,5,79.4,0.58,15.17,0.362,19,0.085,106,0.162,88,0.277,70,0.886,37,7.641,79,0.008,165,0.868,26,0.02,0.044,-0.004,-0.041,-0.015,-0.049,0.014,-0.033,-0.068,0.804,0.7368,0.3597,0.2114,0.1188,0.0266,2.86,-0.52,18.46,1.23,5.27,25,1,2022-07-24,"3M Open"
"7","Davis Riley",23394634,9000,65.56,64.45,29.8,83.5,27,73.5,4.6,78.1,0.59,21.74,0.067,146,-0.012,188,0.373,40,0.383,40,0.811,48,7.484,84,0.021,130,0.709,25,0.023,0.016,-0.019,0.084,-0.04,-0.048,0.039,-0.017,-0.025,0.748,0.7101,0.339,0.1976,0.1096,0.0253,2.81,-0.22,24.96,1.1,4.84,30,1,2022-07-24,"3M Open"
"8","Cameron Davis",23394635,8900,62.24,61.35,26.6,81,26.5,72.2,4.4,76.6,0.53,16.27,0.14,96,-0.022,197,0.355,44,0.302,61,0.775,53,12.383,36,-0.042,329,0.633,27,0.017,0.061,0.015,0.05,0.056,-0.079,-0.082,-0.019,-0.181,0.652,0.6933,0.3145,0.177,0.0977,0.0214,2.4,-0.52,20.4,0.41,1.58,25,1,2022-07-24,"3M Open"
"9","Cameron Tringale",23394636,8800,64.44,66.37,18.4,84,29,74.7,5,79.7,0.72,13.97,0.297,33,0.101,95,0.299,53,0.107,133,0.803,49,1.371,185,0.012,153,0.826,34,-0.007,0.037,-0.008,-0.043,0.088,-0.008,0.023,-0.036,-0.022,0.871,0.7319,0.3676,0.2203,0.1256,0.0292,3.32,0.5,15.74,1.27,5.96,20,1,2022-07-24,"3M Open"
"10","Chez Reavie",23394637,8700,54.28,54.56,6.5,75.5,24,70.1,3.9,74.1,0.45,8.98,-0.148,310,0.021,161,0.23,71,0.035,161,0.138,124,-15.891,406,0.133,2,0.398,40,-0.026,-0.154,-0.001,-0.077,-0.01,0.102,0.257,-0.002,0.357,0.486,0.6689,0.2786,0.1529,0.0801,0.018,2.07,-0.64,7.99,1.74,7.51,15,1,2022-07-24,"3M Open"
"11","Adam Long",23394638,8600,58.88,57.84,22.2,78,25.5,72.8,4.5,77.3,0.65,11.79,0.296,34,0.024,157,0.019,153,0.133,125,0.471,82,-7.443,341,0.069,30,0.625,34,-0.007,-0.024,-0.019,-0.102,0.059,0.048,0.132,-0.022,0.159,0.691,0.6979,0.3257,0.1873,0.1034,0.0231,2.69,0.08,15.95,1.14,5.17,20,1,2022-07-24,"3M Open"
"12","J.T. Poston",23394639,8500,51.92,58.92,12.7,79,25.5,71.2,4.1,75.3,0.57,9.87,0.28,41,0.108,90,0.087,120,0.086,147,0.561,71,-1.461,242,0.018,137,0.653,29,0.012,0.005,0.027,-0.133,-0.015,0.01,0.033,-0.028,0.015,0.562,0.6795,0.2933,0.1634,0.0882,0.0186,2.19,-0.33,11,1.06,4.61,15,1,2022-07-24,"3M Open"
"13","Brendan Steele",23394641,8300,56.92,60.96,23.9,79.5,26,74.3,4.9,79.3,0.83,16.84,-0.297,383,-0.092,273,0.483,30,0.703,7,0.797,51,6.725,95,0.036,89,0.641,39,-0.022,-0.025,0.036,0.168,-0.021,-0.043,0.069,0.007,0.034,0.811,0.7354,0.369,0.2222,0.1272,0.0322,3.88,1.55,19.66,0.92,4.92,25,1,2022-07-24,"3M Open"
"14","Martin Laird",23394642,8200,59.36,57.29,11.3,78,25,70,4,74,0.58,9.62,-0.275,376,0.054,131,0.375,39,0.228,84,0.382,87,-0.588,225,0.094,9,0.456,39,-0.022,-0.123,0.03,0.043,-0.017,0.004,0.181,0,0.186,0.552,0.6923,0.3003,0.1664,0.0887,0.0196,2.39,0.15,10.29,1.92,8.71,20,1,2022-07-24,"3M Open"
"15","Nick Hardy",23394644,8000,60.08,57.62,16.7,77.5,25.5,69,3.8,72.8,0.57,13.29,0.132,104,-0.04,216,0.079,122,0.438,30,0.609,65,9.645,51,-0.013,235,0.417,26,0.02,0.037,0.06,0.074,-0.04,-0.062,-0.026,-0.008,-0.096,0.474,0.6667,0.274,0.1479,0.0771,0.0152,1.9,-0.15,14.65,0.34,1.46,15,1,2022-07-24,"3M Open"
"16","Ryan Palmer",23394645,7900,51.78,54.31,5.4,75.5,24.5,63.2,2.6,65.8,0.23,6.59,-0.06,240,-0.027,201,-0.011,170,0.192,96,0.093,133,5.341,114,-0.01,225,0.16,45,-0.043,-0.029,0.008,-0.001,-0.04,-0.034,-0.02,0.007,-0.047,0.008,0.5968,0.1953,0.0988,0.0478,0.009,1.14,-0.81,6.11,0.12,0.13,5,1,2022-07-24,"3M Open"
