"","Name","ID","Salary","AvgPointsPerGame","fpts","proj_own","ceil","floor","scoring_points","finish_points","total_points","value","projected_ownership","sg_putt_pred","sg_putt_rank","sg_arg_pred","sg_arg_rank","sg_app_pred","sg_app_rank","sg_ott_pred","sg_ott_rank","sg_total_pred","sg_total_rank","distance_pred","distance_rank","accuracy_pred","accuracy_rank","baseline","age","age_adj","true_sg_adj","timing_adj","sg_category_adj","course_history_adj","driving_dist_adj","driving_acc_adj","fit_other_adj","course_fit_total_adj","final_prediction","make_cut","top_20","top_10","top_5","win","odds_per_dollar","residuals","proj_own_avg","course_fit","own_change","adj_own","one","date","tournament"
"1","Patrick Cantlay",23444508,10700,82.36,95.45,31.8,117.5,74.5,84.8,7.7,92.5,1,18.79,0.492,4,0.295,5,0.565,22,0.504,22,1.856,6,7.204,86,0,185,1.999,30,0.008,0.036,-0.027,-0.16,-0.04,-0.029,0,-0.069,-0.099,1.717,0.8141,0.537,0.3788,0.2513,0.0802,7.5,1.58,23.99,2.82,13.48,40,1,2022-07-31,"Rocket Mortgage Classic"
"2","Tony Finau",23444509,10600,70.83,88.36,20.7,110,40,78.9,6,84.9,0.52,15.06,0.163,88,0.209,36,0.675,9,0.497,23,1.543,13,8.448,64,-0.014,237,1.668,32,-0.001,-0.013,-0.069,-0.044,-0.042,-0.035,-0.007,-0.065,-0.106,1.395,0.7763,0.4525,0.2915,0.1786,0.0491,4.63,-0.99,17.32,1.71,7.2,25,1,2022-07-31,"Rocket Mortgage Classic"
"3","Will Zalatoris",23444510,10400,69.14,86.45,16.5,109.5,37,81.2,6.6,87.8,0.79,16.41,0.087,135,0.114,89,0.792,5,0.7,9,1.693,8,13.101,28,-0.025,274,1.609,25,0.022,0,0.014,0.047,-0.062,-0.054,-0.011,-0.069,-0.134,1.496,0.789,0.4785,0.3205,0.2008,0.06,5.77,0.72,16.45,1.42,6.75,25,1,2022-07-31,"Rocket Mortgage Classic"
"4","Cameron Young",23444511,10100,68.02,83.92,27.6,106.5,36.5,77.2,5.5,82.7,0.55,20.44,0.124,116,0.089,106,0.3,56,0.844,3,1.357,15,18.395,10,-0.001,189,1.074,25,0.025,0.062,0.035,0.161,-0.04,-0.075,-0.001,-0.028,-0.104,1.213,0.7436,0.4016,0.2525,0.1524,0.0405,4.01,-0.29,23.3,1.72,7.6,30,1,2022-07-31,"Rocket Mortgage Classic"
"5","Max Homa",23444512,9900,70.94,83.93,22.1,107.5,36,75.7,5.1,80.8,0.5,17.53,0.141,97,0.047,139,0.507,28,0.534,18,1.229,20,7.544,82,0.016,140,1.262,31,0.003,0.027,0.028,-0.092,0.001,-0.031,0.007,-0.046,-0.07,1.159,0.7347,0.3861,0.2392,0.1387,0.034,3.43,-0.44,19.36,1.41,6.12,25,1,2022-07-31,"Rocket Mortgage Classic"
"6","Cameron Davis",23444513,9700,63.43,74.61,18.2,101,33,70.5,3.9,74.3,0.13,14.43,0.13,109,-0.007,186,0.405,38,0.327,58,0.855,46,12.867,29,-0.036,313,0.714,27,0.017,0.063,0.011,0.05,0.031,-0.053,-0.017,-0.035,-0.105,0.781,0.67,0.2857,0.1605,0.0846,0.0179,1.85,-1.63,15.94,0.78,2.7,20,1,2022-07-31,"Rocket Mortgage Classic"
"7","Adam Scott",23444514,9300,70,74.5,9.4,100.5,33,66.8,3.3,70.1,-0.01,11.67,0.258,46,0.006,176,0.355,44,0.067,164,0.685,61,8.167,69,-0.027,285,0.939,42,-0.031,-0.036,-0.002,-0.185,-0.04,-0.033,-0.013,-0.037,-0.082,0.562,0.6269,0.2364,0.1263,0.0642,0.0131,1.41,-1.44,10.76,0.97,3.64,15,1,2022-07-31,"Rocket Mortgage Classic"
"8","Keegan Bradley",23444515,9200,64.1,82.87,10.3,106.5,36.5,73.1,4.6,77.7,0.53,10.47,-0.029,212,0.086,110,0.61,15,0.381,40,1.048,28,7.648,79,0.035,92,1.069,36,-0.011,-0.014,0.017,-0.014,0.003,-0.031,0.015,-0.05,-0.066,0.984,0.6979,0.3356,0.1992,0.1116,0.0267,2.9,0.18,10.4,1.42,6.48,15,1,2022-07-31,"Rocket Mortgage Classic"
"9","Kevin Kisner",23444516,9100,57.11,64.86,11.4,93,30.5,66,3.1,69.1,-0.01,13.62,0.335,27,0.213,34,0.013,163,-0.199,255,0.364,92,-8.286,357,0.043,75,0.609,38,-0.019,-0.04,0.044,-0.232,0.084,0.034,0.019,-0.019,0.034,0.481,0.6124,0.2203,0.1147,0.0583,0.0113,1.24,-1.36,12.73,1.59,6.47,20,1,2022-07-31,"Rocket Mortgage Classic"
"10","Denny McCarthy",23444517,8900,65.38,67.99,12.2,94,31.5,68.8,3.7,72.5,0.29,12.44,0.617,2,0.227,25,0.029,157,-0.152,240,0.721,57,-4.757,304,0.05,57,1.055,29,0.011,-0.03,-0.053,-0.263,-0.005,0.02,0.022,-0.029,0.013,0.728,0.6633,0.2725,0.1511,0.0819,0.0173,1.94,-0.45,12.34,2.61,11.52,25,1,2022-07-31,"Rocket Mortgage Classic"
