tour,year,season,event_name,event_id,site,ownerships_from,player_name,dg_id,salary,ownership,fin_text,streak_pts,bogey_free_pts,hole_in_one_pts,sub_70_pts,hole_score_pts,finish_pts,total_pts
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Kim, Joohyung",24766,8600,0.2031,1,9,0,0,5,101.5,30,145.5
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Im, Sungjae",17488,10500,0.2312,T2,6,0,0,5,96.0,20,127.0
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Huh, John",14606,6800,0.0196,T2,6,3,0,0,97.0,20,126.0
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Moore, Taylor",21944,7300,0.0454,T5,6,0,0,5,89.5,14,114.5
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Griffin, Ben",24968,6500,0.0093,4,0,0,0,5,84.0,16,105.0
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Henley, Russell",14578,9800,0.2112,T5,0,6,0,5,76.0,14,101.0
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"McGreevy, Max",23505,6000,0.0025,T5,3,0,0,5,79.0,14,101.0
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Riley, Davis",19872,8000,0.0984,T13,3,0,0,5,86.5,6,100.5
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Lahiri, Anirban",12669,6900,0.0178,T8,3,0,0,5,78.5,9,95.5
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Redman, Doc",24481,6600,0.009,T21,6,3,0,0,81.5,4,94.5
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Hadley, Chesson",14967,6900,0.0427,T8,6,0,0,0,79.0,9,94.0
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Aphibarnrat, Kiradech",12321,6200,0.0022,T13,3,6,0,0,77.5,6,92.5
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Malnati, Peter",14926,6800,0.0122,T27,6,0,0,0,82.5,3,91.5
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Wu, Brandon",25213,6900,0.0201,T8,3,3,0,0,76.5,9,91.5
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Zalatoris, Will",19428,10900,0.1847,T21,0,0,0,0,87.0,4,91.0
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Jaeger, Stephan",16394,7100,0.0454,T13,3,0,0,0,81.5,6,90.5
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Smalley, Alex",18474,7500,0.0761,T13,3,0,0,0,80.5,6,89.5
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Tway, Kevin",13127,6400,0.001,T27,6,0,0,5,75.0,3,89.0
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Percy, Cameron",5874,6600,0.003,T8,6,0,0,0,74.0,9,89.0
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Lipsky, David",15980,7000,0.0271,T27,3,0,0,5,77.5,3,88.5
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Werenski, Richy",19364,6300,0.0073,T13,0,0,0,0,82.0,6,88.0
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Pendrith, Taylor",17780,8500,0.1343,T13,3,6,0,0,70.5,6,85.5
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Hatton, Tyrrell",14796,9400,0.0968,T8,0,3,0,0,73.5,9,85.5
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Rodgers, Patrick",16283,7200,0.0297,T36,3,3,0,0,75.0,2,83.0
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Knox, Russell",13831,7200,0.0237,T21,0,0,0,0,78.5,4,82.5
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Reavie, Chez",7961,7400,0.0451,T47,6,0,0,0,75.5,1,82.5
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Piercy, Scott",7899,6800,0.0092,T27,0,0,0,0,79.5,3,82.5
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Stallings, Scott",12359,7800,0.1375,T13,0,0,0,0,76.0,6,82.0
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Wise, Aaron",22051,8100,0.1723,T13,0,0,0,0,75.5,6,81.5
pga,2022,2022,Wyndham Championship,13,draftkings,PGA TOUR $1M Pitch + Putt [$250K to 1st],"Tarren, Callum",20519,7300,0.0984,T27,3,0,0,0,75.5,3,81.5
