bet_outcome_numeric,bet_outcome_text,close_odds,close_time,dg_id,open_odds,open_time,outcome,player_name,book,event_completed,event_name,market,season,year,event_id
0,loss,+1512,2022-08-04 00:01,17488,+1605,2022-08-01 18:21,T2,"Im, Sungjae",pinnacle,2022-08-07,Wyndham Championship,win,2022,2022,13
0,loss,+1635,2022-08-04 00:01,13900,+1605,2022-08-01 18:21,T83,"Lowry, Shane",pinnacle,2022-08-07,Wyndham Championship,win,2022,2022,13
0,loss,+1665,2022-08-04 00:01,19428,+1705,2022-08-01 18:21,T21,"Zalatoris, Will",pinnacle,2022-08-07,Wyndham Championship,win,2022,2022,13
0,loss,+1965,2022-08-04 00:01,11276,+2006,2022-08-01 18:21,T27,"Horschel, Billy",pinnacle,2022-08-07,Wyndham Championship,win,2022,2022,13
0,loss,+2150,2022-08-04 00:01,11049,+2006,2022-08-01 18:21,WD,"Simpson, Webb",pinnacle,2022-08-07,Wyndham Championship,win,2022,2022,13
0,loss,+2150,2022-08-04 00:01,14578,+2406,2022-08-01 18:21,T5,"Henley, Russell",pinnacle,2022-08-07,Wyndham Championship,win,2022,2022,13
0,loss,+2312,2022-08-04 00:01,14609,+2406,2022-08-01 18:21,WD,"Kim, Si Woo",pinnacle,2022-08-07,Wyndham Championship,win,2022,2022,13
0,loss,+2377,2022-08-04 00:01,17576,+2406,2022-08-01 18:21,T21,"Conners, Corey",pinnacle,2022-08-07,Wyndham Championship,win,2022,2022,13
0,loss,+2745,2022-08-04 00:01,6430,+2807,2022-08-01 18:21,T76,"Scott, Adam",pinnacle,2022-08-07,Wyndham Championship,win,2022,2022,13
0,loss,+2903,2022-08-04 00:01,14796,+2807,2022-08-01 18:21,T8,"Hatton, Tyrrell",pinnacle,2022-08-07,Wyndham Championship,win,2022,2022,13
1,paid in full,+3105,2022-08-04 00:01,24766,+3009,2022-08-01 18:21,1,"Kim, Joohyung",pinnacle,2022-08-07,Wyndham Championship,win,2022,2022,13
0,loss,+3234,2022-08-04 00:01,8825,+3419,2022-08-01 18:21,T71,"Harman, Brian",pinnacle,2022-08-07,Wyndham Championship,win,2022,2022,13
0,loss,+3485,2022-08-04 00:01,11328,+3419,2022-08-01 18:21,WD,"Kisner, Kevin",pinnacle,2022-08-07,Wyndham Championship,win,2022,2022,13
0,loss,+3539,2022-08-04 00:01,17780,+3419,2022-08-01 18:21,T13,"Pendrith, Taylor",pinnacle,2022-08-07,Wyndham Championship,win,2022,2022,13
0,loss,+3539,2022-08-04 00:01,16602,+3419,2022-08-01 18:21,CUT,"Varner III, Harold",pinnacle,2022-08-07,Wyndham Championship,win,2022,2022,13
0,loss,+3547,2022-08-04 00:01,22051,+4021,2022-08-01 18:21,T13,"Wise, Aaron",pinnacle,2022-08-07,Wyndham Championship,win,2022,2022,13
0,loss,+3671,2022-08-04 00:01,19870,+3806,2022-08-01 18:21,CUT,"McCarthy, Denny",pinnacle,2022-08-07,Wyndham Championship,win,2022,2022,13
0,loss,+4147,2022-08-04 00:01,21554,+4021,2022-08-01 18:21,T21,"Poston, J.T.",pinnacle,2022-08-07,Wyndham Championship,win,2022,2022,13
0,loss,+4150,2022-08-04 00:01,18103,+4021,2022-08-01 18:21,T47,"Bezuidenhout, Christiaan",pinnacle,2022-08-07,Wyndham Championship,win,2022,2022,13
0,loss,+4799,2022-08-04 00:01,19872,+4817,2022-08-01 18:21,T13,"Riley, Davis",pinnacle,2022-08-07,Wyndham Championship,win,2022,2022,13
0,loss,+4981,2022-08-04 00:01,6093,+4021,2022-08-01 18:21,T54,"Rose, Justin",pinnacle,2022-08-07,Wyndham Championship,win,2022,2022,13
0,loss,+5011,2022-08-04 00:01,12359,+4986,2022-08-01 18:21,T13,"Stallings, Scott",pinnacle,2022-08-07,Wyndham Championship,win,2022,2022,13
0,loss,+5188,2022-08-04 00:01,17365,+5027,2022-08-01 18:21,T54,"Mitchell, Keith",pinnacle,2022-08-07,Wyndham Championship,win,2022,2022,13
0,loss,+5675,2022-08-04 00:01,20770,+6033,2022-08-01 18:21,CUT,"Munoz, Sebastian",pinnacle,2022-08-07,Wyndham Championship,win,2022,2022,13
0,loss,+6254,2022-08-04 00:01,15473,+6033,2022-08-01 18:21,WD,"Long, Adam",pinnacle,2022-08-07,Wyndham Championship,win,2022,2022,13
0,loss,+6481,2022-08-04 00:01,16333,+7037,2022-08-01 18:21,T61,"Hubbard, Mark",pinnacle,2022-08-07,Wyndham Championship,win,2022,2022,13
0,loss,+6544,2022-08-04 00:01,8480,+6636,2022-08-01 18:21,CUT,"Streelman, Kevin",pinnacle,2022-08-07,Wyndham Championship,win,2022,2022,13
0,loss,+6553,2022-08-04 00:01,13997,+6629,2022-08-01 18:21,T78,"Svensson, Adam",pinnacle,2022-08-07,Wyndham Championship,win,2022,2022,13
0,loss,+6819,2022-08-04 00:01,9771,+6636,2022-08-01 18:21,WD,"Day, Jason",pinnacle,2022-08-07,Wyndham Championship,win,2022,2022,13
0,loss,+6838,2022-08-04 00:01,23542,+6577,2022-08-01 18:21,CUT,"Champ, Cameron",pinnacle,2022-08-07,Wyndham Championship,win,2022,2022,13
0,loss,+7278,2022-08-04 00:01,27774,+7037,2022-08-01 18:21,T54,"Gotterup, Chris",pinnacle,2022-08-07,Wyndham Championship,win,2022,2022,13
0,loss,+7335,2022-08-04 00:01,7961,+7037,2022-08-01 18:21,T47,"Reavie, Chez",pinnacle,2022-08-07,Wyndham Championship,win,2022,2022,13
0,loss,+7672,2022-08-04 00:01,18474,+8044,2022-08-01 18:21,T13,"Smalley, Alex",pinnacle,2022-08-07,Wyndham Championship,win,2022,2022,13
0,loss,+8197,2022-08-04 00:01,9586,+10054,2022-08-01 18:21,T47,"Laird, Martin",pinnacle,2022-08-07,Wyndham Championship,win,2022,2022,13
0,loss,+8277,2022-08-04 00:01,12425,+8044,2022-08-01 18:21,T36,"Todd, Brendon",pinnacle,2022-08-07,Wyndham Championship,win,2022,2022,13
0,loss,+8277,2022-08-04 00:01,18554,+8044,2022-08-01 18:21,T71,"Rai, Aaron",pinnacle,2022-08-07,Wyndham Championship,win,2022,2022,13
0,loss,+8681,2022-08-04 00:01,13497,+10054,2022-08-01 18:21,T61,"Lee, Kyounghoon",pinnacle,2022-08-07,Wyndham Championship,win,2022,2022,13
0,loss,+9293,2022-08-04 00:01,21944,+12565,2022-08-01 18:21,T5,"Moore, Taylor",pinnacle,2022-08-07,Wyndham Championship,win,2022,2022,13
0,loss,+9777,2022-08-04 00:01,14577,+14473,2022-08-01 18:21,CUT,"English, Harris",pinnacle,2022-08-07,Wyndham Championship,win,2022,2022,13
