datagolf_name,dk_name,sample_size,dk_id,dk_salary,std_dev,tee_time,early_late_wave,scoring_points,finish_points,manual_bump,total_points,value,max_exposure,projected_ownership,lineup_rule
"McIlroy, Rory","Rory McIlroy",150,23590076,11000,33.423,1:06 pm,0,77.9,7.8,0,85.7,0.74,100,17.9945704819346,
"Scheffler, Scottie","Scottie Scheffler",150,23590077,10800,33.277,8:21 am,1,76.6,7.5,0,84.1,0.7,100,16.3058135590549,
"Schauffele, Xander","Xander Schauffele",150,23590078,10600,32.084,1:06 pm,0,70.9,5.8,0,76.7,0,100,14.0348581473657,
"Smith, Cameron","Cameron Smith",150,23590079,10500,32.641,8:21 am,1,69.2,5.2,0,74.4,-0.11,100,14.1146654024414,
"Cantlay, Patrick","Patrick Cantlay",150,23590080,10300,32.994,1:06 pm,0,72,6.2,0,78.2,0.36,100,14.0729300821088,
"Thomas, Justin","Justin Thomas",150,23590081,10200,32.519,8:10 am,1,69.7,5.4,0,75.2,0.08,100,16.3378636356797,
"Rahm, Jon","Jon Rahm",150,23590082,10000,32.547,12:44 pm,0,69.3,5.3,0,74.7,0.16,100,12.9302840053157,
"Fitzpatrick, Matthew","Matt Fitzpatrick",150,23590083,9800,32.349,7:59 am,1,71.9,6.3,0,78.2,0.7,100,15.583189767177,
"Finau, Tony","Tony Finau",150,23590084,9700,31.988,8:10 am,1,69.2,5.2,0,74.4,0.34,100,13.895503296333,
"Zalatoris, Will","Will Zalatoris",150,23590085,9500,32.053,12:55 pm,0,66.5,4.7,0,71.1,0.1,100,16.9070733805978,
"Young, Cameron","Cameron Young",150,23590086,9300,31.710,8:10 am,1,64.7,4.1,0,68.7,-0.02,100,11.4840470795842,
"Spieth, Jordan","Jordan Spieth",150,23590087,9100,32.058,7:59 am,1,63.8,3.9,0,67.7,-0.01,100,11.7777612607269,
"Hovland, Viktor","Viktor Hovland",150,23590088,9000,31.382,7:48 am,1,61.9,3.5,0,65.4,-0.12,100,13.0521504772567,
"Morikawa, Collin","Collin Morikawa",150,23590091,8700,32.014,12:33 pm,0,64.1,4,0,68,0.28,100,14.8311646840813,
"Burns, Sam","Sam Burns",150,23590089,8600,32.146,8:21 am,1,61.8,3.4,0,65.2,0.03,100,18.458280055787,
"Im, Sungjae","Sungjae Im",150,23590093,8500,32.316,12:55 pm,0,67.4,4.7,0,72.1,0.89,100,13.4678247346223,
"Lowry, Shane","Shane Lowry",150,23590090,8300,31.949,1:06 pm,0,65.7,4.4,0,70.2,0.8,100,11.5526449600982,
"Horschel, Billy","Billy Horschel",150,23590094,8200,31.239,12:44 pm,0,65.4,4.3,0,69.6,0.81,100,10.6737874923677,
"Niemann, Joaquin","Joaquin Niemann",150,23590095,8100,30.956,7:48 am,1,63.1,3.8,0,66.8,0.55,100,9.75043830002129,
"Kim, Joohyung","Joohyung Kim",150,23590096,8000,29.927,12:55 pm,0,56.5,2.4,0,58.9,-0.15,100,13.1756263241192,
"Homa, Max","Max Homa",150,23590097,7900,31.370,7:59 am,1,61.9,3.6,0,65.5,0.54,100,8.57201384617355,
"Henley, Russell","Russell Henley",150,23590099,7800,31.300,8:10 am,1,62.8,3.8,0,66.6,0.74,100,11.8119019649334,
"Hatton, Tyrrell","Tyrrell Hatton",150,23590098,7800,31.353,7:48 am,1,60.5,3.2,0,63.7,0.4,100,9.28086955172792,
"Wise, Aaron","Aaron Wise",150,23590101,7700,31.456,8:21 am,1,63.7,3.8,0,67.5,0.9,100,9.47299354210956,
"Riley, Davis","Davis Riley",150,23590103,7700,29.846,12:33 pm,0,56.2,2.4,0,58.7,-0.06,100,6.08522168133763,
"Conners, Corey","Corey Conners",150,23590100,7600,31.487,1:06 pm,0,63.7,4.1,0,67.8,1,100,11.2449417786592,
"Pendrith, Taylor","Taylor Pendrith",150,23590104,7600,30.791,7:37 am,1,59.8,3.1,0,62.9,0.44,100,8.26095127843577,
"Power, Seamus","Seamus Power",150,23590102,7600,30.759,12:33 pm,0,59.5,3.1,0,62.5,0.4,100,6.05992831154767,
"Bradley, Keegan","Keegan Bradley",150,23590105,7500,30.461,8:10 am,1,58.6,2.9,0,61.5,0.35,100,5.13831379349076,
"Scott, Adam","Adam Scott",150,23590107,7500,29.580,12:11 pm,0,55.3,2.3,0,57.6,-0.05,100,4.13634286557596,
"Bezuidenhout, Christiaan","Christiaan Bezuidenhout",150,23590106,7500,29.199,12:22 pm,0,54.9,2.3,0,57.2,-0.07,100,4.59971826192073,
"Pereira, Mito","Mito Pereira",150,23590120,7500,30.030,12:44 pm,0,57.3,2.6,0,59.9,0.17,100,7.48172089811109,
"Mitchell, Keith","Keith Mitchell",150,23590118,7400,30.929,12:44 pm,0,59,3,0,62,0.47,100,5.61757586473951,
"Theegala, Sahith","Sahith Theegala",150,23590112,7400,29.224,12:44 pm,0,54.1,2.1,0,56.2,-0.1,100,4.61043087933478,
"Kirk, Chris","Chris Kirk",150,23590109,7400,30.200,7:37 am,1,57.8,2.8,0,60.5,0.31,100,5.15253905441008,
"Varner III, Harold","Harold Varner III",150,23590110,7400,31.332,12:22 pm,0,61.5,3.5,0,64.9,0.81,100,5.81557726585185,
"Poston, J.T.","J.T. Poston",150,23590114,7300,30.318,7:48 am,1,56.4,2.5,0,58.9,0.19,100,5.05539412791848,
"Hadwin, Adam","Adam Hadwin",150,23590116,7300,29.834,7:37 am,1,55.3,2.3,0,57.7,0.05,100,3.01862630488651,
"Kim, Si Woo","Si Woo Kim",150,23590115,7300,29.802,7:48 am,1,56.5,2.5,0,59,0.2,100,3.4609175695925,
