player_name,sample_size,primary_tour,dg_rank,dg_change,owgr_rank,owgr_change,dg_index
"McIlroy, Rory",150,pga,1,0,4,-1,2.2793443307450802
"Cantlay, Patrick",150,pga,2,3,3,1,2.1099867213627
"Scheffler, Scottie",150,pga,3,1,1,0,2.04690809064445
"Schauffele, Xander",150,pga,4,3,5,1,1.9843000618095201
"Smith, Cameron",150,pga,5,-2,2,0,1.9453846131401797
"Rahm, Jon",150,pga,6,2,6,-1,1.9310935618719198
"Finau, Tony",150,pga,7,-5,14,0,1.90417526013843
"Fitzpatrick, Matthew",150,pga,8,-2,10,1,1.76931099373801
"Zalatoris, Will",150,pga,9,1,9,0,1.73697391295818
"Johnson, Dustin",150,pga,10,1,21,0,1.61207590982693
"Thomas, Justin",150,pga,11,-2,7,0,1.5929322315270502
"Im, Sungjae",150,pga,12,0,19,1,1.5440434007689
"Burns, Sam",150,pga,13,0,12,0,1.46876827153931
"Conners, Corey",150,pga,14,2,26,4,1.46466226040938
"Lowry, Shane",150,pga,15,3,23,1,1.38131538166363
"Niemann, Joaquin",150,pga,16,4,18,0,1.37789194611427
"Hovland, Viktor",150,pga,17,-3,11,-1,1.35262416546591
"Young, Cameron",150,pga,18,1,17,0,1.2991924970926
"Morikawa, Collin",150,pga,19,-4,8,0,1.28854054296568
"Fleetwood, Tommy",150,pga,20,-3,28,-1,1.28789874068674
"Homa, Max",150,pga,21,0,22,0,1.25792741856439
"Wise, Aaron",150,pga,22,0,40,0,1.25592177683934
"Spieth, Jordan",150,pga,23,0,13,0,1.22865387385363
"Matsuyama, Hideki",150,pga,24,0,16,0,1.1648217455146201
"Gooch, Talor",150,pga,25,0,45,-1,1.13882913304434
"Hatton, Tyrrell",150,pga,26,4,27,-1,1.10906229449406
"Horschel, Billy",150,pga,27,-1,15,0,1.10794056110364
"Casey, Paul",150,pga,28,0,33,-1,1.10282889869203
"Henley, Russell",150,pga,29,-2,52,-1,1.08639785751718
"Berger, Daniel",150,pga,30,-1,31,0,1.06939978265488
"Scott, Adam",150,pga,31,9,32,5,1.06437353104259
"Stallings, Scott",150,pga,32,12,61,45,1.0581632199556499
"Oosthuizen, Louis",150,pga,33,-1,30,-1,1.00037568062083
"Harman, Brian",150,pga,34,-3,37,-1,0.996270258335716
"Mitchell, Keith",150,pga,35,1,57,0,0.9675998266050351
"McCarthy, Denny",150,pga,36,2,78,5,0.9523881303240359
"Pendrith, Taylor",150,pga,37,11,118,16,0.935606315411229
"Davis, Cameron",150,pga,38,-1,65,0,0.907818101998084
"Poston, J.T.",150,pga,39,2,56,0,0.883376546943475
"Noren, Alex",150,pga,40,-6,54,1,0.8787066633020251
"Kim, Joohyung",150,pga,41,-8,20,-1,0.87774570145614
"Munoz, Sebastian",150,pga,42,1,64,-4,0.845816688310023
"Pieters, Thomas",150,euro,43,4,36,-1,0.828186421038756
"Lee, Kyounghoon",150,pga,44,15,39,6,0.8279244511453799
"Varner III, Harold",150,pga,45,-3,44,-2,0.824930244539289
"Bradley, Keegan",150,pga,46,-11,47,0,0.8185102679384381
"Pereira, Mito",150,pga,47,-8,50,0,0.810082838463365
"McNealy, Maverick",150,pga,48,2,74,0,0.7788690830760991
"Theegala, Sahith",150,pga,49,12,58,1,0.73991471972233
"Bezuidenhout, Christiaan",150,pga,50,15,62,5,0.7338434558395479
"Ancer, Abraham",150,pga,51,1,24,-1,0.727220470652145
"Reed, Patrick",150,pga,52,1,49,0,0.7027743616239689
"Kuchar, Matt",150,pga,53,1,76,0,0.702662556857373
"Fox, Ryan",150,euro,54,1,48,0,0.686780880521909
"Grillo, Emiliano",150,pga,55,12,98,4,0.672478331009269
"Garcia, Sergio",150,pga,56,0,73,-2,0.6633571179896949
"Riley, Davis",150,pga,57,-6,70,0,0.662321303646485
"Watson, Bubba",150,pga,58,0,97,-5,0.625138445199008
"Kirk, Chris",150,pga,59,-10,66,-4,0.616483395798546
"Putnam, Andrew",150,pga,60,15,115,3,0.615650409940871
"Grace, Branden",150,pga,61,-1,141,-2,0.606741170670214
"Montgomery, Taylor",150,kft,62,18,146,19,0.601469862349458
"Power, Seamus",150,pga,63,-18,41,-2,0.5840511328738079
"Koepka, Brooks",150,pga,64,-2,25,0,0.583988667520928
"Woodland, Gary",150,pga,65,-2,86,3,0.581126118881722
"Kokrak, Jason",150,pga,66,-2,38,0,0.580022429595586
"Merritt, Troy",150,pga,67,-10,96,0,0.5657109337462409
"Steele, Brendan",150,pga,68,11,105,8,0.5573250108530621
"Herbert, Lucas",150,pga,69,22,51,1,0.551751666345225
"Kisner, Kevin",150,pga,70,-4,29,-1,0.550523418838821
"Burmester, Dean",150,euro,71,25,69,3,0.5500710280600339
"Leishman, Marc",150,pga,72,9,63,1,0.549426121210101
"Hubbard, Mark",150,pga,73,-3,191,0,0.531093268426063
"Meronk, Adrian",150,euro,74,-5,59,-1,0.530816277363729
"DeChambeau, Bryson",150,pga,75,-4,35,-2,0.5301063931105581
"Rose, Justin",150,pga,76,-4,55,-1,0.529726364673258
"Howell III, Charles",150,pga,77,-4,193,-3,0.526836619308916
"Day, Jason",150,pga,78,-4,154,5,0.5171036836779099
"Smith, Jordan",150,euro,79,-3,121,-5,0.5057251813290949
"Kim, Si Woo",150,pga,80,-34,75,-12,0.504864355959064
"Hoge, Tom",150,pga,81,-3,46,0,0.48821506226985706
"Hadwin, Adam",150,pga,82,1,80,1,0.457728470287826
"Moore, Taylor",150,kft,83,1,126,-1,0.45682930772536406
"Long, Adam",150,pga,84,-2,208,-2,0.4532253870787539
"Smalley, Alex",150,pga,85,4,135,2,0.44229544444274604
"Na, Kevin",150,pga,86,-1,34,0,0.427650856293255
"Spaun, J.J.",150,pga,87,15,90,7,0.42602969877963104
"Simpson, Webb",150,pga,88,-2,79,-1,0.423442640145877
"Rodgers, Patrick",150,pga,89,-2,222,-4,0.42120991393548296
"Vegas, Jhonattan",150,pga,90,-2,110,-1,0.42073298161855394
"Laird, Martin",150,pga,91,-1,183,-4,0.40718775318500705
"Clark, Wyndham",150,pga,92,-24,184,-1,0.39944146910953404
"Detry, Thomas",150,euro,93,15,137,9,0.399318857896492
"Mullinax, Trey",150,kft,94,23,122,8,0.395317824105258
"Todd, Brendon",150,pga,95,-2,125,-2,0.38874329613979297
"Tringale, Cameron",150,pga,96,-19,53,0,0.37769301406895506
"Streelman, Kevin",150,pga,97,-3,114,-2,0.371242187730721
"Rai, Aaron",150,pga,98,-3,159,2,0.37007718356253794
"Jaeger, Stephan",150,pga,99,-2,148,-1,0.366603370933093
"Perez, Pat",150,pga,100,-2,192,4,0.365820877555115
"Lipsky, David",150,pga,101,-2,194,-2,0.360648374664911
"Reavie, Chez",150,pga,102,-10,117,0,0.34563257760076693
"Stenson, Henrik",150,pga,103,-3,178,-2,0.33170776546262104
"Palmer, Ryan",150,pga,104,-3,112,2,0.31800167291630604
"Kitayama, Kurt",150,pga,105,19,60,1,0.307742810286581
"Tarren, Callum",150,kft,106,-3,275,-3,0.29349083383748303
"Lahiri, Anirban",150,pga,107,-2,93,-2,0.293140886073489
"Horsfield, Sam",150,euro,108,-2,95,-2,0.283430362723996
"Suh, Justin",150,kft,109,-5,246,0,0.27508462320061894
"Knox, Russell",150,pga,110,-3,188,0,0.256346871422309
"NeSmith, Matthew",150,pga,111,-2,165,-3,0.240088378478092
"Daffue, MJ",150,kft,112,35,170,70,0.236713051212882
"Hodges, Lee",150,pga,113,-3,211,-1,0.23438542921340197
"Svensson, Adam",150,pga,114,-2,152,-2,0.22542195567303502
"Griffin, Lanto",150,pga,115,-2,134,-3,0.216466093871724
"Jones, Matt",150,pga,116,-1,80,0,0.206324334348269
