tour,year,season,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,course_par,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw
pga,2022,2022,TOUR Championship,60,"McIlroy, Rory",10091,1,1,East Lake Golf Club,688,70,67,3.09,0.075,-0.828,-1.415,-2.191,0.897,311.9,0.5,0.611,0.444,31.141,35.736
pga,2022,2022,TOUR Championship,60,"McIlroy, Rory",10091,1,2,East Lake Golf Club,688,70,67,-0.868,1.401,0.413,0.07,1.857,0.966,318.5,0.5,0.778,1.0,54.575,21.857
pga,2022,2022,TOUR Championship,60,"McIlroy, Rory",10091,1,3,East Lake Golf Club,688,70,63,0.47,-0.426,2.224,1.731,3.53,4.0,319.3,0.714,0.889,0.5,52.799,17.442
pga,2022,2022,TOUR Championship,60,"McIlroy, Rory",10091,1,4,East Lake Golf Club,688,70,66,3.921,-1.948,-1.072,1.857,-1.162,2.759,312.0,0.857,0.722,0.667,47.303,28.289
pga,2022,2022,TOUR Championship,60,"Im, Sungjae",17488,T2,1,East Lake Golf Club,688,70,67,1.437,-0.17,-0.389,0.044,-0.538,0.897,297.5,0.571,0.722,0.833,48.093,29.06
pga,2022,2022,TOUR Championship,60,"Im, Sungjae",17488,T2,2,East Lake Golf Club,688,70,65,0.067,0.568,1.761,0.62,2.922,2.966,298.0,0.714,0.833,0.6,39.58,26.127
pga,2022,2022,TOUR Championship,60,"Im, Sungjae",17488,T2,3,East Lake Golf Club,688,70,66,-0.14,-0.177,0.636,0.68,1.14,1.0,298.2,0.714,0.833,0.667,52.39,22.18
pga,2022,2022,TOUR Championship,60,"Im, Sungjae",17488,T2,4,East Lake Golf Club,688,70,66,1.093,-1.917,2.848,0.734,1.666,2.759,292.0,0.857,0.833,0.333,62.414,20.566
pga,2022,2022,TOUR Championship,60,"Scheffler, Scottie",18417,T2,1,East Lake Golf Club,688,70,65,1.681,-0.405,0.04,0.855,1.147,2.897,307.0,0.643,0.722,0.833,38.116,30.036
pga,2022,2022,TOUR Championship,60,"Scheffler, Scottie",18417,T2,2,East Lake Golf Club,688,70,66,-1.952,1.667,1.678,0.885,4.607,1.966,305.4,0.643,0.667,1.0,59.905,16.614
pga,2022,2022,TOUR Championship,60,"Scheffler, Scottie",18417,T2,3,East Lake Golf Club,688,70,66,-1.161,-0.466,2.891,-0.265,2.161,1.0,298.5,0.714,0.889,0.333,49.022,20.534
pga,2022,2022,TOUR Championship,60,"Scheffler, Scottie",18417,T2,4,East Lake Golf Club,688,70,73,-1.65,-0.623,-2.608,0.639,-2.591,-4.241,302.0,0.643,0.5,0.545,69.951,37.457
pga,2022,2022,TOUR Championship,60,"Schauffele, Xander",19895,4,1,East Lake Golf Club,688,70,66,0.399,-0.314,1.029,0.808,1.5,1.897,296.2,0.786,0.722,0.75,44.659,25.778
pga,2022,2022,TOUR Championship,60,"Schauffele, Xander",19895,4,2,East Lake Golf Club,688,70,63,0.823,0.157,1.127,1.171,2.832,4.966,299.5,0.929,0.722,0.8,,20.268
pga,2022,2022,TOUR Championship,60,"Schauffele, Xander",19895,4,3,East Lake Golf Club,688,70,70,-2.897,0.065,-0.099,-0.07,-0.103,-3.0,295.9,0.571,0.722,0.333,35.761,19.963
pga,2022,2022,TOUR Championship,60,"Schauffele, Xander",19895,4,4,East Lake Golf Club,688,70,69,-0.351,-0.584,-0.441,1.134,0.11,-0.241,296.9,0.857,0.889,0.333,27.69,24.377
pga,2022,2022,TOUR Championship,60,"Homa, Max",17538,T5,1,East Lake Golf Club,688,70,71,-1.734,-1.314,0.047,-0.077,-1.367,-3.103,295.0,0.571,0.667,0.429,40.436,30.401
pga,2022,2022,TOUR Championship,60,"Homa, Max",17538,T5,2,East Lake Golf Club,688,70,62,3.418,0.791,0.693,1.114,2.571,5.966,297.1,0.857,0.778,1.0,53.02,26.645
pga,2022,2022,TOUR Championship,60,"Homa, Max",17538,T5,3,East Lake Golf Club,688,70,66,1.377,0.18,-1.413,0.855,-0.377,1.0,300.5,0.786,0.667,1.0,61.275,29.081
pga,2022,2022,TOUR Championship,60,"Homa, Max",17538,T5,4,East Lake Golf Club,688,70,66,1.401,0.316,0.601,0.44,1.358,2.759,301.2,0.643,0.722,0.667,41.31,29.016
pga,2022,2022,TOUR Championship,60,"Thomas, Justin",14139,T5,1,East Lake Golf Club,688,70,67,-1.104,1.343,-0.211,0.894,2.003,0.897,303.1,0.714,0.722,0.571,45.9,30.031
pga,2022,2022,TOUR Championship,60,"Thomas, Justin",14139,T5,2,East Lake Golf Club,688,70,68,0.713,-0.342,-0.797,0.442,-0.724,-0.034,299.3,0.643,0.611,0.75,33.486,27.988
pga,2022,2022,TOUR Championship,60,"Thomas, Justin",14139,T5,3,East Lake Golf Club,688,70,63,1.467,-0.191,1.913,0.81,2.533,4.0,303.2,0.714,0.833,0.75,50.973,21.708
pga,2022,2022,TOUR Championship,60,"Thomas, Justin",14139,T5,4,East Lake Golf Club,688,70,68,-0.159,0.865,-0.328,0.38,0.918,0.759,297.2,0.714,0.611,0.667,54.903,29.232
pga,2022,2022,TOUR Championship,60,"Straka, Sepp",17511,T7,1,East Lake Golf Club,688,70,68,0.371,1.743,-1.783,-0.409,-0.472,-0.103,289.6,0.571,0.722,0.857,46.102,35.149
pga,2022,2022,TOUR Championship,60,"Straka, Sepp",17511,T7,2,East Lake Golf Club,688,70,68,-1.234,-0.012,1.175,0.087,1.223,-0.034,295.6,0.786,0.778,0.75,34.94,27.98
pga,2022,2022,TOUR Championship,60,"Straka, Sepp",17511,T7,3,East Lake Golf Club,688,70,64,1.196,0.144,2.635,-0.976,1.804,3.0,293.0,0.571,0.778,0.8,44.149,18.94
pga,2022,2022,TOUR Championship,60,"Straka, Sepp",17511,T7,4,East Lake Golf Club,688,70,68,0.245,-0.531,1.641,-0.597,0.514,0.759,291.3,0.714,0.778,0.4,60.025,28.706
pga,2022,2022,TOUR Championship,60,"Cantlay, Patrick",15466,T7,1,East Lake Golf Club,688,70,70,-2.652,0.175,0.309,0.09,0.551,-2.103,305.0,0.714,0.722,0.5,37.592,23.704
pga,2022,2022,TOUR Championship,60,"Cantlay, Patrick",15466,T7,2,East Lake Golf Club,688,70,66,-2.567,-0.897,3.482,1.998,4.556,1.966,308.4,0.929,1.0,0.0,25.555,18.327
pga,2022,2022,TOUR Championship,60,"Cantlay, Patrick",15466,T7,3,East Lake Golf Club,688,70,66,0.155,0.372,-0.142,0.614,0.845,1.0,309.2,0.571,0.833,0.8,59.745,24.395
pga,2022,2022,TOUR Championship,60,"Cantlay, Patrick",15466,T7,4,East Lake Golf Club,688,70,70,-1.074,0.678,-1.175,0.329,-0.167,-1.241,298.2,0.643,0.667,0.75,54.616,24.814
pga,2022,2022,TOUR Championship,60,"Finau, Tony",11676,9,1,East Lake Golf Club,688,70,72,-2.836,-0.068,-1.546,0.372,-1.265,-4.103,293.5,0.714,0.778,0.333,34.15,39.676
pga,2022,2022,TOUR Championship,60,"Finau, Tony",11676,9,2,East Lake Golf Club,688,70,66,1.982,0.421,0.718,-1.105,0.007,1.966,299.3,0.429,0.667,1.0,39.566,24.728
pga,2022,2022,TOUR Championship,60,"Finau, Tony",11676,9,3,East Lake Golf Club,688,70,67,-1.037,1.129,-0.628,0.535,1.037,0.0,303.5,0.643,0.722,0.714,35.151,34.093
pga,2022,2022,TOUR Championship,60,"Finau, Tony",11676,9,4,East Lake Golf Club,688,70,64,3.284,0.267,0.231,0.976,1.475,4.759,296.1,0.857,0.833,0.6,55.176,28.898
pga,2022,2022,TOUR Championship,60,"Hoge, Tom",15575,10,1,East Lake Golf Club,688,70,66,-0.744,0.058,2.346,0.262,2.643,1.897,288.8,0.786,0.889,1.0,18.468,24.767
pga,2022,2022,TOUR Championship,60,"Hoge, Tom",15575,10,2,East Lake Golf Club,688,70,66,3.013,-1.177,0.809,-0.629,-1.024,1.966,294.6,0.429,0.667,1.0,45.519,20.323
pga,2022,2022,TOUR Championship,60,"Hoge, Tom",15575,10,3,East Lake Golf Club,688,70,66,1.748,0.154,0.246,-1.149,-0.748,1.0,295.2,0.571,0.722,0.833,58.659,29.26
pga,2022,2022,TOUR Championship,60,"Hoge, Tom",15575,10,4,East Lake Golf Club,688,70,69,-0.023,1.362,-2.409,0.828,-0.218,-0.241,291.2,0.929,0.611,0.625,68.948,30.758
pga,2022,2022,TOUR Championship,60,"Matsuyama, Hideki",13562,T11,1,East Lake Golf Club,688,70,70,-1.364,0.237,0.128,-1.079,-0.737,-2.103,288.7,0.643,0.833,0.75,54.388,33.339
pga,2022,2022,TOUR Championship,60,"Matsuyama, Hideki",13562,T11,2,East Lake Golf Club,688,70,66,2.296,-0.366,0.637,-0.551,-0.307,1.966,289.7,0.5,0.611,0.875,59.378,24.335
pga,2022,2022,TOUR Championship,60,"Matsuyama, Hideki",13562,T11,3,East Lake Golf Club,688,70,63,0.416,0.857,2.689,0.037,3.584,4.0,298.7,0.571,0.667,0.833,49.525,18.255
pga,2022,2022,TOUR Championship,60,"Matsuyama, Hideki",13562,T11,4,East Lake Golf Club,688,70,70,0.079,-1.56,0.173,0.066,-1.32,-1.241,291.3,0.714,0.667,0.375,51.372,37.579
pga,2022,2022,TOUR Championship,60,"Niemann, Joaquin",18079,T11,1,East Lake Golf Club,688,70,64,0.334,0.419,2.745,0.424,3.565,3.897,295.2,0.714,0.833,0.5,32.608,21.056
pga,2022,2022,TOUR Championship,60,"Niemann, Joaquin",18079,T11,2,East Lake Golf Club,688,70,67,1.152,0.688,-1.156,0.332,-0.163,0.966,299.7,0.571,0.667,0.571,50.584,31.57
pga,2022,2022,TOUR Championship,60,"Niemann, Joaquin",18079,T11,3,East Lake Golf Club,688,70,69,-1.869,-0.434,0.623,-0.321,-0.131,-2.0,305.0,0.786,0.722,0.333,52.153,23.155
pga,2022,2022,TOUR Championship,60,"Niemann, Joaquin",18079,T11,4,East Lake Golf Club,688,70,69,-0.97,-0.279,-0.275,1.282,0.729,-0.241,303.5,0.857,0.611,0.667,84.409,24.809
