player_name,sg_putt_pred,sg_putt_rank,sg_arg_pred,sg_arg_rank,sg_app_pred,sg_app_rank,sg_ott_pred,sg_ott_rank,sg_total_pred,sg_total_rank,distance_pred,distance_rank,accuracy_pred,accuracy_rank
"Scheffler, Scottie",0.129,87,0.275,15,1.247,1,1.114,1,2.764,1,13.160,30,0.049,58
"Rahm, Jon",0.624,2,0.226,32,0.951,5,0.808,6,2.609,2,14.800,18,0.013,149
"Cantlay, Patrick",0.375,26,0.279,11,0.789,7,0.836,5,2.279,3,9.433,55,0.042,71
"Schauffele, Xander",0.470,12,0.275,14,1.026,3,0.462,29,2.233,4,6.378,97,0.018,131
"McIlroy, Rory",0.184,66,0.250,22,0.697,11,0.909,3,2.039,5,23.632,2,-0.044,333
"Finau, Tony",0.285,41,0.230,30,0.969,4,0.528,20,2.012,6,8.071,73,0.025,111
"Im, Sungjae",0.403,22,0.336,3,0.514,29,0.613,12,1.866,7,0.482,197,0.071,20
"Thomas, Justin",0.085,115,0.332,4,0.804,6,0.588,16,1.810,8,10.655,46,-0.007,217
"Young, Cameron",0.125,90,0.092,87,0.669,14,0.851,4,1.736,9,20.564,5,-0.024,280
"Hatton, Tyrrell",0.348,29,0.242,25,0.616,16,0.488,24,1.694,10,6.088,99,0.022,118
"Day, Jason",0.405,21,0.285,9,0.559,26,0.438,34,1.687,11,5.289,111,0.017,142
"Hovland, Viktor",0.081,120,-0.080,244,0.749,8,0.928,2,1.679,12,9.693,54,0.038,79
"Morikawa, Collin",-0.064,215,0.024,157,1.027,2,0.618,11,1.605,13,0.974,187,0.087,14
"Fitzpatrick, Matthew",0.470,11,0.217,37,0.323,53,0.470,28,1.481,14,8.441,66,0.008,164
"Spieth, Jordan",0.291,40,0.310,5,0.652,15,0.225,78,1.479,15,7.837,74,-0.039,323
"Burns, Sam",0.579,4,0.096,84,0.244,73,0.497,22,1.415,16,10.371,50,-0.026,284
"Homa, Max",0.416,17,0.216,38,0.573,23,0.196,84,1.400,17,4.034,132,0.029,104
"Clark, Wyndham",0.317,35,0.148,61,0.589,19,0.308,60,1.363,18,14.243,22,-0.051,354
"Zalatoris, Will",-0.019,182,0.047,133,0.676,13,0.589,15,1.293,19,13.478,27,-0.005,208
"Fowler, Rickie",0.303,36,0.185,48,0.594,18,0.183,91,1.266,20,6.441,95,0.016,143
"Smith, Cameron",0.525,7,0.235,29,0.425,35,0.047,139,1.232,21,1.685,173,-0.028,293
"Henley, Russell",0.041,148,0.277,12,0.581,20,0.330,57,1.229,22,-5.453,307,0.111,2
"Fleetwood, Tommy",0.187,65,0.243,24,0.528,28,0.266,68,1.224,23,2.905,158,0.021,119
"Kim, Tom",0.109,99,0.138,64,0.600,17,0.374,48,1.222,24,-0.462,213,0.095,8
"Conners, Corey",-0.081,227,-0.094,257,0.698,10,0.688,9,1.211,25,1.207,182,0.061,35
"Johnson, Dustin",0.046,144,0.082,100,0.573,22,0.504,21,1.206,26,14.168,24,-0.009,227
"Koepka, Brooks",0.189,64,0.030,153,0.487,31,0.492,23,1.197,27,11.859,35,-0.022,275
"Niemann, Joaquin",0.055,132,0.080,102,0.433,33,0.608,13,1.176,28,11.475,37,-0.008,218
"Theegala, Sahith",0.392,24,0.241,26,0.378,42,0.144,105,1.155,29,7.017,83,-0.033,304
