datagolf_name,dk_name,sample_size,dk_id,dk_salary,std_dev,tee_time,early_late_wave,scoring_points,finish_points,manual_bump,total_points,value,max_exposure,projected_ownership,lineup_rule
"Scheffler, Scottie","Scottie Scheffler",150,28078696,11500,30.750,N/A,0,83.1,11.7,0,94.8,1,100,5,
"Finau, Tony","Tony Finau",150,28078697,10700,30.473,N/A,0,73,7.5,0,80.4,0.24,100,5,
"Hovland, Viktor","Viktor Hovland",150,28078698,10600,31.036,N/A,0,70.9,6.6,0,77.6,0.05,100,5,
"Morikawa, Collin","Collin Morikawa",150,28078699,10400,30.846,N/A,0,70,6.3,0,76.3,0.06,100,5,
"Homa, Max","Max Homa",150,28078700,10100,29.868,N/A,0,66,5.1,0,71.2,-0.13,100,5,
"Spieth, Jordan","Jordan Spieth",150,28078701,9900,31.456,N/A,0,73.2,7.3,0,80.6,0.68,100,5,
"Burns, Sam","Sam Burns",150,28078702,9700,30.238,N/A,0,63.9,4.4,0,68.3,-0.14,100,5,
"Im, Sungjae","Sungjae Im",150,28078703,9500,30.565,N/A,0,71.9,7,0,78.8,0.76,100,5,
"Rose, Justin","Justin Rose",150,28078704,9300,30.347,N/A,0,63.9,4.5,0,68.5,0,100,5,
"Fleetwood, Tommy","Tommy Fleetwood",150,28078705,9200,29.817,N/A,0,65.5,5,0,70.5,0.23,100,5,
"Kirk, Chris","Chris Kirk",150,28078706,9100,29.905,N/A,0,64.3,4.7,0,69,0.16,100,5,
"Kim, Si Woo","Si Woo Kim",150,28078707,9000,29.732,N/A,0,63,4.4,0,67.4,0.07,100,5,
"Fowler, Rickie","Rickie Fowler",150,28078708,8900,30.380,N/A,0,64.3,4.8,0,69.1,0.28,100,5,
"Henley, Russell","Russell Henley",150,28078709,8800,30.090,N/A,0,65.3,4.9,0,70.3,0.42,100,5,
"McCarthy, Denny","Denny McCarthy",150,28078710,8700,29.484,N/A,0,63.2,4.4,0,67.6,0.26,100,5,
"Davis, Cameron","Cameron Davis",150,28078711,8600,29.306,N/A,0,60.1,3.6,0,63.7,-0.01,100,5,
"Hoge, Tom","Tom Hoge",150,28078712,8500,29.370,N/A,0,57.3,3.1,0,60.4,-0.14,100,5,
"Lee, Min Woo","Min Woo Lee",150,28078713,8400,28.731,N/A,0,55.3,2.6,0,57.9,-0.24,100,5,
"Lee, Kyounghoon","Kyoung-Hoon Lee",150,28078714,8300,29.681,N/A,0,60.4,3.8,0,64.1,0.18,100,5,
"Harman, Brian","Brian Harman",150,28078715,8200,29.876,N/A,0,61.6,4,0,65.7,0.37,100,5,
"Jaeger, Stephan","Stephan Jaeger",150,28078716,8100,29.252,N/A,0,61.1,3.9,0,64.9,0.36,100,5,
"Moore, Taylor","Taylor Moore",150,28078717,8000,29.117,N/A,0,58.5,3.3,0,61.9,0.16,100,5,
"Kitayama, Kurt","Kurt Kitayama",150,28078718,7900,29.546,N/A,0,57.3,3,0,60.3,0.08,100,5,
"An, Byeong Hun","Byeong Hun An",150,28078719,7900,28.970,N/A,0,56.1,2.8,0,58.9,-0.02,100,5,
"English, Harris","Harris English",150,28078721,7800,28.793,N/A,0,56.4,2.8,0,59.2,0.04,100,5,
"Todd, Brendon","Brendon Todd",150,28078720,7800,28.851,N/A,0,58.8,3.3,0,62.1,0.29,100,5,
"Bezuidenhout, Christiaan","Christiaan Bezuidenhout",150,28078722,7700,28.816,N/A,0,55.9,2.8,0,58.7,0.06,100,5,
"Grillo, Emiliano","Emiliano Grillo",150,28078723,7700,29.053,N/A,0,55.8,2.8,0,58.6,0.05,100,5,
"Smalley, Alex","Alex Smalley",150,28078724,7600,28.790,N/A,0,55.6,2.7,0,58.3,0.08,100,5,
