"","Name","ID","Salary","AvgPointsPerGame","fpts","proj_own","ceil","floor","scoring_points","finish_points","total_points","value","projected_ownership","sg_putt_pred","sg_putt_rank","sg_arg_pred","sg_arg_rank","sg_app_pred","sg_app_rank","sg_ott_pred","sg_ott_rank","sg_total_pred","sg_total_rank","distance_pred","distance_rank","accuracy_pred","accuracy_rank","baseline","age","age_adj","true_sg_adj","timing_adj","sg_category_adj","course_history_adj","driving_dist_adj","driving_acc_adj","fit_other_adj","course_fit_total_adj","final_prediction","make_cut","top_20","top_10","top_5","win","odds_per_dollar","residuals","proj_own_avg","course_fit","own_change","adj_own","one","date","tournament"
"1","Scottie Scheffler",28078696,11500,99.75,92.85,27.8,112,73.5,83.1,11.7,94.8,1,5,0.15,82,0.298,8,1.249,1,1.151,1,2.848,1,13.48,25,0.055,46,2.652,26,0.021,0.005,-0.061,0.232,0.003,-0.207,-0.01,0.11,-0.106,2.744,0.9908,0.9926,0.9942,0.9957,0.9983,86.81,-0.67,14.12,2.75,12.04,30,1,2023-05-25,"2023-05-25 Charles Schwab"
"2","Tony Finau",28078697,10700,83.9,89.84,17.1,108.5,71,73,7.5,80.4,0.24,5,0.213,61,0.257,18,0.863,6,0.438,35,1.771,7,7.789,73,0.016,141,1.786,33,-0.004,-0.028,0.006,0.01,0.171,-0.119,-0.003,0.093,-0.028,1.913,0.9915,0.9946,0.9964,0.9978,0.9994,93.4,0.22,9.84,1.93,8.8,20,1,2023-05-25,"2023-05-25 Charles Schwab"
"3","Viktor Hovland",28078698,10600,89.1,75.83,18.5,95,56,70.9,6.6,77.6,0.05,5,0.133,93,-0.038,206,0.873,5,0.842,5,1.811,6,10.04,49,0.041,72,1.707,25,0.025,0.003,-0.011,0.087,0.005,-0.154,-0.007,0.054,-0.106,1.71,0.9917,0.9952,0.9969,0.9982,0.9995,94.29,0.28,10.4,0.95,4.42,15,1,2023-05-25,"2023-05-25 Charles Schwab"
"4","Collin Morikawa",28078699,10400,73.97,79.96,11.8,99,61.5,70,6.3,76.3,0.06,5,-0.04,214,0.044,139,1.009,2,0.531,23,1.543,14,0.84,190,0.087,14,1.477,26,0.023,-0.024,0.012,0.056,0.047,-0.012,-0.015,0.053,0.027,1.617,0.9918,0.9955,0.9971,0.9983,0.9996,96.12,0.37,7.72,1.4,6.48,15,1,2023-05-25,"2023-05-25 Charles Schwab"
"5","Max Homa",28078700,10100,83.71,81.82,9,100.5,65,66,5.1,71.2,-0.13,5,0.453,13,0.188,42,0.485,29,0.176,87,1.302,19,4.093,128,0.022,118,1.365,32,0.001,0.034,0.017,-0.114,0.019,-0.062,-0.004,0.092,0.027,1.348,0.9922,0.9961,0.9977,0.9988,0.9997,98.98,0.43,6.6,1.63,7.55,15,1,2023-05-25,"2023-05-25 Charles Schwab"
"6","Jordan Spieth",28078701,9900,72.32,88.33,14.7,106.35,70,73.2,7.3,80.6,0.68,5,0.239,53,0.247,22,0.677,11,0.404,41,1.566,11,7.437,78,-0.028,290,1.462,29,0.01,-0.009,-0.02,0.123,0.299,-0.113,0.005,0.086,-0.023,1.842,0.9916,0.9949,0.9966,0.9979,0.9994,100.95,0.4,8.88,1.41,6.54,15,1,2023-05-25,"2023-05-25 Charles Schwab"
"7","Sam Burns",28078702,9700,62.97,66.82,8.3,89.5,28,63.9,4.4,68.3,-0.14,5,0.562,6,0.02,156,0.144,104,0.491,27,1.217,24,10.372,47,-0.025,279,0.993,26,0.021,0.058,-0.002,0.147,0.003,-0.159,0.004,0.067,-0.087,1.133,0.9925,0.9966,0.9981,0.999,0.9998,103.07,0.42,6.32,0.52,2.55,10,1,2023-05-25,"2023-05-25 Charles Schwab"
"8","Sungjae Im",28078703,9500,77.28,85.55,19.8,104,68.5,71.9,7,78.8,0.76,5,0.324,33,0.296,9,0.442,34,0.642,10,1.704,9,0.792,192,0.069,21,1.535,25,0.027,0.016,0.004,0.121,0.024,-0.011,-0.012,0.087,0.065,1.792,0.9916,0.995,0.9967,0.998,0.9995,105.21,0.34,10.92,2.12,9.71,20,1,2023-05-25,"2023-05-25 Charles Schwab"
"9","Justin Rose",28078704,9300,71.69,71.35,21.7,93,30,63.9,4.5,68.5,0,5,0.414,19,0.139,63,0.431,35,0.02,138,1.004,37,-0.185,207,0.022,119,1.284,42,-0.036,-0.078,0.094,-0.261,0.094,0.004,-0.004,0.081,0.082,1.18,0.9924,0.9965,0.998,0.9989,0.9998,107.51,0.32,11.68,1.3,6.01,20,1,2023-05-25,"2023-05-25 Charles Schwab"
"10","Tommy Fleetwood",28078705,9200,71.57,76.97,18.3,96.5,57,65.5,5,70.5,0.23,5,0.214,59,0.253,20,0.537,25,0.308,63,1.312,18,2.923,156,0.022,120,1.302,32,0.001,-0.036,-0.043,0.088,-0.028,-0.044,-0.004,0.076,0.029,1.313,0.9922,0.9962,0.9978,0.9988,0.9998,108.67,0.28,10.32,1.57,7.2,20,1,2023-05-25,"2023-05-25 Charles Schwab"
