player_id,team,opp,pos,name,fpts,proj_own,opto_pct,noto_rtg,ceil,floor,min_exposure,max_exposure,salary,custom,rg_id,partner_id
1210,,,G,Peter Malnati,42.2,0.2,1.63,32.35,69,22,0,0,6100,,34908,1210
1694,,,G,Ben Taylor,48.11,1.1,2.56,41.64,73.5,23.5,0,0,6200,,35024,1694
1496,,,G,Scottie Scheffler,92.71,30.3,30.40,97.58,127,73.5,0,0,11500,,35127,1496
710732,,,G,Pierceson Coody,36.9,0.52,0.90,32.75,64,20.5,0,0,6300,,2874923,710732
2024,,,G,Max Homa,80.22,8.1,18.61,87.87,98.5,62.5,0,0,10100,,36137,2024
2167,,,G,J.J. Spaun,61.05,5.6,5.96,60.05,85,26.5,0,0,7600,,36093,2167
703406,,,G,Seonghyeon Kim,56.62,1.8,4.03,53.32,81,25.5,0,0,7200,,2316733,703406
1760,,,G,Tom Hoge,61.09,6.1,5.23,63.65,84,26.5,0,0,8500,,34888,1760
300102,,,G,Collin Morikawa,77.22,14.8,13.79,82.26,95.5,60.5,0,0,10400,,36083,300102
2168,,,G,Kevin Tway,46.53,1.1,2.26,26.67,72.5,23,0,0,6300,,35139,2168
2125,,,G,Tony Finau,87.91,16.9,27.87,93.4,107,69,0,0,10700,,34873,2125
1663,,,G,Chez Reavie,47.55,2.7,1.76,47.2,74,23.5,0,0,6900,,34927,1663
720888,,,G,Sam Stevens,58.75,7.5,5.39,57.09,82.5,26,0,0,7100,,3371777,720888
1048,,,G,Ryan Fox,65.8,8,11.92,58.27,87.5,28,0,0,7500,,36650,1048
2049,,,G,Zach Johnson,39.14,0.55,1.03,36.05,66,21,0,0,6200,,34772,2049
670431,,,G,Harrison Endycott,35.95,0.23,1.43,27.97,62.5,20.5,0,0,6000,,3803322,670431
670398,,,G,Greyson Sigg,51.12,1.9,3.10,32,77,24,0,0,6300,,37979,670398
1961,,,G,Scott Stallings,59.1,3,5.49,51.95,82.5,26,0,0,6900,,34999,1961
1411,,,G,Nick Hardy,50.98,1.1,2.33,39.22,75.5,24.5,0,0,6700,,35104,1411
1554,,,G,Kevin Streelman,57.21,0.79,4.46,46.59,81,25.5,0,0,6500,,34815,1554
