player_id,team,opp,pos,name,fpts,proj_own,opto_pct,noto_rtg,ceil,floor,min_exposure,max_exposure,salary,custom,rg_id,partner_id
773146,,,G,Bastien Amat,,0,,,,,0,0,6000,,4826656,773146
1496,,,G,Scottie Scheffler,83.48,19.7,16.85,96.91,102,65.5,0,0,11400,,35127,1496
769813,,,G,Jacob Solomon,25.71,0.06,0.07,25.53,31.7,16.1,0,0,6100,,4813335,769813
2024,,,G,Max Homa,69.4,10.2,8.96,76.72,89,31,0,0,9400,,36137,2024
372042,,,G,Brent Grant,28.06,0.19,0.57,30.16,46.35,17.5,0,0,6300,,36278,372042
1760,,,G,Tom Hoge,47.82,0.61,2.26,49.55,72.5,23,0,0,7200,,34888,1760
300102,,,G,Collin Morikawa,69.18,10.8,11.19,78.13,89,30.65,0,0,9300,,36083,300102
772255,,,G,Omar Morales,30.72,0.02,1.13,19.2,54.5,18,0,0,6200,,4657689,772255
771298,,,G,Mateo Fernandez de Oliveira,27.08,0.08,0.73,9.62,34.5,16.5,0,0,6200,,4580211,771298
773004,,,G,Christian Cavaliere,25.32,0.05,0.00,5.22,31.22,15.86,0,0,6000,,4822641,773004
1156,,,G,Thriston Lawrence,39.83,0.19,1.07,29.99,66.5,21,0,0,6600,,3600388,1156
1860,,,G,Corey Conners,62.26,9,10.96,70.48,83.5,27,0,0,7800,,37123,1860
771299,,,G,Gordon Sargent,28.92,4.5,1.07,14.9,50.5,17,0,0,6100,,4580204,771299
773005,,,G,Brendan Valdes,,0,,,,,0,0,6000,,-773005,773005
1135,,,G,Phil Mickelson,50.04,2.6,2.50,42.88,74,23.5,0,0,7000,,34795,1135
2125,,,G,Tony Finau,71.24,13.9,15.65,86.27,90,49.65,0,0,8800,,34873,2125
700009,,,G,Tom Kim,56.29,5.4,5.49,68.24,79.5,25,0,0,7800,,2203377,700009
696522,,,G,Michael Thorbjornsen,37.01,0.27,1.73,28.49,63,20,0,0,6200,,1071511,696522
773006,,,G,Isaac Simmons,25.19,0.01,0.00,5.22,31.06,15.78,0,0,6000,,4822643,773006
1455,,,G,Ryan Armour,39.24,0.12,0.93,26.12,65,20.5,0,0,6500,,36068,1455
1356,,,G,Tyrrell Hatton,71.65,20.7,15.25,85.42,90,54,0,0,8900,,35279,1356
720888,,,G,Sam Stevens,45.94,1.7,2.26,49.67,71,22.5,0,0,6600,,3371777,720888
404847,,,G,Sahith Theegala,53.99,7.4,3.83,60.67,77,24,0,0,7600,,37149,404847
1048,,,G,Ryan Fox,55.32,4.2,6.13,56.08,79,24.5,0,0,7100,,36650,1048
701825,,,G,Corey Pereira,25.97,0.05,0.03,8.09,32.02,16.26,0,0,6100,,4813342,701825
670992,,,G,Alejandro Del Rey,42.52,0.14,2.73,32.62,68.5,21.5,0,0,6300,,4813341,670992
766109,,,G,Barclay Brown,29.89,0.03,1.60,8.07,53.5,17.5,0,0,6000,,3608440,766109
761830,,,G,J.J. Grey,26.1,0.03,0.10,5.22,32.18,16.34,0,0,6200,,4813338,761830
1961,,,G,Scott Stallings,42.92,0.17,1.67,35.42,68.5,21.5,0,0,6700,,34999,1961
1631,,,G,Charley Hoffman,39.78,0.13,0.90,34.09,66.5,20.5,0,0,6800,,34766,1631
1411,,,G,Nick Hardy,40.27,0.23,1.03,38.31,67,21,0,0,6700,,35104,1411
1554,,,G,Kevin Streelman,43.66,0.95,1.60,44.31,69.5,22,0,0,6900,,34815,1554
1323,,,G,Martin Kaymer,35.84,0.06,0.83,23.29,61.5,19.5,0,0,6500,,34774,1323
773007,,,G,Karl Vilips,24.93,0.03,0.00,5.22,30.75,15.62,0,0,6000,,4822644,773007
1005,,,G,Stewart Cink,38.93,0.2,1.27,29.64,66,20.5,0,0,6500,,34863,1005
764449,,,G,Yuto Katsuragawa,32.89,0.08,0.57,36.14,58,19,0,0,6500,,3608442,764449
288611,,,G,Paul Barjon,32.1,0.1,0.47,16.95,57,18.5,0,0,6400,,912552,288611
702805,,,G,Preston Summerhays,28.86,0.11,1.20,5.19,50,17.5,0,0,6100,,2216262,702805
320038,,,G,Sebastian Munoz,46.36,1.6,1.63,40.05,72,22.5,0,0,6700,,36138,320038
1654,,,G,Russell Henley,55.47,6.3,6.66,64.14,78,24.5,0,0,7100,,34884,1654
1589,,,G,Andrew Svoboda,34.89,0.01,1.50,5.02,60.5,19.5,0,0,6200,,402529,1589
1237,,,G,Rickie Fowler,63.47,18.4,12.99,76.22,84.5,27,0,0,7500,,34760,1237
1149,,,G,Dustin Johnson,60.33,11.6,6.46,74.64,82,26,0,0,8300,,34771,1149
670620,,,G,Sungjae Im,69.4,7.8,15.32,76.21,88.5,31,0,0,8400,,382250,670620
692004,,,G,Hank Lebioda,34.22,0.13,0.93,25.61,59.5,19.5,0,0,6400,,565462,692004
1600,,,G,Harris English,43.77,5.5,0.83,49.14,69,22,0,0,7200,,34758,1600
697889,,,G,Taylor Montgomery,44.86,2.5,1.23,51.38,69.5,22.5,0,0,7400,,2927750,697889
696569,,,G,Cameron Young,64.43,6.1,14.02,65.81,85.35,27,0,0,8000,,1074862,696569
1622,,,G,Joel Dahmen,40.82,0.35,1.00,38.75,66.5,21,0,0,6800,,36136,1622
1743,,,G,Paul Haley,28.22,0.12,0.53,26.07,47.5,17,0,0,6300,,3803323,1743
1018,,,G,Denny McCarthy,52.82,8.7,4.16,69.96,76.5,24,0,0,7200,,35117,1018
1931,,,G,Hideki Matsuyama,66.81,14.4,12.92,72.74,86.5,28.5,0,0,8600,,34791,1931
671028,,,G,Mito Pereira,56.6,12.6,7.13,70.75,79.5,24.5,0,0,7200,,278841,671028
292342,,,G,Adrian Meronk,52.23,2.2,5.76,51.68,75.5,24,0,0,6700,,2927743,292342
765936,,,G,Aldrich Potgieter,27.29,0.1,0.90,10.53,39,16.5,0,0,6100,,3608431,765936
1799,,,G,Adam Hadwin,48.5,2,2.46,59.56,72.85,23,0,0,6900,,34880,1799
113835,,,G,Matthieu Pavon,44.76,0.29,2.10,28.08,69.5,22.5,0,0,6600,,37343,113835
330678,,,G,Cameron Davis,52.97,2.1,4.93,57.75,76.35,24,0,0,7200,,36131,330678
1932,,,G,Michael Kim,61.37,0.48,0.00,57.17,82.5,26,0,0,6900,,34897,1932
1701,,,G,Justin Thomas,67.6,8.1,14.15,70.2,88,29.5,0,0,8700,,34818,1701
1635,,,G,Austen Truslow,26.75,0.07,0.30,7.48,33,16.5,0,0,6400,,818743,1635
1888,,,G,Roger Sloan,27.49,0.07,0.53,23.12,41.5,16.5,0,0,6300,,466730,1888
690049,,,G,Viktor Hovland,68.87,17.3,8.49,86.24,88.5,30,0,0,10000,,658704,690049
165746,,,G,Taylor Moore,49.57,1.9,3.23,53.11,74,23.5,0,0,7400,,35323,165746
692426,,,G,Hayden Buckley,43.06,0.63,1.30,49.93,69,21.5,0,0,6900,,1696602,692426
1802,,,G,Taylor Pendrith,43.71,0.59,1.17,43.57,69.5,22,0,0,6900,,2216233,1802
1813,,,G,Francesco Molinari,37.98,0.2,0.70,31.73,64.35,20.5,0,0,6800,,34915,1813
1725,,,G,Billy Horschel,40.76,0.36,0.93,35.55,66.5,21,0,0,7100,,34768,1725
1417,,,G,Brooks Koepka,79.34,12.6,16.95,87.51,97,62.5,0,0,10800,,34779,1417
185304,,,G,Seamus Power,47.63,3.7,2.06,51.55,72.5,23,0,0,7300,,35404,185304
693648,,,G,Min Woo Lee,49.85,4.8,2.93,51.3,74.5,23,0,0,7000,,2667551,693648
1924,,,G,Frankie Capan,25.58,0.09,0.07,28.87,31.54,16.02,0,0,6400,,4813340,1924
670428,,,G,Victor Perez,49.74,1.7,2.06,58.78,74.5,23.5,0,0,7300,,1395203,670428
171,,,G,Jordan Spieth,70.71,14.9,12.55,80.28,90,33,0,0,9200,,34812,171
1639,,,G,Matt Kuchar,52.33,1.3,3.93,58.66,75.85,24,0,0,6900,,34780,1639
1408,,,G,Patrick Cantlay,79.08,10.1,18.25,92.93,96.5,61.5,0,0,10300,,36297,1408
161,,,G,Ross Fisher,40.28,0.27,1.67,24.68,66,21,0,0,6400,,35275,161
690517,,,G,Jordan Gumberg,26.81,0.05,0.83,9.9,34.5,16,0,0,6100,,2363978,690517
