player_name,sample_size,DG_odds,bet365_odds,bet365_ev,whill_odds,whill_ev,fanduel_odds,fanduel_ev,draftkings_odds,draftkings_ev,pinnacle_odds,pinnacle_ev
"Scheffler, Scottie",150,+666,+600,-0.086,+650,-0.021,+700,0.045,+700,0.045,+634,-0.042
"McIlroy, Rory",150,+1402,+1200,-0.135,+1000,-0.268,+850,-0.368,+1400,-0.001,+1531,0.086
"Rahm, Jon",150,+1464,+900,-0.360,+900,-0.360,+750,-0.456,+900,-0.360,+1034,-0.275
"Schauffele, Xander",150,+1664,+2000,0.191,+1800,0.077,+3000,0.758,+1800,0.077,+1817,0.087
"Cantlay, Patrick",150,+1712,+1400,-0.172,+1400,-0.172,+2200,0.269,+1400,-0.172,+1904,0.106
"Hovland, Viktor",150,+2556,+1600,-0.360,+1400,-0.435,+2800,0.092,+1800,-0.285,+1913,-0.242
"Koepka, Brooks",150,+3050,+1100,-0.619,+1000,-0.651,+1700,-0.428,+1100,-0.619,+1350,-0.540
"Spieth, Jordan",150,+3307,+2000,-0.384,+2000,-0.384,+1400,-0.560,+2800,-0.149,+2847,-0.135
"Finau, Tony",150,+3799,+3000,-0.205,+2800,-0.256,+3100,-0.179,+4000,0.052,+3735,-0.016
"Hatton, Tyrrell",150,+3949,+3000,-0.234,+2500,-0.358,+7500,0.877,+2800,-0.284,+3900,-0.012
"Fitzpatrick, Matthew",150,+4530,+2800,-0.374,+2800,-0.374,+4100,-0.093,+3500,-0.222,+3705,-0.178
"Smith, Cameron",150,+4814,+2800,-0.410,+2500,-0.471,+2400,-0.491,+2500,-0.471,+3018,-0.365
"Fowler, Rickie",150,+4875,+4500,-0.075,+4500,-0.075,,0.00,+4500,-0.075,+5524,0.130
"Morikawa, Collin",150,+5379,+3000,-0.434,+2500,-0.526,+2100,-0.599,+3500,-0.343,+2835,-0.464
"Day, Jason",150,+5417,+3500,-0.348,+4000,-0.257,+4400,-0.184,+5000,-0.076,+5186,-0.042
"Young, Cameron",150,+6073,+3500,-0.417,+3300,-0.449,+3700,-0.384,+4000,-0.336,+5131,-0.153
"Fleetwood, Tommy",150,+6556,+4000,-0.384,+3300,-0.489,+9000,0.367,+4000,-0.384,+5427,-0.170
"Im, Sungjae",150,+6785,+4500,-0.332,+4000,-0.404,+4400,-0.346,+5000,-0.259,+5893,-0.130
"Matsuyama, Hideki",150,+6844,+4000,-0.410,+3500,-0.482,+4100,-0.395,+4000,-0.410,+4533,-0.333
"Thomas, Justin",150,+6844,+3500,-0.482,+3300,-0.510,+2800,-0.582,+5000,-0.266,+3379,-0.499
"Johnson, Dustin",150,+7419,+3500,-0.521,+3000,-0.588,+2800,-0.614,+3500,-0.521,+4301,-0.415
"Burns, Sam",150,+7667,+6000,-0.215,+5500,-0.279,+5500,-0.279,+6500,-0.150,+6139,-0.197
