Player,Team,Pos,Draft Rank,Points
Kane,Spurs,F,4,192
Haaland,Man City,F,5,0
Ronaldo,Man Utd,F,6,159
Vardy,Leicester,F,9,133
Diogo Jota,Liverpool,F,10,175
Darwin,Liverpool,F,11,0
Richarlison,Spurs,F,13,125
Jesus,Arsenal,F,19,120
Havertz,Chelsea,F,20,112
Calvert-Lewin,Everton,F,22,64
Werner,Chelsea,F,24,62
Firmino,Liverpool,F,25,62
Antonio,West Ham,F,27,140
Watkins,Aston Villa,F,28,131
Wilson,Newcastle,F,31,75
Bamford,Leeds,F,32,28
Toney,Brentford,F,38,139
Ings,Aston Villa,F,40,106
Jiménez,Wolves,F,41,101
Nketiah,Arsenal,F,44,55
Martial,Man Utd,F,45,0
Adams,Southampton,F,52,103
Maupay,Brighton,F,53,98
Welbeck,Brighton,F,54,89
Iheanacho,Leicester,F,55,80
Mitrovi?,Fulham,F,57,0
Álvarez,Man City,F,58,0
Mbeumo,Brentford,F,69,119
Wood,Newcastle,F,75,91
Daka,Leicester,F,82,70
Solanke,Bournemouth,F,86,0
Johnson,Nott'm Forest,F,88,0
Awoniyi,Nott'm Forest,F,89,0
Edouard,Crystal Palace,F,115,87
Mateta,Crystal Palace,F,125,61
Benteke,Crystal Palace,F,127,58
A.Armstrong,Southampton,F,128,57
Gelhardt,Leeds,F,133,43
Fabio Silva,Wolves,F,137,30
Davis,Aston Villa,F,139,0
Moore,Bournemouth,F,142,0
Undav,Brighton,F,146,0
Broja,Chelsea,F,147,0
Muniz,Fulham,F,150,0
Rondón,Everton,F,231,30
Enciso,Brighton,F,255,0
Surridge,Nott'm Forest,F,265,0
Greenwood,Leeds,F,378,15
Gayle,Newcastle,F,390,7
Delap,Man City,F,402,1
Scarlett,Spurs,F,403,1
Archer,Aston Villa,F,407,0
Forss,Brentford,F,416,0
Stansfield,Fulham,F,433,0
Taylor,Nott'm Forest,F,442,0
Parrott,Spurs,F,458,0
Plange,Crystal Palace,F,460,0
Salah,Liverpool,M,1,265
Son,Spurs,M,2,258
De Bruyne,Man City,M,3,196
Sterling,Chelsea,M,7,163
Fernandes,Man Utd,M,8,151
Bowen,West Ham,M,12,206
Maddison,Leicester,M,14,181
Saka,Arsenal,M,15,179
Mount,Chelsea,M,16,169
Foden,Man City,M,17,137
Mahrez,Man City,M,18,135
Kulusevski,Spurs,M,21,99
Luis Díaz,Liverpool,M,23,64
Gündogan,Man City,M,29,124
Sancho,Man Utd,M,30,91
Bernardo,Man City,M,35,155
Zaha,Crystal Palace,M,36,150
Raphinha,Leeds,M,37,145
Barnes,Leicester,M,39,137
Grealish,Man City,M,42,86
Coutinho,Aston Villa,M,43,83
Ward-Prowse,Southampton,M,47,159
Trossard,Brighton,M,48,141
Ødegaard,Arsenal,M,49,131
Tielemans,Leicester,M,50,120
Saint-Maximin,Newcastle,M,51,116
Rashford,Man Utd,M,56,63
Sinisterra,Leeds,M,59,0
Eriksen,Man Utd,M,60,43
Gallagher,Chelsea,M,65,140
Benrahma,West Ham,M,66,138
Rodri,Man City,M,67,127
Smith Rowe,Arsenal,M,68,125
Harrison,Leeds,M,70,117
Martinelli,Arsenal,M,71,110
Buendía,Aston Villa,M,72,107
Jorginho,Chelsea,M,73,106
James,Leeds,M,74,91
Lucas Moura,Spurs,M,76,87
Rodrigo,Leeds,M,77,85
Joelinton,Newcastle,M,78,83
Hwang,Wolves,M,79,81
Ziyech,Chelsea,M,80,79
Pulisic,Chelsea,M,81,77
Bruno Guimarães,Newcastle,M,83,67
Fábio Vieira,Arsenal,M,85,0
Wilson,Fulham,M,87,0
Lingard,Nott'm Forest,M,90,29
Fornals,West Ham,M,96,117
Soucek,West Ham,M,97,114
McGinn,Aston Villa,M,98,110
Henderson,Liverpool,M,99,110
Ramsey,Aston Villa,M,100,109
Højbjerg,Spurs,M,101,109
Gray,Everton,M,102,106
Nørgaard,Brentford,M,103,101
Gordon,Everton,M,104,100
Fabinho,Liverpool,M,105,97
Neves,Wolves,M,106,95
Mac Allister,Brighton,M,107,93
Fred,Man Utd,M,108,93
Wissa,Brentford,M,109,92
Lanzini,West Ham,M,110,92
Janelt,Brentford,M,111,90
A.Doucouré,Everton,M,112,90
Elyounoussi,Southampton,M,113,90
Gross,Brighton,M,114,88
Redmond,Southampton,M,116,79
Iwobi,Everton,M,117,78
Fraser,Newcastle,M,118,78
Ayew,Crystal Palace,M,119,77
Olise,Crystal Palace,M,120,73
Podence,Wolves,M,122,70
Thiago,Liverpool,M,123,69
Townsend,Everton,M,124,66
Mwepu,Brighton,M,126,58
Bergwijn,Spurs,M,129,55
Bentancur,Spurs,M,130,52
Hudson-Odoi,Chelsea,M,131,49
Pépé,Arsenal,M,132,45
Dele,Everton,M,134,35
Eze,Crystal Palace,M,135,31
Van de Beek,Man Utd,M,136,31
Neto,Wolves,M,138,22
Brooks,Bournemouth,M,140,0
Lowe,Bournemouth,M,141,0
Christie,Bournemouth,M,143,0
Billing,Bournemouth,M,144,0
Anthony,Bournemouth,M,145,0
Kebano,Fulham,M,148,0
De Cordova-Reid,Fulham,M,149,0
Aaronson,Leeds,M,151,0
Carvalho,Liverpool,M,152,0
Adama,Wolves,M,154,0
Gibbs-White,Wolves,M,155,0
Aribo,Southampton,M,156,0
Lewis-Potter,Brentford,M,157,0
Rice,West Ham,M,178,95
Douglas Luiz,Aston Villa,M,181,89
Romeu,Southampton,M,182,88
Schlupp,Crystal Palace,M,184,86
Kanté,Chelsea,M,189,79
Willock,Newcastle,M,190,79
Kovacic,Chelsea,M,191,76
Dendoncker,Wolves,M,192,76
Partey,Arsenal,M,194,71
Dewsbury-Hall,Leicester,M,195,70
McTominay,Man Utd,M,197,68
Bissouma,Spurs,M,200,66
Keita,Liverpool,M,201,65
Shelvey,Newcastle,M,202,63
March,Brighton,M,204,61
Klich,Leeds,M,205,61
Xhaka,Arsenal,M,206,60
Elanga,Man Utd,M,208,59
Almirón,Newcastle,M,209,59
Allan,Everton,M,210,58
S.Armstrong,Southampton,M,211,57
Jensen,Brentford,M,212,54
McArthur,Crystal Palace,M,213,54
Loftus-Cheek,Chelsea,M,215,52
Lallana,Brighton,M,217,44
Chamberlain,Liverpool,M,218,42
Ndidi,Leicester,M,219,41
Albrighton,Leicester,M,220,40
Jones,Liverpool,M,221,40
Phillips,Man City,M,222,39
Bailey,Aston Villa,M,223,37
