Player,Team,Draft Rank,Points,Pos
Alisson,Liverpool,92,176,GK
Lloris,Spurs,93,158,GK
Ederson,Man City,94,155,GK
Sá,Wolves,164,146,GK
Fabianski,West Ham,166,136,GK
Ramsdale,Arsenal,167,135,GK
De Gea,Man Utd,168,132,GK
Schmeichel,Leicester,170,131,GK
Mendy,Chelsea,171,130,GK
Pope,Newcastle,172,130,GK
Martínez,Aston Villa,173,129,GK
Sánchez,Brighton,282,126,GK
Guaita,Crystal Palace,286,119,GK
Pickford,Everton,288,116,GK
Meslier,Leeds,292,106,GK
Dubravka,Newcastle,296,96,GK
Raya,Brentford,297,95,GK
McCarthy,Southampton,332,55,GK
Butland,Crystal Palace,362,30,GK
Arrizabalaga,Chelsea,377,19,GK
Leno,Fulham,391,10,GK
Areola,West Ham,408,2,GK
Travers,Bournemouth,420,0,GK
Johnstone,Crystal Palace,430,0,GK
Rodák,Fulham,436,0,GK
Samba,Nott'm Forest,451,0,GK
Henderson,Nott'm Forest,458,0,GK
Bazunu,Southampton,460,0,GK
Strakosha,Brentford,473,0,GK
Forster,Spurs,491,57,GK
Darlow,Newcastle,494,20,GK
Begovi?,Everton,496,13,GK
Kelleher,Liverpool,499,8,GK
Steffen,Man City,501,7,GK
Ward,Leicester,507,3,GK
Steele,Brighton,509,2,GK
Klaesson,Leeds,510,2,GK
Caballero,Southampton,513,2,GK
Olsen,Aston Villa,514,1,GK
Turner,Arsenal,516,0,GK
Dennis,Bournemouth,518,0,GK
Balcombe,Brentford,521,0,GK
Gazzaniga,Fulham,525,0,GK
Ortega,Man City,532,0,GK
Heaton,Man Utd,533,0,GK
Smith,Wolves,537,0,GK
Lis,Southampton,538,0,GK
Austin,Spurs,540,0,GK
Carson,Man City,541,0,GK
Iversen,Leicester,547,0,GK
Adrián,Liverpool,548,0,GK
Scherpen,Brighton,552,0,GK
Šarki?,Wolves,553,0,GK
Hennessey,Nott'm Forest,555,4,GK
Matthews,Crystal Palace,556,0,GK
Alexander-Arnold,Liverpool,26,208,D
Cancelo,Man City,33,201,D
Robertson,Liverpool,34,186,D
Van Dijk,Liverpool,47,183,D
Matip,Liverpool,62,170,D
Laporte,Man City,63,160,D
James,Chelsea,64,141,D
Dias,Man City,65,141,D
Chilwell,Chelsea,85,55,D
Thiago Silva,Chelsea,95,130,D
Alonso,Chelsea,96,128,D
Stones,Man City,122,70,D
Periši?,Spurs,154,0,D
Koulibaly,Chelsea,159,0,D
Cash,Aston Villa,162,147,D
Gabriel,Arsenal,163,146,D
Coady,Wolves,165,138,D
Dier,Spurs,169,132,D
Cucurella,Brighton,174,126,D
Cresswell,West Ham,175,115,D
Tierney,Arsenal,176,106,D
Davies,Spurs,177,105,D
Emerson Royal,Spurs,178,102,D
Targett,Newcastle,179,101,D
Chalobah,Chelsea,180,99,D
Semedo,Wolves,182,94,D
Dawson,West Ham,183,90,D
Azpilicueta,Chelsea,186,87,D
Walker,Man City,188,85,D
Digne,Aston Villa,189,83,D
Canós,Brentford,190,81,D
Dallas,Leeds,191,80,D
Varane,Man Utd,196,75,D
Maguire,Man Utd,199,69,D
Telles,Man Utd,201,67,D
Doherty,Spurs,202,67,D
Romero,Spurs,206,63,D
Zinchenko,Arsenal,210,59,D
Aké,Man City,217,54,D
Shaw,Man Utd,219,46,D
Konaté,Liverpool,231,33,D
Sarr,Chelsea,233,30,D
Trippier,Newcastle,237,28,D
Diego Carlos,Aston Villa,249,0,D
Kristensen,Leeds,263,0,D
Aguerd,West Ham,270,0,D
Lenglet,Spurs,273,0,D
Hickey,Brentford,275,0,D
Andersen,Crystal Palace,283,124,D
Guéhi,Crystal Palace,284,123,D
Jansson,Brentford,285,122,D
Mings,Aston Villa,287,118,D
Mitchell,Crystal Palace,289,109,D
Henry,Brentford,290,108,D
White,Arsenal,291,107,D
Kilman,Wolves,293,106,D
Reguilón,Spurs,294,104,D
Keane,Everton,295,102,D
Veltman,Brighton,298,95,D
Bednarek,Southampton,299,94,D
Sánchez,Spurs,300,93,D
Dunk,Brighton,301,92,D
Burn,Newcastle,302,92,D
Pinnock,Brentford,303,90,D
Schär,Newcastle,304,88,D
Aït-Nouri,Wolves,305,87,D
Tarkowski,Everton,306,83,D
Walker-Peters,Southampton,307,82,D
Ajer,Brentford,308,81,D
Livramento,Southampton,309,80,D
Coleman,Everton,310,79,D
Konsa,Aston Villa,311,78,D
Llorente,Leeds,312,77,D
Tomiyasu,Arsenal,313,75,D
Castagne,Leicester,314,75,D
Lamptey,Brighton,315,74,D
Ward,Crystal Palace,316,73,D
Coufal,West Ham,317,70,D
Söyüncü,Leicester,318,66,D
Lindelöf,Man Utd,319,66,D
Zouma,West Ham,320,66,D
Holgate,Everton,321,62,D
Cooper,Leeds,323,60,D
Webster,Brighton,324,59,D
Clyne,Crystal Palace,325,59,D
Krafth,Newcastle,327,58,D
Salisu,Southampton,328,58,D
R.Sessegnon,Spurs,329,56,D
Ayling,Leeds,330,55,D
Amartey,Leicester,331,55,D
Dalot,Man Utd,333,54,D
Thomas,Leicester,334,50,D
Tavares,Arsenal,335,49,D
Cédric,Arsenal,336,48,D
Duffy,Brighton,337,48,D
Johnson,West Ham,339,48,D
Lascelles,Newcastle,340,47,D
Godfrey,Everton,341,45,D
Chambers,Aston Villa,343,42,D
Mykolenko,Everton,344,42,D
Tsimikas,Liverpool,345,42,D
Roerslev,Brentford,346,41,D
Wan-Bissaka,Man Utd,347,41,D
Ogbonna,West Ham,348,40,D
Evans,Leicester,349,39,D
Manquillo,Newcastle,352,38,D
Perraud,Southampton,353,38,D
Jonny,Wolves,354,38,D
Struijk,Leeds,357,35,D
Ricardo,Leicester,358,35,D
Diop,West Ham,363,30,D
Holding,Arsenal,364,29,D
Justin,Leicester,365,29,D
Masuaku,West Ham,366,29,D
Mina,Everton,368,24,D
Koch,Leeds,370,23,D
Bech,Brentford,372,22,D
Firpo,Leeds,373,22,D
