Customer Name,Vessel name,Required del. date,Del Conf Date,Pricing Date,Plant,Port name,Product Name,Net weight,Net amount
VULICA SHIPPING CO. LTD,IRELAND,31/12/2021,5/1/2022,1/1/2022,AY40,HOUSTON (Texas),AURELIA TI 4040          BULK   MAR   US,3640,8673
VULICA SHIPPING CO. LTD,IRELAND,31/12/2021,5/1/2022,1/1/2022,AY40,HOUSTON (Texas),TALUSIA UNIVERSAL 100    BULK   MAR   US,5650,13242
REEFERSHIP MARINE SERVICES LLC,DOLE CHILE,27/01/2022,11/2/2022,21/11/2021,AB90,WILMINGTON (Delaware,BARELF CH 100            20L    MAR C,115,3355
REEFERSHIP MARINE SERVICES LLC,DOLE COLOMBIA,3/3/2022,18/04/2022,7/3/2022,AB90,WILMINGTON (Delaware,BARELF CH 100            20L    MAR C,172,5032
GEYER MARITIME CO,ARKADIA,19/11/2021,5/1/2022,24/11/2021,AZ70,SAN FRANCISCO (Calif,VISGA 32                 205L   MAR   US,178,1279
APL MARITIME LIMITED.  TN90911,PRESIDENT EISENHOWER,15/03/2022,19/05/2022,16/03/2022,AZ70,LOS ANGELES (Califor,CERAN XM 220             24T042KTOT C,20,288
APL MARITIME LIMITED.  TN90911,PRESIDENT EISENHOWER,15/03/2022,19/05/2022,16/03/2022,AZ70,LOS ANGELES (Califor,BIOHYDRAN TMP 68         20L    TOT C1,184,2561
YUFUTSU SHIPPING PTE LTD,NYK RUMINA,3/12/2021,15/02/2022,28/11/2021,AZ70,SAN FRANCISCO (Calif,VISGA 32                 20L    MAR C,87,600
YUFUTSU SHIPPING PTE LTD,NYK RUMINA,3/12/2021,15/02/2022,28/11/2021,AZ70,SAN FRANCISCO (Calif,BARELF CH 100            20L    MAR C,96,2775
YUFUTSU SHIPPING PTE LTD,NYK RUMINA,3/12/2021,15/02/2022,28/11/2021,AZ70,SAN FRANCISCO (Calif,VISGA 68                 205L   MAR   US,180,941
YUFUTSU SHIPPING PTE LTD,NYK RUMINA,3/12/2021,15/02/2022,28/11/2021,AZ70,SAN FRANCISCO (Calif,TALUSIA LS 40            BULK   MAR   US,10447,27178
YUFUTSU SHIPPING PTE LTD,NYK RUMINA,3/12/2021,15/02/2022,28/11/2021,AZ70,SAN FRANCISCO (Calif,CARTER EP 150            208L   TOT C,184,1284
FLEET MANAGEMENT LIMITED,SPAR HYDRA,16/12/2021,4/1/2022,27/12/2021,AJ80,HOUSTON (Texas),TALUSIA UNIVERSAL        BULK   MAR   US,9302,19600
FLEET MANAGEMENT LIMITED,SPAR HYDRA,16/12/2021,4/1/2022,27/12/2021,AJ80,HOUSTON (Texas),ATLANTA MARINE D 3005    BULK   MAR   US,3559,7160
FLEET MANAGEMENT LIMITED,SPAR HYDRA,16/12/2021,4/1/2022,27/12/2021,AJ80,HOUSTON (Texas),AURELIA TI 4040          BULK   MAR   US,3640,8160
VALLOEBY SALOME LTD.,VS SALOME,6/12/2021,11/2/2022,6/12/2021,AZ10,MONTREAL,VISGA 46                 205L   MAR   US,358,2430
REEFERSHIP MARINE SERVICES LLC,DOLE PACIFIC,26/12/2021,6/1/2022,7/12/2021,AZ70,SAN DIEGO (Californi,CERAN AD PLUS            18K    TOT C,90,1388
