,,Win,,Win By Knockout,,Win By Submission,,Win By Decision,,Fight Goes Distance,,,,Round 1,,Round 2,,Round 3,,Round 4,,Round 5,
Fighter,Date,Win,$20 Bet,Knockout,$20 Bet,Submission,$20 Bet,Decision,$20 Bet,Yes,$20 Bet,No,$20 Bet,Rd 1,$20 Bet,Rd 2,$20 Bet,Rd 3,$20 Bet,Rd 4,$20 Bet,Rd 5,$20 Bet
Devonte Smith,2022-03-05 18:00:00.000,-154,12.99,160,32.00,2200,440.00,375,75.00,170,34.00,-185,10.81,340,68.00,650,130.00,1400,280.00,,,,
L'udovit Klein,2022-03-05 18:00:00.000,135,27.00,360,72.00,1200,240.00,475,95.00,170,34.00,-185,10.81,650,130.00,950,190.00,1700,340.00,,,,
Tagir Ulanbekov,2022-03-05 18:00:00.000,-230,8.70,750,150.00,340,68.00,135,27.00,-148,13.51,135,27.00,600,120.00,800,160.00,1600,320.00,,,,
Tim Elliott,2022-03-05 18:00:00.000,205,41.00,1500,300.00,700,140.00,450,90.00,-148,13.51,135,27.00,1100,220.00,1700,340.00,2000,400.00,,,,
Dustin Jacoby,2022-03-05 18:00:00.000,-180,11.11,160,32.00,1800,360.00,240,48.00,120,24.00,-139,14.39,400,80.00,650,130.00,1500,300.00,,,,
Michal Oleksiejczuk,2022-03-05 18:00:00.000,170,34.00,440,88.00,2200,440.00,540,108.00,120,24.00,-139,14.39,850,170.00,1300,260.00,1800,360.00,,,,
Umar Nurmagomedov,2022-03-05 18:00:00.000,-1000,2.00,550,110.00,210,42.00,118,23.60,-105,19.05,100,20.00,300,60.00,600,120.00,1400,280.00,,,,
Brian Kelleher,2022-03-05 18:00:00.000,700,140.00,1500,300.00,1600,320.00,1600,320.00,-105,19.05,100,20.00,1800,360.00,2200,440.00,3600,720.00,,,,
Marina Rodriguez,2022-03-05 20:00:00.000,-250,8.00,330,66.00,1400,280.00,105,21.00,-233,8.58,200,40.00,650,130.00,1000,200.00,1800,360.00,,,,
Yan Xiaonan,2022-03-05 20:00:00.000,220,44.00,1100,220.00,2600,520.00,330,66.00,-233,8.58,200,40.00,1800,360.00,2900,580.00,3200,640.00,,,,
Mariya Agapova,2022-03-05 20:00:00.000,-170,11.76,500,100.00,420,84.00,190,38.00,-135,14.81,134,26.80,500,100.00,750,150.00,1300,260.00,,,,
Maryna Moroz,2022-03-05 20:00:00.000,155,31.00,1600,320.00,1050,210.00,280,56.00,-135,14.81,134,26.80,1500,300.00,2000,400.00,2800,560.00,,,,
Jalin Turner,2022-03-05 20:00:00.000,-149,13.42,260,52.00,500,100.00,340,68.00,178,35.60,-200,10.00,400,80.00,600,120.00,1100,220.00,,,,
Jamie Mullarkey,2022-03-05 20:00:00.000,134,26.80,340,68.00,1100,220.00,525,105.00,178,35.60,-200,10.00,600,120.00,1000,200.00,1600,320.00,,,,
Kennedy Nzechukwu,2022-03-05 20:00:00.000,-135,14.81,160,32.00,2900,580.00,425,85.00,164,32.80,-182,10.99,430,86.00,650,130.00,1200,240.00,,,,
Nicolae Negumereanu,2022-03-05 20:00:00.000,116,23.20,350,70.00,1200,240.00,460,92.00,164,32.80,-182,10.99,600,120.00,850,170.00,1600,320.00,,,,
Colby Covington,2022-03-05 22:00:00.000,-320,6.25,360,72.00,950,190.00,-105,19.05,-142,14.08,120,24.00,1000,200.00,1200,240.00,1500,300.00,2200,440.00,3300,660.00
Jorge Masvidal,2022-03-05 22:00:00.000,265,53.00,425,85.00,2800,560.00,1200,240.00,-142,14.08,120,24.00,1200,240.00,1600,320.00,2200,440.00,3100,620.00,4000,800.00
Bryce Mitchell,2022-03-05 22:00:00.000,-158,12.66,1000,200.00,230,46.00,255,51.00,130,26.00,-135,14.81,470,94.00,700,140.00,1400,280.00,,,,
Edson Barboza,2022-03-05 22:00:00.000,145,29.00,325,65.00,2600,520.00,500,100.00,130,26.00,-135,14.81,650,130.00,900,180.00,1800,360.00,,,,
Sergey Spivac,2022-03-05 22:00:00.000,-195,10.26,300,60.00,380,76.00,310,62.00,180,36.00,-227,8.81,340,68.00,600,120.00,1100,220.00,,,,
Greg Hardy,2022-03-05 22:00:00.000,172,34.40,340,68.00,3400,680.00,750,150.00,180,36.00,-227,8.81,625,125.00,1200,240.00,2600,520.00,,,,
Kevin Holland,2022-03-05 22:00:00.000,-380,5.26,140,28.00,700,140.00,310,62.00,140,28.00,-149,13.42,250,50.00,550,110.00,1000,200.00,,,,
Alex Oliveira,2022-03-05 22:00:00.000,325,65.00,1400,280.00,1500,300.00,625,125.00,140,28.00,-149,13.42,1400,280.00,1600,320.00,2500,500.00,,,,
Rafael dos Anjos,2022-03-05 22:00:00.000,-170,11.76,360,72.00,500,100.00,240,48.00,112,22.40,-120,16.67,650,130.00,900,180.00,1300,260.00,2000,400.00,3000,600.00
Renato Moicano,2022-03-05 22:00:00.000,155,31.00,1200,240.00,600,120.00,425,85.00,112,22.40,-120,16.67,1200,240.00,2100,420.00,2500,500.00,2900,580.00,3600,720.00
